vx,vy,omega,delta,T,eps_vx,eps_vy,eps_omega,pos_x,pos_y,theta
2.503889,0.008333,-0.569775,-0.023613,0.661407,-0.007403,-0.000727,-0.026329,2.586117,3.038393,1.710126
2.532972,0.009680,-0.544198,-0.022362,0.651407,-0.001446,-0.000179,-0.006864,2.632896,3.034998,1.748515
2.566403,0.010891,-0.499050,-0.016795,0.641407,-0.002509,-0.000502,-0.026850,2.678099,3.032782,1.789799
2.597278,0.011767,-0.444812,-0.009044,0.631407,-0.004451,-0.000882,-0.043183,2.718903,3.030876,1.837044
2.624721,0.012653,-0.362379,-0.001725,0.621407,-0.004008,-0.000795,-0.040601,2.760254,3.029948,1.882084
2.651145,0.013132,-0.247280,0.006460,0.611407,-0.002872,-0.000854,-0.046596,2.804360,3.034007,1.924582
2.677233,0.012589,-0.113901,0.013153,0.601407,-0.001649,-0.000742,-0.039512,2.851641,3.032064,1.968574
2.703008,0.010836,0.029014,0.021636,0.591407,-0.002907,-0.000773,-0.046461,2.895848,3.031736,2.015371
2.725955,0.008412,0.177799,0.030486,0.581407,-0.002753,-0.000878,-0.051442,2.940273,3.030973,2.063060
2.747438,0.005378,0.334093,0.035867,0.571407,-0.001233,-0.000509,-0.030869,2.989500,3.029742,2.108946
2.768861,0.001401,0.489701,0.038466,0.561407,-0.003514,-0.000168,-0.014798,3.031576,3.033053,2.156600
2.786461,-0.003809,0.615794,0.032967,0.551407,-0.001350,0.000508,0.029625,3.081000,3.032279,2.203658
2.804973,-0.010370,0.682104,0.023692,0.541407,-0.001819,0.000363,0.033531,3.130126,3.032338,2.250056
2.821748,-0.017725,0.636903,0.011541,0.531407,-0.001702,0.000503,0.046345,3.178469,3.034018,2.299666
2.837388,-0.022770,0.505884,-0.009363,0.521407,-0.002066,0.000831,0.081101,3.225672,3.036894,2.349266
2.851435,-0.026039,0.269427,-0.033600,0.511407,-0.001849,0.000923,0.094010,3.272988,3.039937,2.397766
2.864181,-0.026311,-0.078700,-0.051770,0.501407,-0.001747,0.000667,0.068915,3.320111,3.044203,2.446193
2.875354,-0.020846,-0.470279,-0.070434,0.491407,-0.001174,0.000563,0.063724,3.369849,3.047639,2.494186
2.885065,-0.011087,-0.855995,-0.087853,0.481407,-0.001591,0.000502,0.056732,3.417286,3.050582,2.542708
2.891966,0.001366,-1.214007,-0.101663,0.471407,-0.001136,0.000293,0.041639,3.467240,3.053179,2.591321
2.896827,0.015552,-1.525863,-0.115725,0.461407,-0.001652,0.000198,0.036836,3.515270,3.056226,2.640028
2.898375,0.030185,-1.791687,-0.130885,0.451407,-0.001718,0.000176,0.037513,3.562425,3.055611,2.689035
2.896808,0.044522,-2.021717,-0.145068,0.441407,-0.001993,-0.000024,0.028157,3.607337,3.057027,2.735663
2.891908,0.058392,-2.226514,-0.165825,0.431407,-0.001248,0.000100,0.035584,3.652398,3.060889,2.781167
2.884087,0.071698,-2.414460,-0.190261,0.421407,0.000157,0.000196,0.029833,3.702976,3.053801,2.825381
2.873683,0.084806,-2.598005,-0.214594,0.411407,0.000600,0.000164,0.020359,3.754947,3.047552,2.871055
2.859767,0.098539,-2.764416,-0.231585,0.401407,0.000921,0.000117,0.010287,3.808002,3.044557,2.920157
2.842851,0.113107,-2.896872,-0.246125,0.391407,-0.001575,-0.000406,0.005453,3.840494,3.032337,2.970511
2.820449,0.127016,-2.989835,-0.253750,0.381407,-0.001155,-0.000339,-0.000186,3.887092,3.017828,3.013274
2.796251,0.139719,-3.047856,-0.255798,0.371407,-0.003575,-0.000864,-0.005330,3.926689,3.000164,3.052709
2.768048,0.149730,-3.077482,-0.246572,0.365659,-0.004008,-0.000858,-0.007849,3.966947,2.980650,3.097909
2.739516,0.156998,-3.081482,-0.231136,0.363310,-0.003300,-0.000670,-0.009175,4.011424,2.960541,3.144811
2.712808,0.161412,-3.062321,-0.212775,0.361517,-0.003523,-0.000790,-0.012918,4.041615,2.940008,3.195671
2.687551,0.162584,-3.023221,-0.189890,0.363476,-0.006136,-0.001177,-0.023476,4.078266,2.908240,3.246521
2.662438,0.160567,-2.963863,-0.157537,0.360961,-0.005427,-0.001266,-0.041324,4.109228,2.874146,3.299677
2.641434,0.156557,-2.859105,-0.121639,0.359884,-0.004355,-0.001339,-0.065443,4.141600,2.840127,3.360185
2.625537,0.150967,-2.671437,-0.087354,0.361435,-0.003192,-0.001376,-0.077069,4.162857,2.806400,3.424915
2.615053,0.142788,-2.360664,-0.062974,0.363437,-0.002153,-0.001081,-0.075064,4.188769,2.771770,3.490320
2.609109,0.128641,-1.960409,-0.050578,0.364587,-0.001259,-0.000598,-0.037438,4.210710,2.733163,3.555089
2.606701,0.107330,-1.539584,-0.047373,0.365612,-0.000561,-0.000185,-0.009869,4.235857,2.694470,3.620652
2.606881,0.081534,-1.204268,-0.055135,0.366918,-0.000839,0.000173,0.025401,4.256124,2.658063,3.685133
2.607665,0.056223,-1.032036,-0.068124,0.367606,-0.000399,0.000463,0.039961,4.279754,2.620114,3.744621
2.608975,0.036217,-1.040566,-0.084091,0.366699,-0.000322,0.000594,0.048564,4.301485,2.583539,3.796285
2.609730,0.023599,-1.185633,-0.098559,0.365078,0.000134,0.000682,0.047650,4.327062,2.544947,3.839689
2.610062,0.018469,-1.399159,-0.112453,0.362051,-0.000591,0.000544,0.042286,4.342212,2.511169,3.879109
2.608417,0.018737,-1.637328,-0.122991,0.358865,0.000278,0.001557,0.058320,4.363604,2.474851,3.916535
2.606417,0.024188,-1.835375,-0.130880,0.355536,-0.000581,0.000745,0.054770,4.376966,2.446179,3.952944
2.602292,0.030137,-2.000098,-0.135798,0.352411,-0.000306,0.000558,0.023408,4.396135,2.410458,3.987200
2.597424,0.036723,-2.154112,-0.138305,0.349154,0.000305,0.000909,0.036190,4.411905,2.372830,4.020358
2.592283,0.044455,-2.244799,-0.135955,0.345649,0.000409,0.000595,0.024463,4.429216,2.336722,4.057928
2.586739,0.051222,-2.291912,-0.132154,0.342011,-0.000166,-0.000037,0.003114,4.445186,2.299864,4.096152
2.580299,0.056158,-2.314097,-0.125765,0.337982,-0.001127,-0.000336,-0.014473,4.454412,2.262231,4.134107
2.572877,0.060006,-2.304780,-0.117023,0.334725,-0.001181,-0.000410,-0.020318,4.463785,2.225462,4.172995
2.565743,0.062856,-2.248841,-0.106139,0.331399,-0.001200,-0.000490,-0.026883,4.467838,2.185714,4.211321
2.559195,0.064143,-2.147271,-0.093265,0.328533,-0.001266,-0.000632,-0.036393,4.475956,2.149539,4.249666
2.553445,0.063603,-2.002243,-0.079755,0.325895,-0.001163,-0.000623,-0.039301,4.478642,2.108092,4.288373
2.548767,0.061276,-1.813895,-0.069246,0.323094,-0.001320,-0.000566,-0.032499,4.478424,2.073016,4.327781
2.544698,0.056529,-1.607474,-0.057005,0.319877,-0.000941,-0.000574,-0.038975,4.487918,2.036012,4.366195
2.541798,0.050694,-1.391731,-0.047691,0.316122,-0.000804,-0.000439,-0.029618,4.495217,1.997682,4.403233
2.539507,0.044067,-1.178913,-0.041146,0.312548,-0.000570,-0.000308,-0.021427,4.507999,1.959232,4.441134
2.537716,0.036936,-0.994522,-0.037605,0.308654,-0.000819,-0.000197,-0.011502,4.514011,1.923888,4.479354
2.535700,0.029907,-0.853609,-0.035820,0.305022,-0.000701,-0.000097,-0.005884,4.517760,1.886692,4.516540
2.533717,0.023757,-0.759309,-0.034854,0.301147,-0.000441,-0.000131,-0.005347,4.525094,1.848305,4.553037
2.531801,0.018931,-0.704659,-0.035242,0.297345,-0.000700,-0.000008,0.001533,4.527516,1.812523,4.590627
2.529346,0.015498,-0.676520,-0.034713,0.293408,-0.000729,-0.000042,-0.001644,4.529073,1.776635,4.627717
2.526573,0.013369,-0.664235,-0.036036,0.289827,-0.000413,0.000273,0.010695,4.529760,1.739344,4.663671
2.523793,0.012105,-0.659098,-0.035753,0.285631,0.000199,0.000231,0.008791,4.528473,1.699061,4.700068
2.521266,0.011404,-0.657510,-0.033974,0.280498,-0.000162,-0.000187,-0.005562,4.539342,1.673215,4.738221
2.517960,0.011016,-0.656918,-0.037806,0.277057,0.000760,0.000695,0.025442,4.551041,1.639939,4.771555
2.515176,0.010762,-0.658002,-0.046610,0.275055,0.000597,0.000559,0.041570,4.557418,1.596994,4.801250
2.511768,0.008458,-0.715373,-0.056738,0.273230,-0.000823,0.000487,0.036675,4.557770,1.563564,4.837918
2.506420,0.006274,-0.839369,-0.069186,0.272445,-0.000639,0.000619,0.044130,4.559705,1.529903,4.875297
