vx,vy,omega,delta,T,eps_vx,eps_vy,eps_omega,pos_x,pos_y,theta
2.667923,0.005132,0.169886,0.025305,0.687693,-0.007511,-0.000235,-0.021860,2.686507,2.997165,1.814686
2.696665,0.003749,0.307539,0.036489,0.677693,-0.004156,-0.000458,-0.043117,2.729900,2.997479,1.859270
2.726919,0.001842,0.462179,0.045938,0.667693,-0.003698,-0.000340,-0.035823,2.774387,2.996651,1.901293
2.755682,-0.001041,0.639316,0.052909,0.657693,-0.003599,-0.000189,-0.026277,2.819490,2.996770,1.945911
2.782677,-0.005737,0.810263,0.056352,0.647693,-0.001020,-0.000087,-0.012608,2.871149,3.002114,1.992185
2.810436,-0.012176,0.950237,0.051675,0.637693,-0.005584,0.000415,0.016168,2.911702,2.997536,2.041463
2.832102,-0.020181,1.019258,0.045538,0.627693,-0.002989,0.001352,0.047080,2.958282,2.999300,2.088831
2.854987,-0.026902,1.032024,0.035901,0.617693,-0.002404,0.000727,0.060313,3.006311,3.002695,2.134457
2.877161,-0.033785,0.964796,0.021598,0.607693,-0.001170,0.000640,0.058601,3.058749,3.012939,2.182563
2.899473,-0.038861,0.790148,-0.001295,0.597693,-0.003759,0.001104,0.095957,3.103516,3.015451,2.233018
2.918095,-0.041078,0.511588,-0.021770,0.587693,-0.002253,0.000854,0.083864,3.152124,3.015724,2.282448
2.936958,-0.038770,0.142429,-0.042471,0.577693,-0.002450,0.000811,0.083453,3.199251,3.023552,2.330574
2.954043,-0.031227,-0.262860,-0.066113,0.567693,-0.000340,0.000768,0.087754,3.253346,3.036224,2.379464
2.971071,-0.020363,-0.692383,-0.092914,0.557693,-0.003324,0.000729,0.089893,3.294986,3.037796,2.430387
2.982093,-0.007029,-1.138752,-0.103793,0.547693,-0.001366,0.000227,0.035576,3.347111,3.044225,2.479141
2.992727,0.011221,-1.525037,-0.119956,0.537693,-0.001669,0.000325,0.047370,3.397329,3.049521,2.526540
2.999788,0.031031,-1.826583,-0.139048,0.527693,-0.001526,0.000219,0.047138,3.447102,3.054340,2.577541
3.003219,0.049921,-2.087978,-0.154171,0.517693,-0.000835,0.000117,0.030698,3.499464,3.057271,2.628051
3.003785,0.068795,-2.312192,-0.167691,0.507693,0.000231,0.000144,0.022725,3.555594,3.063766,2.678844
3.001934,0.087892,-2.491625,-0.180077,0.497693,-0.001618,-0.000223,0.015994,3.603095,3.054903,2.731740
2.994841,0.106260,-2.630593,-0.185654,0.487693,-0.001135,-0.000221,0.005739,3.652117,3.052091,2.782810
2.985586,0.123961,-2.727425,-0.189832,0.477693,-0.000907,-0.000223,0.003569,3.701786,3.046927,2.830385
2.974166,0.140081,-2.784252,-0.194625,0.467693,-0.002236,-0.000574,0.001709,3.748283,3.038983,2.878258
2.959208,0.153287,-2.813871,-0.207171,0.457693,0.001348,0.000212,0.009078,3.804323,3.031130,2.925340
