t,eC,eL,pos_x,pos_y,ref_x,ref_y
4493.238265,-0.052091,0.127883,3.652117,3.052091,3.780000,3.000000
4493.258489,-0.046927,0.128214,3.701786,3.046927,3.830000,3.000000
4493.278449,-0.038983,0.128384,3.748283,3.038983,3.876667,3.000000
4493.298786,-0.031130,0.119010,3.804323,3.031130,3.923333,3.000000
4493.318909,-0.013399,0.125716,3.847617,3.013399,3.973333,3.000000
4493.338825,0.012641,0.128872,3.894064,2.992853,4.023386,2.999453
4493.358517,0.045617,0.130804,3.934054,2.968215,4.069954,2.995082
4493.378738,0.075246,0.131713,3.976276,2.944074,4.122402,2.984786
4493.398479,0.101334,0.132023,4.017278,2.919602,4.176581,2.967781
4493.419119,0.140620,0.141611,4.043399,2.883828,4.234408,2.941648
4493.439196,0.165475,0.141575,4.077355,2.854917,4.288459,2.908401
4493.459127,0.194466,0.135907,4.108390,2.816344,4.340320,2.866309
4493.478798,0.217660,0.131417,4.136404,2.779965,4.388222,2.815093
4493.498872,0.232892,0.126721,4.166875,2.744044,4.431894,2.751927
4493.520741,0.236662,0.117463,4.200776,2.706962,4.464146,2.685925
4493.538367,0.235419,0.111086,4.230484,2.670939,4.485594,2.619159
4493.558111,0.230108,0.103318,4.256437,2.633254,4.496775,2.556694
4493.578769,0.217476,0.095621,4.282524,2.595621,4.500000,2.500000
4493.598653,0.187878,0.104186,4.312122,2.557520,4.500000,2.453333
4493.618682,0.164592,0.108350,4.335408,2.518350,4.500000,2.410000
4493.639411,0.135518,0.110483,4.364482,2.480483,4.500000,2.370000
4493.658693,0.114083,0.109070,4.385917,2.439070,4.500000,2.330000
4493.677632,0.097043,0.109780,4.402957,2.396447,4.500000,2.286667
4493.698538,0.077054,0.111333,4.422946,2.354666,4.500000,2.243333
4493.717466,0.061869,0.117715,4.438131,2.314381,4.500000,2.196667
4493.738053,0.051608,0.118100,4.448392,2.271434,4.500000,2.153333
4493.757724,0.040911,0.117230,4.459089,2.227230,4.500000,2.110000
4493.778327,0.031574,0.116225,4.468426,2.182891,4.500000,2.066667
4493.798282,0.030514,0.116285,4.469486,2.136285,4.500000,2.020000
4493.817764,0.024658,0.120342,4.475342,2.093675,4.500000,1.973333
4493.837754,0.023553,0.118959,4.476447,2.048959,4.500000,1.930000
4493.857733,0.016015,0.118464,4.483985,2.005131,4.500000,1.886667
4493.877698,0.003202,0.118484,4.496798,1.958484,4.500000,1.840000
4493.897864,-0.002300,0.117745,4.502300,1.914412,4.500000,1.796667
4493.918034,-0.010060,0.121173,4.510060,1.871173,4.500000,1.750000
4493.938008,-0.014006,0.116989,4.514006,1.823655,4.500000,1.706667
4493.958278,-0.019658,0.122217,4.519658,1.785550,4.500000,1.663333
4493.978190,-0.022001,0.122371,4.522001,1.742371,4.500000,1.620000
4493.998489,-0.028068,0.119568,4.528068,1.699568,4.500000,1.580000
4494.018593,-0.031684,0.122409,4.531684,1.659075,4.500000,1.536667
4494.038819,-0.036197,0.119967,4.536197,1.616633,4.500000,1.496667
4494.058439,-0.041232,0.122494,4.541232,1.575827,4.500000,1.453333
4494.078236,-0.049074,0.125141,4.549074,1.538474,4.500000,1.413333
4494.098300,-0.065657,0.122023,4.565657,1.495356,4.500000,1.373333
4494.119733,-0.059583,0.118757,4.559583,1.455424,4.500000,1.336667
4494.138472,-0.053307,0.121828,4.553307,1.418494,4.500000,1.296667
4494.158459,-0.050647,0.125071,4.550647,1.381738,4.500000,1.256667
4494.178723,-0.053046,0.124846,4.553046,1.344846,4.500000,1.220000
4494.198564,-0.056357,0.122502,4.556357,1.309169,4.500000,1.186667
4494.218736,-0.052821,0.124208,4.552821,1.274208,4.500000,1.150000
4494.238732,-0.044730,0.115554,4.544730,1.232220,4.500000,1.116667
4494.259740,-0.043514,0.127490,4.543514,1.207490,4.500000,1.080000
4494.279859,-0.039971,0.128775,4.539971,1.175442,4.500000,1.046667
4494.300053,-0.033827,0.122346,4.533827,1.142346,4.500000,1.020000
4494.319447,-0.021460,0.122400,4.523805,1.111942,4.499900,0.989996
4494.339380,-0.009711,0.121323,4.517779,1.080180,4.498399,0.960022
4494.359368,0.003717,0.123940,4.509071,1.050044,4.494626,0.926893
4494.378845,0.016958,0.122617,4.497926,1.020836,4.489349,0.897349
4494.398902,0.030808,0.121787,4.484648,0.990544,4.481420,0.864962
4494.418049,0.039042,0.125241,4.476330,0.964265,4.471349,0.833175
