t,eC,eL,pos_x,pos_y,ref_x,ref_y
4092.977543,-0.038548,0.121247,3.635419,3.038548,3.756667,3.000000
4092.997299,-0.036258,0.134903,3.671763,3.036258,3.806667,3.000000
4093.017535,-0.031800,0.130719,3.719281,3.031800,3.850000,3.000000
4093.038424,-0.026065,0.118573,3.771427,3.026065,3.890000,3.000000
4093.058431,-0.016982,0.119462,3.817205,3.016982,3.936667,3.000000
4093.078147,-0.002937,0.123238,3.863428,3.002937,3.986667,3.000000
4093.098090,0.025081,0.116232,3.915748,2.981622,4.033396,2.998883
4093.118630,0.050620,0.121298,3.958234,2.963585,4.086458,2.992468
4093.138688,0.066162,0.128101,3.997116,2.952346,4.138532,2.980426
4093.157915,0.093296,0.129623,4.033750,2.925524,4.189024,2.962893
4093.178436,0.118360,0.126661,4.069688,2.896025,4.237355,2.940071
4093.197977,0.137342,0.120598,4.108271,2.866527,4.285723,2.910320
4093.218527,0.161110,0.120319,4.135865,2.832963,4.332906,2.873060
4093.238019,0.179532,0.120611,4.164854,2.800117,4.379660,2.825359
4093.257590,0.194905,0.116291,4.191066,2.764765,4.417812,2.774651
4093.279899,0.207938,0.115871,4.213084,2.730914,4.450691,2.716512
4093.299873,0.213936,0.110111,4.238037,2.693121,4.475528,2.654508
4093.319979,0.216581,0.101230,4.258611,2.653930,4.490636,2.596316
4093.337898,0.217931,0.104410,4.274465,2.623017,4.498883,2.533396
4093.359658,0.208323,0.098881,4.291677,2.582214,4.500000,2.483333
4093.379642,0.183458,0.091579,4.316542,2.534912,4.500000,2.443333
4093.400912,0.164107,0.098554,4.335893,2.495221,4.500000,2.396667
4093.418948,0.146211,0.102407,4.353789,2.455741,4.500000,2.353333
4093.438620,0.127302,0.107624,4.372698,2.417624,4.500000,2.310000
4093.458306,0.112918,0.120731,4.387082,2.390731,4.500000,2.270000
4093.478381,0.099682,0.115233,4.400318,2.351900,4.500000,2.236667
4093.498458,0.084839,0.110711,4.415161,2.314044,4.500000,2.203333
4093.518302,0.070885,0.112831,4.429115,2.276165,4.500000,2.163333
4093.538366,0.057499,0.112922,4.442501,2.239589,4.500000,2.126667
4093.559326,0.045199,0.114421,4.454801,2.201088,4.500000,2.086667
4093.578634,0.035535,0.112766,4.464465,2.162766,4.500000,2.050000
4093.598098,0.025095,0.104212,4.474905,2.114212,4.500000,2.010000
4093.618450,0.024285,0.119250,4.475715,2.085917,4.500000,1.966667
4093.638247,0.015786,0.122241,4.484214,2.048908,4.500000,1.926667
4093.658268,0.010242,0.106844,4.489758,2.000178,4.500000,1.893333
4093.678280,0.004729,0.106944,4.495271,1.960278,4.500000,1.853333
4093.698438,-0.010251,0.119044,4.510251,1.925711,4.500000,1.806667
4093.718469,-0.014762,0.127595,4.514762,1.897595,4.500000,1.770000
4093.739275,-0.023243,0.112868,4.523243,1.849534,4.500000,1.736667
4093.758291,-0.025941,0.113106,4.525941,1.813106,4.500000,1.700000
4093.778614,-0.028822,0.117510,4.528822,1.777510,4.500000,1.660000
4093.798573,-0.028328,0.115947,4.528328,1.739280,4.500000,1.623333
4093.818572,-0.031034,0.115726,4.531034,1.702393,4.500000,1.586667
4093.838556,-0.032830,0.117980,4.532830,1.664647,4.500000,1.546667
4093.858627,-0.038902,0.117755,4.538902,1.627755,4.500000,1.510000
4093.878749,-0.037980,0.118992,4.537980,1.592325,4.500000,1.473333
4093.897586,-0.049663,0.118168,4.549663,1.554835,4.500000,1.436667
4093.917695,-0.057882,0.119900,4.557882,1.523234,4.500000,1.403333
4093.937814,-0.064861,0.120457,4.564861,1.487123,4.500000,1.366667
4093.957882,-0.060917,0.121478,4.560917,1.454812,4.500000,1.333333
4093.977940,-0.060846,0.132561,4.560846,1.432561,4.500000,1.300000
4093.998102,-0.064044,0.126981,4.564044,1.400315,4.500000,1.273333
4094.018495,-0.056635,0.119763,4.556635,1.366430,4.500000,1.246667
