vx,vy,omega,delta,T,eps_vx,eps_vy,eps_omega,pos_x,pos_y,theta
1.691063,-0.002597,-0.183691,-0.010246,0.644278,0.001075,-0.000054,-0.002818,2.658156,3.006271,1.725969
1.709366,-0.002147,-0.174433,-0.012189,0.645011,0.008913,0.000155,0.004891,2.709086,3.006419,1.762161
1.735292,-0.002358,-0.178044,-0.012123,0.639233,0.007302,0.000029,-0.000659,2.757764,3.006372,1.805797
1.758972,-0.002439,-0.186268,-0.011297,0.632318,0.004761,-0.000201,-0.006971,2.801916,3.010851,1.856385
1.779397,-0.002337,-0.190914,-0.012663,0.627003,0.006601,0.000176,0.003960,2.849691,3.009775,1.905045
1.801081,-0.002200,-0.193966,-0.010828,0.621265,0.005215,-0.000326,-0.010854,2.894765,3.011913,1.952270
1.820775,-0.002072,-0.195988,-0.011049,0.617590,0.004062,-0.000037,-0.003219,2.939165,3.013828,1.999652
1.838828,-0.001725,-0.191729,-0.011428,0.615488,0.004420,0.000123,0.002751,2.985892,3.012974,2.045913
1.856902,-0.001542,-0.186909,-0.009985,0.613726,0.004275,-0.000258,-0.008741,3.032602,3.014800,2.092532
1.874467,-0.001472,-0.184631,-0.008282,0.611595,0.004408,-0.000703,-0.022351,3.080112,3.016576,2.140489
1.891824,-0.001411,-0.183664,-0.006325,0.609488,0.003655,-0.001237,-0.038726,3.126104,3.018841,2.188293
1.908078,-0.001361,-0.183951,-0.004346,0.608203,0.004538,-0.001730,-0.053939,3.174674,3.018655,2.235884
1.924896,-0.001259,-0.183505,-0.001044,0.605744,0.003348,-0.002605,-0.080946,3.220504,3.022345,2.284653
1.940185,-0.001173,-0.183180,0.000948,0.603763,0.005174,-0.003124,-0.097790,3.271414,3.021367,2.332714
1.956963,-0.001094,-0.183663,0.004462,0.600269,0.004772,-0.004038,-0.126389,3.321651,3.020244,2.381761
1.972872,-0.000997,-0.183807,0.006748,0.596318,0.004143,-0.004689,-0.147418,3.369722,3.021434,2.433626
1.987691,-0.000964,-0.186101,0.007522,0.593427,0.004590,-0.001165,-0.062378,3.421490,3.019626,2.484015
2.002579,0.002845,-0.096001,0.006273,0.590327,0.000135,0.000374,-0.007568,3.459727,3.014221,2.534147
2.012637,0.004296,0.000908,0.003630,0.589757,0.007066,0.000785,0.041599,3.523366,3.018236,2.580736
2.029471,0.003281,0.080108,-0.004747,0.584359,0.003530,0.003227,0.102497,3.573856,3.018232,2.632131
2.042204,0.002098,0.109879,-0.016527,0.579753,0.000985,0.006453,0.198922,3.612981,3.013029,2.688520
2.051821,0.001394,0.121583,-0.031742,0.576641,0.007586,0.010000,0.320783,3.677099,3.018470,2.735328
2.067387,0.000592,0.123797,-0.058045,0.570425,0.006005,0.016465,0.522458,3.730272,3.018414,2.787172
2.079802,0.000222,0.119227,-0.088016,0.564897,0.007890,0.023202,0.735236,3.783488,3.018394,2.845489
2.091896,0.000168,0.118469,-0.124815,0.560430,0.005562,0.007627,0.387405,3.834607,3.020222,2.900130
2.098512,-0.022300,-0.442851,-0.159240,0.555792,0.003791,0.001256,0.064656,3.885785,3.019802,2.952471
2.101138,-0.036083,-1.328467,-0.184721,0.549643,0.003978,0.001905,0.213887,3.925871,3.013615,3.003173
2.102663,-0.033374,-1.861559,-0.208402,0.547086,0.006018,0.005546,0.070398,3.987643,3.008045,3.049550
2.104245,-0.024210,-2.410763,-0.231247,0.540887,0.005096,0.002568,0.070633,4.038589,3.002191,3.099907
2.102277,-0.016971,-2.801390,-0.249031,0.536076,0.005339,0.001482,0.048371,4.096826,2.992848,3.155209
2.098397,-0.009458,-3.105118,-0.269508,0.532957,0.003768,0.001617,0.040003,4.144701,2.980498,3.209178
2.090525,-0.001224,-3.341614,-0.281472,0.529992,0.004592,0.001112,0.025417,4.200140,2.965954,3.262228
2.081798,0.006649,-3.519662,-0.293076,0.527411,0.002686,0.000777,0.014491,4.247663,2.951711,3.312845
2.069541,0.013859,-3.654027,-0.299154,0.525178,0.003130,0.000999,0.020736,4.291402,2.928844,3.361309
2.056721,0.020601,-3.735204,-0.300000,0.523911,0.004627,0.001353,0.022185,4.343687,2.907037,3.406323
2.044934,0.026315,-3.778322,-0.300000,0.522973,0.004374,0.001284,0.023831,4.381185,2.877034,3.452356
2.032612,0.030228,-3.794616,-0.300000,0.523094,0.002461,0.000609,0.009051,4.431189,2.852864,3.497674
2.018316,0.031635,-3.810768,-0.300000,0.524079,0.000267,0.000055,0.000807,4.454733,2.816770,3.539891
2.002023,0.031247,-3.825867,-0.300000,0.525131,0.002285,0.000562,0.003924,4.489038,2.782067,3.580051
1.988132,0.030452,-3.832381,-0.300000,0.528860,0.001911,0.000499,0.003817,4.524121,2.749326,3.618884
1.974396,0.028797,-3.836566,-0.298608,0.533677,0.001954,0.000513,0.003865,4.547186,2.706079,3.655994
1.961481,0.026627,-3.839236,-0.293996,0.537824,-0.001984,-0.000432,-0.008645,4.577672,2.671038,3.693698
1.945670,0.023317,-3.850766,-0.285818,0.543396,0.001544,0.000291,-0.002577,4.597649,2.625476,3.731200
1.934964,0.021078,-3.846619,-0.276253,0.548621,-0.000093,-0.000105,-0.006334,4.621828,2.586080,3.769291
1.924171,0.018719,-3.833778,-0.262939,0.555226,0.001355,0.000110,-0.006593,4.621228,2.539908,3.808771
1.916845,0.017111,-3.799367,-0.243457,0.559032,0.000705,-0.000227,-0.019515,4.648190,2.497542,3.850552
1.911225,0.016090,-3.736950,-0.227296,0.565286,0.000865,-0.000170,-0.017231,4.647730,2.451739,3.895374
1.907900,0.015436,-3.636052,-0.206842,0.569103,0.001069,-0.000318,-0.027964,4.661499,2.404642,3.940011
1.907114,0.015087,-3.493601,-0.190010,0.572769,-0.000277,-0.000562,-0.027840,4.670896,2.364007,3.986453
1.906856,0.014044,-3.316358,-0.169820,0.577132,-0.000752,-0.000496,-0.086545,4.679111,2.328464,4.031084
1.908317,0.013230,-3.148896,-0.151988,0.581597,0.000405,-0.001724,-0.007486,4.670281,2.266691,4.069851
1.912748,0.011683,-2.856823,-0.130724,0.578043,-0.001420,-0.000768,-0.109283,4.670654,2.232708,4.116727
1.916839,0.010865,-2.638946,-0.107791,0.578950,0.000799,-0.002298,-0.028491,4.661841,2.176030,4.164456
1.924713,0.010409,-2.267387,-0.083378,0.573010,0.000026,-0.001282,-0.067885,4.656254,2.127674,4.209950
1.932701,0.011080,-1.909383,-0.060547,0.567578,0.000201,-0.001211,-0.066381,4.646198,2.083258,4.261133
1.941345,0.011795,-1.529155,-0.036679,0.562531,0.000287,-0.001248,-0.069245,4.631516,2.034154,4.308258
1.950303,0.012853,-1.133712,-0.013720,0.556553,0.000456,-0.006057,-0.189638,4.614355,1.989348,4.355282
1.959272,0.009190,-0.856870,0.010522,0.551484,0.000622,-0.002479,-0.136538,4.601473,1.942675,4.403050
1.967979,0.014290,-0.467906,0.031050,0.546413,0.000708,-0.001111,-0.060351,4.585445,1.896350,4.450162
1.976107,0.017980,-0.016737,0.047364,0.541594,0.001319,-0.004197,-0.131596,4.572469,1.849069,4.496848
1.984241,0.014820,0.280882,0.060913,0.537030,0.001153,-0.001559,-0.083596,4.561065,1.801529,4.543769
1.991446,0.016043,0.582402,0.072429,0.532422,0.001023,-0.000691,-0.034959,4.547373,1.753216,4.592188
1.997845,0.016409,0.879187,0.080500,0.527719,0.000662,-0.000537,-0.026137,4.542165,1.706502,4.641573
2.003318,0.014836,1.106240,0.083500,0.523666,0.000818,-0.000207,-0.009671,4.538702,1.656644,4.690194
2.008576,0.012261,1.263145,0.079846,0.519119,0.000903,0.000205,0.012497,4.530906,1.605285,4.738875
2.013779,0.008586,1.337048,0.072926,0.514070,0.000506,0.000371,0.021260,4.528389,1.555260,4.789769
2.018466,0.004489,1.325973,0.062846,0.510038,0.001155,0.000456,0.028647,4.517154,1.504491,4.841283
2.023806,0.000504,1.241462,0.048104,0.506283,0.000235,0.001057,0.053986,4.513665,1.458276,4.892888
2.028305,-0.003106,1.097150,0.031595,0.504029,-0.000196,0.003790,0.119393,4.511106,1.415472,4.942180
2.032470,-0.004060,0.945258,0.014405,0.502808,0.001045,0.001846,0.104941,4.507361,1.362901,4.987673
2.037933,-0.008779,0.706705,-0.011478,0.501259,0.000904,0.001413,0.079954,4.509457,1.311832,5.035564
2.042982,-0.014485,0.334396,-0.042082,0.500829,0.000896,0.001583,0.089908,4.511449,1.261779,5.086728
