vx,vy,omega,delta,T,eps_vx,eps_vy,eps_omega,pos_x,pos_y,theta
2.543263,0.002924,-0.080412,0.004841,0.659755,-0.003497,-0.000424,-0.025511,2.640219,2.998516,1.755408
2.575631,0.003817,-0.024939,0.009785,0.649755,0.003899,-0.001435,-0.033708,2.693655,2.998078,1.799233
2.613788,0.003145,0.043448,0.017076,0.639755,0.002196,-0.002836,-0.104230,2.746358,2.998303,1.848576
2.648413,0.001552,0.075078,0.026775,0.629755,-0.018180,-0.003849,-0.146238,2.750913,2.991546,1.903110
2.660874,0.001240,0.133245,0.035013,0.619755,0.006394,-0.006891,-0.257498,2.809087,2.992166,1.936866
2.696427,-0.001527,0.125935,0.043967,0.609755,0.001631,-0.001109,-0.120138,2.861659,2.993021,1.969398
2.725225,0.004990,0.329700,0.052687,0.599755,-0.001452,-0.000282,-0.029475,2.910993,2.993407,2.022736
2.749129,0.005376,0.626601,0.055622,0.589755,-0.006396,0.001262,-0.057066,2.947809,2.994786,2.075845
2.766528,-0.000204,0.804367,0.051360,0.579755,-0.000911,0.000353,0.010452,2.995216,2.996506,2.121274
2.788150,-0.009626,0.936899,0.043402,0.569755,-0.000590,0.002032,0.075721,3.041568,2.999413,2.164264
2.808714,-0.018149,1.003545,0.030931,0.559755,0.005316,0.003581,0.183485,3.100922,3.003589,2.211775
2.833967,-0.025724,1.035393,0.009653,0.549755,0.000876,0.009209,0.361237,3.148047,3.008376,2.264886
2.853517,-0.029955,1.038806,-0.017093,0.539755,0.002372,0.014913,0.591804,3.196456,3.013568,2.319022
2.873052,-0.032764,1.031441,-0.048601,0.529755,0.003865,0.021461,0.855171,3.244321,3.020397,2.368469
2.891796,-0.034495,1.020821,-0.083944,0.519755,0.001176,0.003492,0.440150,3.293525,3.026848,2.417000
2.904604,-0.060128,0.332070,-0.105647,0.509755,-0.002024,0.000534,0.054224,3.341612,3.031357,2.466490
2.912593,-0.059626,-0.694296,-0.109564,0.499755,-0.001819,0.000073,0.010117,3.390523,3.036005,2.516228
2.920350,-0.030820,-1.415041,-0.109580,0.489755,-0.002188,-0.000098,0.000841,3.438477,3.038755,2.565432
2.925915,0.004341,-1.819199,-0.113281,0.479755,-0.001706,-0.000056,0.010313,3.488667,3.041132,2.614016
2.929087,0.034643,-2.026388,-0.121149,0.469755,-0.002012,-0.000082,0.019485,3.537754,3.041871,2.663086
2.928798,0.057274,-2.147048,-0.131054,0.459755,-0.002676,-0.000155,0.025052,3.582691,3.040489,2.712550
2.924853,0.073540,-2.236331,-0.138688,0.449755,-0.001210,-0.000133,0.013810,3.635419,3.038548,2.758899
2.919899,0.085793,-2.317216,-0.153497,0.439755,-0.000025,-0.001881,0.040933,3.671763,3.036258,2.806973
2.913191,0.093240,-2.384643,-0.174844,0.429755,0.000871,0.001336,0.063468,3.719281,3.031800,2.851792
2.904130,0.101915,-2.462571,-0.203003,0.419755,0.003027,0.001040,0.071672,3.771427,3.026065,2.892363
2.893346,0.108477,-2.554727,-0.229039,0.409755,0.000132,0.000070,0.019923,3.817205,3.016982,2.939735
2.876141,0.114154,-2.697476,-0.245829,0.399755,-0.000344,-0.000161,0.006822,3.863428,3.002937,2.988305
2.855727,0.122240,-2.825486,-0.251580,0.389755,-0.006171,0.001576,-0.015492,3.915748,2.981622,3.034953
2.827607,0.133716,-2.937631,-0.250558,0.379755,-0.002330,-0.000470,-0.003866,3.958234,2.963585,3.087138
2.802018,0.143110,-2.994193,-0.243854,0.371987,-0.000073,-0.000047,-0.000167,3.997116,2.952346,3.142687
2.778222,0.151525,-3.015573,-0.239592,0.369763,-0.003839,-0.000685,-0.007013,4.033750,2.925524,3.195186
2.750725,0.156826,-3.021701,-0.224844,0.366012,-0.004493,-0.000756,-0.011230,4.069688,2.896025,3.247470
2.723636,0.159584,-3.009145,-0.202659,0.360301,-0.002480,-0.000457,-0.013300,4.108271,2.866527,3.304333
2.700284,0.160293,-2.969067,-0.180498,0.358564,-0.004037,-0.000735,-0.019668,4.135865,2.832963,3.366563
2.677651,0.158231,-2.900713,-0.153430,0.356742,-0.003690,-0.000799,-0.031890,4.164854,2.800117,3.431244
2.658381,0.153892,-2.788822,-0.126091,0.356906,-0.003128,-0.000780,-0.040694,4.191066,2.764765,3.496391
2.643111,0.147229,-2.610964,-0.099615,0.358320,-0.002246,-0.000753,-0.046765,4.213084,2.730914,3.562422
2.632337,0.137496,-2.351633,-0.078967,0.360397,-0.001939,-0.000951,-0.057980,4.238037,2.693121,3.626821
2.625141,0.122979,-2.044021,-0.069061,0.359749,-0.001173,-0.000583,-0.030665,4.258611,2.653930,3.689397
2.620896,0.103947,-1.727993,-0.065206,0.359433,-0.000514,0.003741,-0.064682,4.274465,2.623017,3.750047
2.618956,0.086451,-1.522563,-0.067331,0.359941,-0.000864,-0.000220,-0.006793,4.291677,2.582214,3.800476
2.617513,0.065646,-1.357570,-0.073506,0.359459,-0.000311,-0.001512,0.049876,4.316542,2.534912,3.843320
2.617028,0.047083,-1.263348,-0.083562,0.357363,0.000446,0.002812,0.104839,4.335893,2.495221,3.888665
2.617056,0.037298,-1.247460,-0.093642,0.354989,0.001366,0.004893,0.179838,4.353789,2.455741,3.933039
2.617366,0.032159,-1.247333,-0.103627,0.351969,0.000682,0.001435,0.109863,4.372698,2.417624,3.973937
2.616109,0.024368,-1.390535,-0.112014,0.349019,0.000038,0.000147,0.069707,4.387082,2.390731,4.014029
2.613483,0.021346,-1.589630,-0.117775,0.346485,-0.000470,0.000310,0.021280,4.400318,2.351900,4.048530
2.609713,0.024046,-1.806569,-0.117930,0.343310,-0.000701,-0.000046,0.000699,4.415161,2.314044,4.082322
2.605226,0.030626,-1.963651,-0.115770,0.339428,-0.000782,-0.000219,-0.007565,4.429115,2.276165,4.120591
2.600140,0.038374,-2.049698,-0.112211,0.335622,-0.000947,-0.000326,-0.012669,4.442501,2.239589,4.159531
2.594468,0.045249,-2.076591,-0.107409,0.332069,-0.000945,-0.000417,-0.017545,4.454801,2.201088,4.197998
2.588586,0.050270,-2.058091,-0.102494,0.328340,-0.000977,-0.000492,-0.019933,4.464465,2.162766,4.235544
2.582582,0.053018,-2.008537,-0.095741,0.324762,-0.002027,-0.000595,-0.008418,4.474905,2.114212,4.274014
2.575709,0.053919,-1.914991,-0.086838,0.320841,-0.000299,-0.000173,-0.047761,4.475715,2.085917,4.317263
2.570980,0.053473,-1.829374,-0.077384,0.317499,-0.001074,-0.000818,-0.040669,4.484214,2.048908,4.356892
2.565943,0.051777,-1.698821,-0.067506,0.313813,-0.001733,-0.001532,-0.010019,4.489758,2.000178,4.391193
2.560746,0.048326,-1.511694,-0.056984,0.309501,-0.000865,-0.000455,-0.032042,4.495271,1.960278,4.432697
2.556903,0.044587,-1.336566,-0.049304,0.305340,-0.000838,-0.000361,-0.024000,4.510251,1.925711,4.476829
2.553337,0.039790,-1.162281,-0.046253,0.301674,-0.000189,0.001041,-0.034378,4.514762,1.897595,4.515348
2.550475,0.035024,-1.046798,-0.043731,0.298229,-0.001157,-0.001328,0.004873,4.523243,1.849534,4.547394
2.546614,0.028032,-0.923465,-0.042359,0.294396,-0.000742,-0.000114,-0.004875,4.525941,1.813106,4.584586
2.543093,0.023243,-0.858256,-0.039869,0.290260,-0.000792,-0.000139,-0.008033,4.528822,1.777510,4.626356
2.539358,0.019974,-0.809279,-0.037828,0.285995,-0.000637,-0.000121,-0.006867,4.528328,1.739280,4.663269
2.535547,0.017765,-0.767074,-0.035347,0.281364,-0.000650,-0.000138,-0.008378,4.531034,1.702393,4.699928
2.531439,0.016284,-0.726168,-0.034197,0.276643,-0.000556,-0.000075,-0.003878,4.532830,1.664647,4.737299
2.527079,0.014947,-0.690012,-0.033435,0.271602,-0.000603,-0.000056,-0.002410,4.538902,1.627755,4.774605
2.522280,0.013657,-0.662746,-0.038374,0.267829,-0.000654,0.000197,0.017182,4.537980,1.592325,4.811699
2.517001,0.011493,-0.670261,-0.041101,0.263083,-0.000508,0.000110,0.009714,4.549663,1.554835,4.847333
2.511422,0.009893,-0.707892,-0.052567,0.260752,-0.000780,0.000383,0.034314,4.557882,1.523234,4.883069
2.505002,0.007565,-0.801263,-0.062605,0.258602,-0.000604,0.000347,0.029787,4.564861,1.487123,4.917206
2.498242,0.006180,-0.943548,-0.076185,0.258030,-0.000753,0.000463,0.039506,4.560917,1.454812,4.950332
2.490695,0.005724,-1.123668,-0.083008,0.256295,0.000511,-0.000360,0.053113,4.560846,1.432561,4.984050
2.483980,0.007047,-1.267723,-0.091794,0.255286,-0.000662,0.000630,0.037293,4.564044,1.400315,5.012016
2.475509,0.009873,-1.429606,-0.100180,0.254182,-0.000711,0.000588,0.034948,4.556635,1.366430,5.039261
2.466350,0.012887,-1.581389,-0.108222,0.252600,-0.000632,0.000572,0.033137,4.553993,1.334097,5.070861
2.456567,0.015937,-1.722335,-0.114763,0.250551,-0.000586,0.000430,0.025934,4.552615,1.301983,5.102457
2.446149,0.018991,-1.851421,-0.119655,0.248184,-0.000746,0.000259,0.018576,4.550605,1.271202,5.133716
2.434978,0.022088,-1.962542,-0.125471,0.245510,-0.000723,0.000358,0.022546,4.547634,1.240813,5.164637
2.423113,0.024935,-2.056045,-0.133779,0.242149,-0.002888,0.000781,0.008337,4.542187,1.200451,5.194732
2.408113,0.027181,-2.169510,-0.144568,0.236602,-0.000600,0.000238,0.023198,4.538011,1.171074,5.228375
2.394035,0.028195,-2.278142,-0.159630,0.229293,-0.000293,0.000324,0.028073,4.532133,1.141618,5.261702
2.378336,0.028645,-2.411955,-0.178381,0.219322,-0.000017,0.000392,0.030004,4.526579,1.112651,5.290548
2.360429,0.029077,-2.572936,-0.191443,0.211728,-0.000227,0.000178,0.018673,4.521353,1.085434,5.317888
2.340469,0.030671,-2.738491,-0.198965,0.205927,-0.000544,0.000036,0.009855,4.512301,1.059277,5.344325
2.319091,0.033664,-2.881243,-0.201642,0.202158,-0.000640,-0.000059,0.003584,4.505526,1.031779,5.371266
2.297112,0.037408,-2.987721,-0.195986,0.202952,-0.001086,-0.000289,-0.006536,4.497838,1.006371,5.399284
2.275301,0.041394,-3.045706,-0.186820,0.207627,-0.001908,-0.000466,-0.011861,4.495196,0.992098,5.427079
2.254115,0.044776,-3.049627,-0.173934,0.214058,-0.001532,-0.000514,-0.019843,4.481469,0.967202,5.449326
2.235327,0.047091,-2.999791,-0.165602,0.218016,0.002384,-0.000173,-0.034005,4.464350,0.940450,5.472015
2.221873,0.047393,-2.933370,-0.163189,0.219883,-0.001040,-0.000298,-0.005783,4.448964,0.917525,5.502298
2.205702,0.045142,-2.841872,-0.165039,0.220513,-0.004502,-0.001271,0.016163,4.439164,0.901975,5.534946
2.186514,0.039139,-2.761054,-0.165090,0.221739,-0.001051,-0.000134,0.000724,4.424020,0.882530,5.562816
2.171658,0.033503,-2.723487,-0.165929,0.222608,-0.000957,-0.000058,0.003179,4.409295,0.862950,5.588210
2.157538,0.028410,-2.703985,-0.167879,0.223075,-0.000852,0.000030,0.006361,4.389531,0.846237,5.616636
2.143939,0.024034,-2.701305,-0.171298,0.222755,-0.000743,0.000037,0.007280,4.370907,0.829609,5.646789
2.130621,0.020239,-2.718322,-0.174790,0.221907,-0.000836,0.000027,0.007231,4.356902,0.811981,5.677939
2.117291,0.017214,-2.749033,-0.179075,0.221324,-0.000866,0.000067,0.009053,4.341370,0.797523,5.708584
2.103879,0.014841,-2.789124,-0.183828,0.220683,-0.000716,0.000095,0.009530,4.322871,0.781796,5.737534
2.090492,0.012936,-2.837241,-0.189697,0.219520,-0.000693,0.000100,0.010369,4.304667,0.768404,5.766613
2.076811,0.011274,-2.893677,-0.194760,0.218320,-0.000728,0.000089,0.009412,4.285635,0.755408,5.796762
2.062859,0.009988,-2.952987,-0.201051,0.216575,-0.000601,0.000120,0.010564,4.265513,0.742424,5.827037
2.048582,0.008823,-3.015633,-0.208277,0.214325,-0.000545,0.000163,0.012129,4.247297,0.729343,5.857851
2.033781,0.007670,-3.082327,-0.216028,0.211880,-0.000552,0.000157,0.012068,4.230315,0.717585,5.888314
2.018326,0.006469,-3.154015,-0.223348,0.209286,0.000131,0.000768,0.025719,4.210094,0.706945,5.917110
2.002948,0.005972,-3.212841,-0.230984,0.206599,0.001130,0.001614,0.050207,4.190854,0.697078,5.946006
1.987879,0.005836,-3.250051,-0.237601,0.205070,0.000283,0.000577,0.028806,4.171047,0.689065,5.975352
1.971458,0.003738,-3.312926,-0.242440,0.205182,-0.000621,0.000049,0.006665,4.151506,0.683202,6.003884
1.954124,0.001593,-3.393674,-0.245591,0.206526,-0.000600,0.000242,0.010102,4.131360,0.677599,6.032474
1.937124,0.000567,-3.456638,-0.248390,0.208525,-0.000518,0.000508,0.017989,4.111601,0.673394,6.061361
1.920537,-0.000044,-3.498784,-0.249980,0.211684,-0.000586,0.000685,0.023142,4.088619,0.671124,6.090422
1.904401,-0.000775,-3.524508,-0.253083,0.215309,-0.000696,0.000977,0.031999,4.065919,0.670457,6.120364
1.888595,-0.001903,-3.539129,-0.257231,0.219178,-0.000695,0.001394,0.044287,4.043583,0.670595,6.151712
1.873172,-0.003435,-3.545996,-0.260587,0.223543,-0.000825,0.001717,0.053726,4.021591,0.670712,6.184018
1.858155,-0.005338,-3.548949,-0.264411,0.228148,-0.000952,0.002082,0.064227,3.998886,0.672488,6.216455
1.843553,-0.007492,-3.550115,-0.268183,0.232169,-0.000989,0.002479,0.075737,3.976885,0.675408,6.248673
1.829377,-0.009753,-3.549695,-0.271513,0.236047,-0.001055,0.002831,0.085802,3.954254,0.679090,6.280622
1.815696,-0.012044,-3.548497,-0.273960,0.239845,-0.001250,0.003116,0.094334,3.933210,0.683547,6.313028
1.802385,-0.014321,-3.546829,-0.275761,0.243843,-0.001545,0.003338,0.101035,3.913000,0.690136,6.345075
1.789444,-0.016551,-3.545102,-0.276869,0.248389,-0.001781,0.003518,0.105956,3.891181,0.697163,6.376362
1.777037,-0.018692,-3.543591,-0.277549,0.252758,-0.002194,0.003689,0.111542,3.871017,0.703752,6.408401
1.765003,-0.020690,-3.540391,-0.277713,0.257454,0.000094,0.004149,0.112124,3.848530,0.700098,6.439751
1.756071,-0.022267,-3.539946,-0.278682,0.261754,-0.002850,0.003250,0.106126,3.828694,0.710867,6.467010
1.744905,-0.024726,-3.548630,-0.278358,0.265706,-0.004725,0.000940,0.059704,3.811970,0.731352,6.493486
1.732685,-0.029013,-3.603611,-0.276632,0.269119,-0.000881,-0.000122,-0.000842,3.792943,0.742744,6.525502
1.725444,-0.032284,-3.704530,-0.273762,0.273067,0.000450,-0.000188,0.006913,3.772831,0.745007,6.559544
1.720750,-0.032847,-3.762304,-0.270093,0.278475,-0.002435,-0.000153,-0.009568,3.756686,0.769072,6.587932
1.714303,-0.032159,-3.805509,-0.265453,0.283182,-0.001139,-0.000288,-0.006103,3.739818,0.782634,6.617500
1.710219,-0.031151,-3.810764,-0.260160,0.288930,-0.001185,-0.000311,-0.007055,3.724227,0.798122,6.650345
1.707235,-0.030131,-3.791927,-0.253315,0.295643,-0.001348,-0.000428,-0.010908,3.707457,0.813580,6.681084
1.705440,-0.029229,-3.753454,-0.246004,0.303457,-0.001540,-0.000470,-0.011747,3.694060,0.830470,6.711077
1.704926,-0.028404,-3.696419,-0.237495,0.311705,-0.001464,-0.000523,-0.014913,3.679254,0.847474,6.739714
1.706090,-0.027581,-3.623516,-0.227497,0.320107,-0.001708,-0.000655,-0.019074,3.666603,0.865937,6.768071
