vx,vy,omega,delta,T,eps_vx,eps_vy,eps_omega,pos_x,pos_y,theta
2.504369,0.000598,-0.057426,0.004254,0.632206,-0.001409,-0.001708,-0.061190,2.611477,2.993630,1.725910
2.536716,0.000823,-0.056163,0.009613,0.622206,-0.001828,-0.002906,-0.105309,2.649890,2.996459,1.768531
2.567018,0.001006,-0.052755,0.013692,0.612206,0.000221,-0.003882,-0.142143,2.690565,2.998234,1.810287
2.597791,0.001016,-0.051866,0.018023,0.602206,0.003046,-0.004775,-0.176543,2.735726,2.994702,1.851842
2.629736,0.001131,-0.048272,0.027124,0.592206,0.002299,-0.006586,-0.245336,2.776898,2.995699,1.896165
2.659100,0.001389,-0.036904,0.035562,0.582206,0.001009,-0.002760,-0.185196,2.819732,2.996379,1.941250
2.685438,0.006947,0.102375,0.042462,0.572206,-0.003070,-0.000465,-0.032751,2.863554,2.997161,1.985191
2.706058,0.009829,0.405609,0.044822,0.562206,-0.002556,-0.000462,-0.019013,2.907957,2.997711,2.029704
2.725788,0.003989,0.625585,0.044841,0.552206,-0.001728,-0.000123,-0.011294,2.953839,2.998756,2.075211
2.744840,-0.004163,0.756177,0.041696,0.542206,-0.002799,0.000304,0.014726,2.998587,3.000909,2.121044
2.761443,-0.011937,0.822587,0.034212,0.532206,-0.002118,0.001706,0.062012,3.044887,3.002199,2.166775
2.777484,-0.017912,0.835621,0.024456,0.522206,-0.001258,0.003613,0.137567,3.091811,3.005475,2.213041
2.793197,-0.021653,0.827418,0.011335,0.512206,-0.001511,0.002084,0.147740,3.137643,3.009227,2.260139
2.807509,-0.027958,0.713689,-0.004840,0.502206,-0.001792,0.003646,0.140440,3.183997,3.015541,2.306965
2.820353,-0.030117,0.485610,-0.023398,0.492206,-0.000290,0.007510,0.294499,3.231596,3.020214,2.353782
2.833386,-0.025232,0.335084,-0.044440,0.482206,0.000930,0.011845,0.467434,3.278309,3.026412,2.401464
2.845901,-0.019048,0.244399,-0.066947,0.472206,0.001250,0.004979,0.374479,3.326967,3.031681,2.449717
2.856468,-0.025088,-0.072235,-0.086912,0.462206,-0.001464,0.001842,0.102607,3.371740,3.033653,2.497767
2.862211,-0.026169,-0.699570,-0.096821,0.452206,-0.001087,0.000602,0.044084,3.419982,3.039487,2.544971
2.866879,-0.012319,-1.221791,-0.106689,0.442206,-0.000756,0.001594,0.065628,3.468107,3.044449,2.592305
2.869731,0.008568,-1.565681,-0.120863,0.432206,0.001156,0.003600,0.146765,3.516093,3.048121,2.639678
2.871505,0.029288,-1.749147,-0.139154,0.422206,0.003679,0.005712,0.231103,3.562376,3.049380,2.686730
2.872306,0.045934,-1.836567,-0.159393,0.412206,0.006881,0.007515,0.297779,3.612534,3.050803,2.733628
2.872760,0.057903,-1.873935,-0.189529,0.402206,0.010035,0.009273,0.363524,3.658837,3.050193,2.781592
2.872162,0.065687,-1.891497,-0.216996,0.392206,0.013707,0.010491,0.404805,3.705180,3.047159,2.829146
2.871542,0.070827,-1.891240,-0.237576,0.382206,0.016688,0.011139,0.424404,3.753464,3.043359,2.874970
2.870993,0.073950,-1.879547,-0.258045,0.372206,0.012075,0.004815,0.284189,3.798447,3.033711,2.921606
2.863125,0.068725,-2.014554,-0.263174,0.362206,-0.001206,-0.000293,0.000175,3.842360,3.021307,2.967201
2.840601,0.064331,-2.419633,-0.256395,0.352560,-0.003411,-0.000609,-0.007959,3.884176,3.003789,3.010758
2.815328,0.073882,-2.744272,-0.235360,0.348191,-0.005670,-0.001025,-0.018776,3.921201,2.982307,3.054621
2.788388,0.090502,-2.963070,-0.202985,0.348708,-0.003556,-0.000868,-0.032678,3.962848,2.961900,3.099673
2.765452,0.110133,-3.065044,-0.171885,0.352700,-0.007307,-0.002528,-0.072600,3.995444,2.934818,3.148810
2.740946,0.127137,-3.081648,-0.136135,0.355575,-0.009994,-0.005536,-0.185932,4.024771,2.905999,3.202080
2.716637,0.138930,-3.067370,-0.099363,0.360055,-0.010881,-0.009478,-0.344968,4.059007,2.875772,3.256705
2.694816,0.146129,-3.031817,-0.073746,0.364670,-0.008295,-0.004708,-0.288389,4.085508,2.844138,3.316137
2.678119,0.157332,-2.789441,-0.061598,0.369888,-0.001573,-0.000887,-0.048492,4.115202,2.812313,3.379545
2.670120,0.160284,-2.275144,-0.062570,0.374761,-0.001464,-0.000242,0.004158,4.140734,2.780572,3.444798
2.664506,0.141508,-1.822668,-0.071111,0.378595,-0.000756,0.001175,0.055501,4.171677,2.748283,3.510852
2.661589,0.111525,-1.487770,-0.088768,0.380746,-0.000716,0.001365,0.096511,4.196873,2.715236,3.575880
2.659440,0.078636,-1.340428,-0.108873,0.381702,0.000234,0.002902,0.109546,4.225017,2.684386,3.638166
2.658067,0.053685,-1.391306,-0.129132,0.381673,0.001765,0.005918,0.218064,4.250085,2.652981,3.695250
2.657340,0.041546,-1.471976,-0.145527,0.380857,0.003510,0.008309,0.303408,4.277431,2.620412,3.746588
2.657248,0.037485,-1.543439,-0.159622,0.379065,0.002929,0.005006,0.252118,4.298558,2.584840,3.792677
2.655259,0.032329,-1.709266,-0.166529,0.375930,-0.000379,0.000204,0.014391,4.323160,2.550836,3.834353
2.649145,0.028387,-2.099302,-0.167061,0.371826,-0.000714,-0.000063,0.001141,4.344374,2.515915,3.872727
2.642204,0.036402,-2.394251,-0.162844,0.367356,-0.000899,-0.000274,-0.009201,4.363380,2.480154,3.909968
2.634450,0.049536,-2.577003,-0.155482,0.363325,-0.001022,-0.000462,-0.019176,4.383868,2.444264,3.947642
2.626050,0.063305,-2.661570,-0.145649,0.359392,-0.001129,-0.000772,-0.031185,4.402732,2.406947,3.986603
2.617302,0.075005,-2.668900,-0.134879,0.355411,-0.001565,-0.001514,-0.048683,4.413176,2.369025,4.026235
2.608159,0.082834,-2.624190,-0.120260,0.351100,-0.001878,-0.001307,-0.068065,4.424278,2.333282,4.065752
2.599376,0.088020,-2.526539,-0.105382,0.347391,-0.001358,-0.000942,-0.047997,4.434027,2.294398,4.104020
2.592010,0.090127,-2.344076,-0.088849,0.343238,-0.001474,-0.001119,-0.057096,4.438956,2.255290,4.142837
2.585767,0.087494,-2.115833,-0.072285,0.339372,-0.001227,-0.001193,-0.065110,4.446641,2.215355,4.183329
2.581154,0.081073,-1.850194,-0.057838,0.335509,-0.001147,-0.001123,-0.060093,4.450321,2.175276,4.223132
2.577848,0.071820,-1.561580,-0.045042,0.331467,-0.001046,-0.002610,-0.093178,4.454595,2.134628,4.263484
2.575613,0.059291,-1.310947,-0.035541,0.327324,-0.000982,-0.001178,-0.080142,4.456927,2.095323,4.304069
2.574044,0.049391,-1.075427,-0.027770,0.323043,-0.000624,-0.001730,-0.062973,4.464413,2.056879,4.343799
2.573088,0.039490,-0.859016,-0.023877,0.318517,-0.000446,-0.000676,-0.045850,4.470329,2.017221,4.382952
2.572284,0.031333,-0.691868,-0.021758,0.313902,-0.000573,-0.000150,-0.008765,4.472160,1.977998,4.422741
2.571142,0.024534,-0.549216,-0.020472,0.309081,-0.000757,-0.000115,-0.005264,4.474340,1.943099,4.462741
2.569505,0.018413,-0.461250,-0.017749,0.304046,-0.000224,-0.000604,-0.021970,4.488026,1.904674,4.499931
2.568047,0.013755,-0.412783,-0.020414,0.299266,0.000064,-0.000030,-0.000418,4.495970,1.868979,4.536554
2.566418,0.010498,-0.393448,-0.023315,0.294834,0.000807,0.000631,0.023178,4.501573,1.828834,4.573520
2.565082,0.008570,-0.388779,-0.024260,0.289411,0.001154,0.000847,0.030960,4.505600,1.791688,4.611307
2.563559,0.007587,-0.389525,-0.026437,0.284397,0.001753,0.001382,0.050344,4.507952,1.754907,4.649413
2.562105,0.007174,-0.390785,-0.028246,0.279105,0.001214,0.000664,0.039022,4.512364,1.717926,4.686378
2.559567,0.005861,-0.418719,-0.030166,0.273679,-0.000265,0.000413,0.015494,4.516303,1.681175,4.723252
2.554997,0.005182,-0.476963,-0.032420,0.268220,0.000302,0.000944,0.034363,4.522413,1.645183,4.759818
2.550467,0.006143,-0.511842,-0.037112,0.263406,0.000910,0.001979,0.071988,4.526428,1.609314,4.796074
2.545979,0.007240,-0.532046,-0.042231,0.258654,0.001439,0.003146,0.113811,4.531515,1.574993,4.831649
2.541427,0.008106,-0.542300,-0.050780,0.254750,0.002092,0.004959,0.178917,4.531019,1.540827,4.866676
2.536866,0.008528,-0.550994,-0.058555,0.250576,0.002890,0.006685,0.239926,4.539441,1.507018,4.900403
2.532404,0.008844,-0.555473,-0.070349,0.247724,0.003708,0.009046,0.323630,4.537478,1.472280,4.933280
2.527928,0.008844,-0.563456,-0.082060,0.244755,0.004580,0.011342,0.404358,4.535779,1.439748,4.967485
2.523400,0.008843,-0.571765,-0.092312,0.241475,0.002551,0.004275,0.257816,4.537929,1.410337,5.001417
2.515916,-0.000113,-0.792497,-0.101996,0.238556,-0.000101,0.001721,0.061167,4.536732,1.377624,5.032182
2.505205,-0.003954,-1.205738,-0.107740,0.234826,-0.000096,0.000813,0.052296,4.535722,1.344814,5.062624
2.494070,0.001041,-1.510879,-0.112072,0.230824,-0.000346,0.000716,0.026989,4.534731,1.312625,5.094443
2.482007,0.008965,-1.738807,-0.115892,0.226506,0.000382,0.001405,0.051416,4.533857,1.280128,5.125559
2.469821,0.017628,-1.862313,-0.121606,0.222464,0.001026,0.002353,0.084374,4.533794,1.249568,5.156900
2.457259,0.024342,-1.922631,-0.130643,0.219248,0.002201,0.003756,0.132267,4.527634,1.217251,5.188039
2.444708,0.028614,-1.949103,-0.140268,0.215733,0.003382,0.005370,0.185785,4.527093,1.187145,5.218028
2.432233,0.031056,-1.951249,-0.151318,0.212973,0.002845,0.003628,0.164748,4.522728,1.158350,5.247618
2.418089,0.028526,-2.018096,-0.161745,0.210692,-0.000025,0.001227,0.044347,4.520000,1.128700,5.276825
2.400270,0.024335,-2.231603,-0.169743,0.209357,0.000681,0.002244,0.079467,4.512840,1.102717,5.305527
2.382707,0.026299,-2.380994,-0.177344,0.208827,0.001555,0.003172,0.108960,4.506551,1.075863,5.332739
2.365422,0.030104,-2.475258,-0.182997,0.208804,0.000861,0.001576,0.079710,4.499531,1.049747,5.359587
2.346974,0.031387,-2.578141,-0.188096,0.209389,-0.000859,0.000093,0.010497,4.494528,1.023527,5.387431
2.326620,0.031582,-2.730482,-0.190911,0.210890,-0.000883,0.000152,0.010091,4.485529,0.998128,5.415249
2.306345,0.034064,-2.844512,-0.192683,0.212803,-0.000921,0.000344,0.016432,4.478077,0.973913,5.442664
2.286218,0.037193,-2.916250,-0.194174,0.215194,-0.000958,0.000475,0.021024,4.464329,0.950765,5.470150
2.266282,0.039630,-2.957590,-0.196527,0.216920,-0.000898,0.000700,0.028210,4.448016,0.928444,5.498448
2.246553,0.040871,-2.978625,-0.198924,0.218120,-0.000845,0.000321,0.022018,4.435183,0.906776,5.528073
2.227062,0.040241,-3.000573,-0.201244,0.219447,-0.000870,-0.000054,0.004965,4.422651,0.887200,5.557826
2.207790,0.038482,-3.037612,-0.201840,0.221321,-0.001086,-0.000129,0.001913,4.408727,0.869531,5.586519
2.188954,0.036889,-3.068404,-0.201583,0.223152,-0.000887,-0.000139,0.000310,4.389935,0.851201,5.614529
2.170918,0.035399,-3.090212,-0.202288,0.224071,-0.000790,-0.000054,0.002975,4.373124,0.833376,5.643619
2.153399,0.033785,-3.103968,-0.202652,0.224764,-0.001098,-0.000018,0.005139,4.363234,0.820720,5.674094
2.136078,0.031919,-3.111386,-0.203403,0.226180,-0.000841,0.000060,0.006160,4.343047,0.803421,5.701170
2.119508,0.029751,-3.117069,-0.202837,0.226765,-0.000975,0.000012,0.005014,4.324782,0.787995,5.728862
2.103325,0.027428,-3.119916,-0.202770,0.226683,-0.000913,-0.000081,0.002930,4.306267,0.774382,5.760427
2.087679,0.024893,-3.123548,-0.202974,0.226203,-0.000712,-0.000093,0.001444,4.286749,0.761743,5.791401
2.072618,0.022343,-3.128575,-0.203878,0.225199,-0.000514,0.000023,0.004765,4.266893,0.749705,5.822770
2.058010,0.019915,-3.132427,-0.205852,0.223525,-0.000183,0.000255,0.011511,4.247903,0.737674,5.854492
2.043808,0.017561,-3.135731,-0.208362,0.221676,0.000162,0.000548,0.020257,4.230566,0.726516,5.886139
2.029944,0.015275,-3.138539,-0.210517,0.220463,0.000441,0.000804,0.027741,4.211038,0.717210,5.916550
2.016454,0.013062,-3.140956,-0.213397,0.218979,0.000248,0.000493,0.023657,4.190740,0.708485,5.946460
2.002725,0.010258,-3.157236,-0.217870,0.217373,-0.000463,0.000126,0.009863,4.170491,0.699819,5.976944
1.988143,0.007155,-3.199529,-0.222402,0.216085,-0.000240,0.000409,0.015989,4.149130,0.693592,6.007281
1.973674,0.004987,-3.240674,-0.227486,0.214996,0.000188,0.000931,0.031538,4.129603,0.689831,6.038283
1.959467,0.003514,-3.270903,-0.232528,0.214519,0.000045,0.000510,0.025382,4.109218,0.684343,6.068992
1.944953,0.001299,-3.313133,-0.238070,0.214689,-0.000485,0.000113,0.009362,4.086704,0.681244,6.098867
1.929817,-0.001162,-3.376474,-0.243589,0.215585,-0.000623,0.000100,0.009466,4.066660,0.680550,6.129356
1.914573,-0.003030,-3.438495,-0.248603,0.217687,-0.000855,0.000082,0.009099,4.049346,0.684422,6.160471
1.899271,-0.004554,-3.496795,-0.253655,0.220798,-0.000344,0.000128,0.008160,4.021939,0.682166,6.190292
1.884694,-0.005909,-3.552166,-0.259234,0.222980,-0.000410,0.000116,0.008549,3.998359,0.681497,6.221863
1.870139,-0.007290,-3.604855,-0.264762,0.224979,-0.000464,0.000108,0.008583,3.976759,0.684423,6.255868
1.855587,-0.008737,-3.655582,-0.269595,0.227321,-0.000414,0.000110,0.007678,3.954562,0.685022,6.289037
1.841254,-0.010196,-3.703913,-0.274163,0.229330,-0.000406,0.000079,0.006619,3.931597,0.689621,6.321077
1.827114,-0.011712,-3.749787,-0.276843,0.231047,-0.000384,0.000181,0.008063,3.908963,0.694372,6.353268
1.813306,-0.013011,-3.786983,-0.279720,0.232756,-0.000469,0.000119,0.008483,3.889440,0.701564,6.386086
1.799700,-0.014507,-3.818818,-0.281234,0.234647,-0.000510,0.000080,0.005261,3.868296,0.709393,6.417839
1.786481,-0.016070,-3.847665,-0.282010,0.236908,-0.000695,0.000137,0.007240,3.848899,0.717212,6.449184
1.773635,-0.017537,-3.867486,-0.281447,0.239613,-0.000733,0.000001,0.003864,3.829138,0.724799,6.480538
1.761447,-0.019148,-3.882549,-0.279874,0.242935,-0.000977,-0.000198,-0.001953,3.810738,0.736626,6.510406
1.749913,-0.020822,-3.894177,-0.278013,0.246696,-0.001550,-0.000405,-0.007105,3.793412,0.748091,6.540254
1.738752,-0.022502,-3.901810,-0.275198,0.250961,-0.002201,-0.000723,-0.015661,3.773402,0.758049,6.570413
1.728058,-0.024200,-3.906817,-0.271831,0.255791,-0.002948,-0.001140,-0.026635,3.753266,0.774035,6.599628
1.717796,-0.025921,-3.910004,-0.267110,0.260565,-0.002499,-0.000730,-0.018925,3.739750,0.786630,6.630244
1.709328,-0.026608,-3.887940,-0.262573,0.266602,-0.001175,-0.000296,-0.005978,3.725052,0.800278,6.660038
1.703492,-0.026931,-3.841353,-0.256812,0.273299,-0.001894,-0.000844,-0.018976,3.711383,0.818144,6.687200
1.698316,-0.028015,-3.799070,-0.249663,0.280337,-0.001973,-0.000892,-0.026687,3.693167,0.836647,6.715263
1.694683,-0.028613,-3.749743,-0.241403,0.287330,-0.002232,-0.001355,-0.032898,3.680037,0.855721,6.745672
1.692432,-0.029104,-3.687646,-0.232239,0.294844,-0.003775,-0.002692,-0.069523,3.668507,0.876519,6.776746
1.690364,-0.030256,-3.641841,-0.221723,0.302601,-0.005509,-0.004413,-0.117005,3.655524,0.894495,6.806674
1.688500,-0.031494,-3.609324,-0.210767,0.310193,-0.004138,-0.002355,-0.082580,3.644284,0.913578,6.834662
1.689971,-0.028541,-3.496933,-0.199785,0.317321,-0.001763,-0.001038,-0.032962,3.634259,0.935021,6.860486
1.695183,-0.025186,-3.313241,-0.188282,0.324100,-0.001918,-0.001113,-0.035011,3.624646,0.955751,6.884942
1.701408,-0.023687,-3.135831,-0.177350,0.330504,-0.003019,-0.002383,-0.061604,3.619141,0.974520,6.908649
1.707739,-0.024102,-2.992762,-0.167415,0.336504,-0.003803,-0.004364,-0.121225,3.609066,0.998323,6.930969
1.714497,-0.025690,-2.911706,-0.156578,0.341789,-0.005050,-0.006574,-0.185523,3.598780,1.021744,6.954039
1.721326,-0.026847,-2.865181,-0.144614,0.346548,-0.006361,-0.009082,-0.258957,3.590018,1.044806,6.979520
1.728143,-0.027292,-2.835808,-0.131222,0.350747,-0.005133,-0.005219,-0.198839,3.581785,1.067448,7.004759
1.737417,-0.020395,-2.667401,-0.119337,0.353854,-0.001570,-0.001156,-0.042803,3.576648,1.091084,7.029282
1.750598,-0.012411,-2.328610,-0.108018,0.356198,-0.001676,-0.002779,-0.079315,3.569101,1.115338,7.053700
1.763647,-0.011897,-2.095774,-0.096425,0.357296,-0.002496,-0.005750,-0.167974,3.562458,1.139826,7.078869
1.776236,-0.014142,-1.979228,-0.083792,0.357377,-0.002975,-0.008441,-0.249581,3.557284,1.165004,7.104739
1.788774,-0.015395,-1.911356,-0.069464,0.356820,-0.003630,-0.011813,-0.351373,3.555426,1.188858,7.130708
1.800969,-0.015877,-1.871442,-0.053921,0.355896,-0.003836,-0.016060,-0.480784,3.554368,1.215912,7.156298
1.813089,-0.016271,-1.860399,-0.035521,0.354504,-0.003977,-0.020065,-0.603276,3.549883,1.239902,7.182873
1.825002,-0.015266,-1.832405,-0.017164,0.353294,-0.003689,-0.024541,-0.740373,3.543786,1.266618,7.209955
1.836849,-0.014497,-1.809738,0.002938,0.351876,-0.003667,-0.029298,-0.884742,3.539656,1.292393,7.236658
1.848065,-0.013693,-1.787011,0.022751,0.350805,-0.003021,-0.036624,-1.106561,3.535114,1.319263,7.263269
1.859039,-0.015752,-1.850426,0.043980,0.349926,-0.001874,-0.039215,-1.185173,3.528106,1.345065,7.289736
1.869944,-0.013132,-1.823605,0.066207,0.350104,-0.000992,-0.046209,-1.393865,3.524303,1.371679,7.316692
1.880305,-0.014420,-1.876036,0.089142,0.352145,0.000445,-0.050318,-1.514594,3.518680,1.398729,7.343977
1.890558,-0.013938,-1.910632,0.112097,0.355757,0.001682,-0.053814,-1.617417,3.513777,1.425768,7.372085
1.900511,-0.012976,-1.931957,0.135127,0.361016,0.002677,-0.056362,-1.690324,3.500215,1.450272,7.400170
1.909980,-0.011698,-1.935430,0.153675,0.366883,0.003319,-0.055581,-1.665923,3.490134,1.477857,7.428259
