Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,twist.linear.x,twist.linear.y,twist.linear.z,twist.angular.x,twist.angular.y,twist.angular.z
1709637585.2938354,334,1709637585,301988363,/world,-0.21810876147630404,-0.44349403666072756,-0.005621627670532666,0.015487477486293907,0.016487675420603226,0.4767526730919502
1709637585.3241756,335,1709637585,332292318,/world,-0.20827350621967097,-0.44734916174509515,-0.0033511078589288784,-0.03585342566057934,-0.06294764815914002,0.4612001867792413
1709637585.3646564,336,1709637585,362595320,/world,-0.20072340342770326,-0.45298165132698054,-0.008691100654252416,-0.049683491682912966,0.011456575261310942,0.4103179648029313
1709637585.384853,337,1709637585,392898321,/world,-0.20361114292129073,-0.4551691836231906,-0.004952764998446118,-0.0730111878790863,-0.16261685558462846,0.566332849558597
1709637585.4151306,338,1709637585,423201323,/world,-0.18999305390181892,-0.4622637005125539,-0.0061788421145187854,-0.0759695740324131,-0.10766105599810688,0.4503781121971578
1709637585.4454153,339,1709637585,453504324,/world,-0.18221021624822054,-0.46664320128767606,-0.00309965459026929,0.03842744659555246,0.12563851554092947,0.4545628901461658
1709637585.475695,340,1709637585,483807325,/world,-0.17678491666560125,-0.4659771109750697,-0.006352082025872535,0.01361575529438818,-0.053122131823451935,0.5031005771226799
1709637585.5060015,341,1709637585,514110327,/world,-0.17029357201804105,-0.4617518456339117,-0.008311776294278865,0.017462638447620124,-0.07440654009988298,0.5887936972868357
1709637585.5463946,342,1709637585,544413328,/world,-0.1557009669470488,-0.4666371615945143,-0.004606226035980366,-0.05138541352864859,0.03148666255927415,0.54504872135026
1709637585.5666027,343,1709637585,574716330,/world,-0.15004782986593468,-0.469752863949452,-0.007454082617954128,-0.14479393852627384,-0.10133704885523975,0.5160416696134361
1709637585.5972478,344,1709637585,605019331,/world,-0.14817903735599894,-0.47265472085246507,-0.008178614504665874,-0.1714421700922151,-0.1354003394576974,0.4785932930970315
1709637585.6275687,345,1709637585,635322332,/world,-0.13911302621888347,-0.4797367503569725,-0.0062844404663081055,0.011373139807474453,-0.21605743858846643,0.5423583978252168
1709637585.6580184,346,1709637585,665625334,/world,-0.1292950298128352,-0.48412295382299214,-0.00401098081914474,0.1377597511073004,0.14292443923102843,0.4957351744712857
1709637585.6885772,347,1709637585,695928335,/world,-0.12176073111994866,-0.4879810244711233,-0.006318167684469845,0.010261615910964361,0.11006950453052652,0.5347610465709417
1709637585.7188554,348,1709637585,726231337,/world,-0.11547003278947222,-0.4808412266281766,-0.00568311224366684,0.044135978686465814,0.08567522430420471,0.5415735289686539
1709637585.7491152,349,1709637585,756534338,/world,-0.10593962528991395,-0.48535853641708043,-0.006816476822168342,-0.15552390076677333,-0.17733850362092152,0.5022712398414506
1709637585.7895718,350,1709637585,786837339,/world,-0.09474941672571549,-0.4872448982526567,-0.005511671904883021,-0.00954501942401434,-0.032052488144268976,0.5205471100033715
1709637585.8097548,351,1709637585,817140341,/world,-0.09356546021124035,-0.4929931768416378,-0.008514059617960874,-0.1193069144589453,-0.06314516759594836,0.5395696790633581
1709637585.8400726,352,1709637585,847443342,/world,-0.08255129181664449,-0.49882667554885235,-0.00808136360969902,-0.046835833671051014,-0.080731868508096,0.57172235296333
1709637585.8805664,353,1709637585,877746344,/world,-0.07585165359650457,-0.5052531127428256,-0.003666512452688938,0.09188389394577079,0.07334896688359491,0.5974008163488151
1709637585.9007924,354,1709637585,908049345,/world,-0.06226746344806809,-0.503618340221224,-0.004938621851723827,0.06249743054597388,0.08818715329085919,0.5238993693323063
1709637585.931056,355,1709637585,938352346,/world,-0.059235643488962035,-0.508998233005826,-0.005998935450564185,-0.05577811443094954,-0.009604538752403538,0.522619850991284
1709637585.9614418,356,1709637585,968655348,/world,-0.05007375666207297,-0.5068773728145036,-0.008091288333242637,0.017812879543423026,-0.025289813217604144,0.560416667775709
1709637585.991849,357,1709637585,998958349,/world,-0.04047538568633701,-0.5068907225406433,-0.0003922732949389659,0.008207870135822137,0.0644633786058037,0.5251385176947909
1709637586.0220928,358,1709637586,29261351,/world,-0.03349874342995301,-0.5112452408554243,-0.012910210869667727,-0.05878051372507284,-0.03862635005417829,0.5778250025267256
1709637586.0523412,359,1709637586,59564352,/world,-0.02359207776806206,-0.5165146678533065,-0.007566510749883029,-0.003823415768273185,0.04457647226473714,0.5494372392487398
1709637586.0825853,360,1709637586,89867353,/world,-0.02533976758763838,-0.5277708168762889,-0.015371266771689159,0.22113097371684443,-0.03177836636822168,0.4544333717757995
1709637586.1128745,361,1709637586,120170355,/world,-0.006619348421469315,-0.530735628443702,-0.0013336499550562486,0.19376216308915536,0.36569094472668506,0.5574875987720584
1709637586.1431656,362,1709637586,150473356,/world,-0.008793548782801551,-0.5237615674213516,-0.006988925068082175,-0.074399482678526,-0.46763731546848075,0.47468893708539844
1709637586.1734092,363,1709637586,180776358,/world,0.00143476277448246,-0.5213666563161047,-0.003286075119002959,0.047397082983535135,0.32217719874383444,0.5880472310712672
1709637586.2036245,364,1709637586,211079359,/world,0.011200011224322074,-0.5245184886202057,-0.004682572669118267,-0.015627308905956427,0.0168152843104879,0.4958368261113387
1709637586.2338295,365,1709637586,241382360,/world,0.020977523141420165,-0.5249504638617167,-0.013073590002774978,-0.0368021865125399,-0.21900852741078816,0.5206159766439139
1709637586.2641113,366,1709637586,271685362,/world,0.028622875692139796,-0.5290571501050748,-0.011352304119647653,0.008113050537114093,0.24122045104746961,0.49970227210626544
1709637586.3044953,367,1709637586,301988363,/world,0.03137300573825193,-0.5307222544025957,-0.009501486523854566,-0.11552148560369524,-0.19647205149647665,0.5247555875334686
1709637586.324669,368,1709637586,332292318,/world,0.04534859963454459,-0.5328888280032135,-0.009795200338294398,-0.07392114859401883,-0.039831779612894164,0.4721204751012095
1709637586.3548837,369,1709637586,362595320,/world,0.04807618689386521,-0.5312899312521094,-0.010136848765201368,0.061002363991230074,0.28489331304143317,0.44812482532172654
1709637586.3853784,370,1709637586,392898321,/world,0.052093832664627505,-0.5271792548046106,-0.005632364926177105,-0.10154830053733022,-0.00967014413830014,0.4015304503535634
1709637586.4156055,371,1709637586,423201323,/world,0.061022210585366034,-0.522983223631477,-0.005700100759309291,-0.061116731575129854,-0.09863171129001005,0.39208697579825524
1709637586.4461102,372,1709637586,453504324,/world,0.06406765322399902,-0.5251245445235462,-0.004096263027173805,-0.13762110285857693,-0.15331366277934536,0.47601698277852944
1709637586.4763615,373,1709637586,483807325,/world,0.07830469456154704,-0.523366386690396,-0.0075541757546678375,-0.05853057874082354,-0.033233384828096235,0.376975850032172
1709637586.5066187,374,1709637586,514110327,/world,0.08035623394484209,-0.5287058619563597,-0.00014865445501771428,-0.011991293973536439,0.1925232684003248,0.329497347182526
1709637586.536856,375,1709637586,544413328,/world,0.08006514688511855,-0.5283560831427387,-0.005144667524207709,-0.031484706410644936,-0.0688959663187152,0.3242737513107376
1709637586.567078,376,1709637586,574716330,/world,0.08289342474224742,-0.5250666048495043,-0.003637486513795704,-0.028176882665877544,-0.2242751160732504,0.3343158153890296
1709637586.597323,377,1709637586,605019331,/world,0.09221930015214254,-0.5209898073027653,-0.0030651126603963553,-0.00916316885855301,0.14787520598215126,0.3323340880995117
1709637586.6276152,378,1709637586,635322332,/world,0.09554476056336526,-0.5199750559807472,-0.004583273131561259,0.07035745244834576,-0.04747611437346547,0.23459045164322606
1709637586.657913,379,1709637586,665625334,/world,0.09831397214619068,-0.5213055284744519,-0.005236297480754473,0.061403588868653235,-0.10402217064394569,0.38294639414317416
1709637586.6882162,380,1709637586,695928335,/world,0.11811407020682496,-0.5178024481210736,-0.0006400892676286848,-0.16959374492181872,-0.07232406457707956,0.4017395048957497
1709637586.7184305,381,1709637586,726231337,/world,0.11947126060412971,-0.5190883181738871,0.004042668585471205,0.018875835852535883,0.10334041463693815,0.36278720900915506
1709637586.7486804,382,1709637586,756534338,/world,0.11377525863172909,-0.51645720360108,-0.009388214975903156,0.024247550264780558,-0.058449506174378676,0.15742734616910845
1709637586.7789912,383,1709637586,786837339,/world,0.12129179448740883,-0.5148813618378386,-0.004387074134214011,-0.020035563304858325,-0.10361007020864585,0.3714811062444216
1709637586.8092155,384,1709637586,817140341,/world,0.1326612961915229,-0.5073713878293504,0.001539863118838059,-0.04439930854872556,-0.12095531127687528,0.3744737098505217
1709637586.8394756,385,1709637586,847443342,/world,0.13811013793558302,-0.5015693117444636,-0.004801146456038287,0.08589080869525861,-0.0863377739015507,0.46340962950543585
1709637586.8699002,386,1709637586,877746344,/world,0.14263297986106144,-0.5037400795861748,-0.006958404688454979,-0.041082474324651536,-0.13833877896422048,0.46149965931547676
1709637586.9001846,387,1709637586,908049345,/world,0.15654031215332684,-0.49863089694829965,-0.004191681826633407,-0.03216580391752288,0.033465873224426845,0.40122214974534137
1709637586.9305592,388,1709637586,938352346,/world,0.16764826807367467,-0.4993727082818289,-0.0010508696765594247,0.09745627169258708,0.12126238571281711,0.4181040702336304
1709637586.9608278,389,1709637586,968655348,/world,0.1665389306832802,-0.5014516261915076,-0.0038267005548024728,0.032213529532898855,-0.07900697207757934,0.4537846478824931
1709637586.9911337,390,1709637586,998958349,/world,0.17096707951712148,-0.4936324600793861,0.0014740097999175385,-0.013612556671197047,-0.031252500786859067,0.5138533613644031
1709637587.0213974,391,1709637587,29261351,/world,0.18460609006227188,-0.4843131665847209,-0.0029783736784267725,0.08571535509873715,-0.03832452736771286,0.4436292857090441
1709637587.0540323,392,1709637587,59564352,/world,0.1855642373004461,-0.48202023721454057,-0.0026041193560949016,-0.0826326503153701,0.028938990407552018,0.4893242655975344
1709637587.08437,393,1709637587,89867353,/world,0.19088322980745495,-0.4807456957720074,0.0005096377754998881,0.11650562832706488,-0.28291323394490975,0.5336635818899335
1709637587.1146584,394,1709637587,120170355,/world,0.2066705799841634,-0.4800927388005183,-0.004191981931255811,-0.09543294906818084,0.16883781831799666,0.41057718973406054
1709637587.1449125,395,1709637587,150473356,/world,0.21282454702562906,-0.47339387244161707,-0.0071523377795395335,0.016567370445427915,-0.056856927137092644,0.4182500315762015
1709637587.175193,396,1709637587,180776358,/world,0.21382551342197084,-0.48039989369719904,-0.0070868813071202465,0.0064515641085964165,-0.09855029444693358,0.39392621012366213
1709637587.205505,397,1709637587,211079359,/world,0.21973540777357325,-0.47873730321790386,-0.003492065213208643,0.14446963089318332,0.07128649895047476,0.4393153979531293
1709637587.2359843,398,1709637587,241382360,/world,0.22750405045534938,-0.4751656800582602,-0.004348588545626691,0.1766323758894391,-0.07298762534389053,0.36771857020674803
1709637587.2662284,399,1709637587,271685362,/world,0.24170669018368426,-0.4653467080254385,-0.005171125245023221,-0.07827876831375793,-0.005212478575617255,0.5033123813378678
1709637587.2965214,400,1709637587,301988363,/world,0.24171385814319166,-0.46957663079954104,-0.00568621394154195,0.1423898172319958,-0.03298422946048235,0.5628174822178863
1709637587.3268604,401,1709637587,332292318,/world,0.2553532425145997,-0.4647788345358113,-0.006843500672048722,0.008883976066566351,0.01208294439418444,0.5167572833587137
1709637587.3572679,402,1709637587,362595320,/world,0.26502640830984814,-0.4659864444844154,-0.009912375885782053,0.17532147473027737,0.028872488997413553,0.5626376578094966
1709637587.3875763,403,1709637587,392898321,/world,0.2684920673986892,-0.46188819886934546,0.000622620108584512,-0.049472652929151456,-0.1266103121618273,0.5622487024566092
1709637587.4178612,404,1709637587,423201323,/world,0.284426036404934,-0.4582210618150592,-0.010592814154254386,-0.03023471351711063,-0.20969653522805645,0.6535983125085859
1709637587.4481664,405,1709637587,453504324,/world,0.2952662050780017,-0.4460908280836755,-0.002143052993389674,-0.053827545321284836,0.07594845656322699,0.7142112773571945
1709637587.4784293,406,1709637587,483807325,/world,0.3122813020052064,-0.4435545143600158,-0.002538034896052885,-0.011686313255369916,0.07980022346564268,0.6565461466105592
1709637587.50871,407,1709637587,514110327,/world,0.32142774164091725,-0.44388518796019316,-0.014029900967235519,0.08748889452747804,0.033895665724535784,0.6383648185167063
1709637587.5390952,408,1709637587,544413328,/world,0.33204974842079416,-0.4449584072498657,-0.0015035002982978617,-0.17803687933949286,-0.02203003666244311,0.6351330716953747
1709637587.5693524,409,1709637587,574716330,/world,0.35014621605577806,-0.4387440005904678,-0.012065093311840254,-0.06833825805254487,-0.012510806433484968,0.5316755548436499
1709637587.5996053,410,1709637587,605019331,/world,0.35517320203578373,-0.4461551274828835,-0.004711897333572918,0.05218284514690261,0.0695567424907127,0.6092638219383026
1709637587.6299262,411,1709637587,635322332,/world,0.36381778724794467,-0.43374586293350903,-0.0021796442853784384,-0.18893246739144615,0.16095618041243084,0.5045828587484124
1709637587.660214,412,1709637587,665625334,/world,0.3697665841672738,-0.4373977386726306,-0.007345362670646694,0.1457092599883708,-0.08018001526347765,0.5406467859152709
1709637587.690566,413,1709637587,695928335,/world,0.3755968699070351,-0.4325325379454392,-0.006514469095254785,0.022509899878702458,-0.12180072591568407,0.5607411581330397
1709637587.7208905,414,1709637587,726231337,/world,0.3935960907422804,-0.4311557677510664,-0.004912580520320342,0.10636895045435725,-0.059642504651394194,0.5618019058628895
1709637587.7513053,415,1709637587,756534338,/world,0.4013004676478672,-0.42673747943767815,-0.001530441318724814,-0.16010876007536223,0.06004976597714747,0.5622083549194066
1709637587.7815711,416,1709637587,786837339,/world,0.4103483717637978,-0.422294722468252,-0.014103454578447897,0.15361741815745728,-0.07765422502925062,0.6083495780224899
1709637587.8118289,417,1709637587,817140341,/world,0.420917701642321,-0.4179070445830245,0.0002546114036990534,-0.2914449714459482,0.15747242683443335,0.5782608726808317
1709637587.8420796,418,1709637587,847443342,/world,0.4282286404500147,-0.4120502725550458,-0.006242920896624723,0.05781471653169812,-0.08428134193989034,0.5605610701912217
1709637587.8723927,419,1709637587,877746344,/world,0.4325691125962336,-0.40930542652842994,-0.004791786150102023,0.1915671049743738,-0.23451553082318158,0.5961331538195248
1709637587.9026868,420,1709637587,908049345,/world,0.44934214100216835,-0.40112781587336005,-0.000685709664144875,-0.0015161013062405249,0.033085803348967685,0.5782892704911792
1709637587.9329753,421,1709637587,938352346,/world,0.4583285880117816,-0.3994597896204703,-0.003163859738185893,0.00377592248847132,0.10859336101093292,0.5756873589400786
1709637587.9633486,422,1709637587,968655348,/world,0.46751166766390534,-0.3947094187827781,-0.006687910919405113,-0.04690947745209011,-0.05540996118675484,0.5540200769384704
1709637587.9936585,423,1709637587,998958349,/world,0.48373909023511297,-0.3854399475578631,-0.005342110891168138,0.03590806511657655,0.11096916650049554,0.5738045670028948
1709637588.023943,424,1709637588,29261351,/world,0.49031696030712213,-0.3796618302778038,-0.00988876514806734,0.054645712585882966,-0.021060304413778486,0.6322930056583443
1709637588.054207,425,1709637588,59564352,/world,0.5001430418479598,-0.37674463975275174,-0.00684903130828096,0.1972587498103669,-0.06827112118006262,0.7134889849282505
1709637588.084485,426,1709637588,89867353,/world,0.5112887856051831,-0.3615190557800873,-0.0031209540250341002,0.013986628638710613,0.06764980561693079,0.6704179687418234
1709637588.1148067,427,1709637588,120170355,/world,0.5230298603196674,-0.35792470249462954,-0.016091588601734243,0.18710939820470676,-0.1380436063814387,0.6796684542004864
1709637588.1450608,428,1709637588,150473356,/world,0.5307624045403861,-0.3521008257431818,-0.00029465260525063375,-0.3217296802661108,0.16960496381517304,0.7493374472399527
1709637588.175369,429,1709637588,180776358,/world,0.5415069454873392,-0.32797438782533345,-0.004755880685359848,0.049925301127790034,-0.16811757725614168,0.7091367358717516
1709637588.205673,430,1709637588,211079359,/world,0.5484219498459231,-0.3241996226807639,-0.010200797393413126,-0.09127490398555582,-0.08527342359866662,0.6906674761987053
1709637588.2360704,431,1709637588,241382360,/world,0.5590656377955048,-0.3106107044694992,-0.00996354320027877,-0.10856745439593032,0.14536265790110992,0.6194716505761331
1709637588.2663393,432,1709637588,271685362,/world,0.5702290056575586,-0.29991915874271724,-0.00658917172785331,0.1900346914261912,-0.06930962089868456,0.7364566540211703
1709637588.2965658,433,1709637588,301988363,/world,0.5732981535381504,-0.29971230655828685,-0.007882544262386184,-0.1944624492577273,-0.06386817037895148,0.5932762549143415
1709637588.326765,434,1709637588,332292318,/world,0.5831263046310607,-0.28413608094411236,-0.002786779649499904,-0.11121024541585867,0.08554713042663031,0.74165695783837
1709637588.3569725,435,1709637588,362595320,/world,0.58841106370409,-0.27571817002810206,-0.0051187909655371,-0.006143158358217604,-0.07312192817233318,0.5635344929020847
1709637588.3872178,436,1709637588,392898321,/world,0.5955531602917493,-0.26457205051634347,-0.011066847439430821,0.12089581437401123,-0.002244839185301037,0.7282966146782592
1709637588.4174583,437,1709637588,423201323,/world,0.5960727135576553,-0.24633820677599086,-0.006826119420043775,-0.07279520734845762,0.3027773298593976,0.6332138987415958
1709637588.447715,438,1709637588,453504324,/world,0.6018466120675854,-0.23928133687998981,0.0021715786357955477,-0.35056767237388514,0.02468862011470896,0.5723708398869062
