Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,x,y,z,roll,pitch,yaw,vx_w,vy_w,vz_w,v_tot,ax_w,ay_w,az_w,vx_b,vy_b,vz_b,ax_b,ay_b,az_b,droll,dpitch,dyaw,steer
1709637585.3039215,0,1709637585,305848122,,-1.2100321058233436,-0.1300638508585094,0.0,0.0,0.0,-2.043626800390088,-0.0058214840357354875,-0.011716061196863003,0.0,0.013082651350049886,0.0,0.0,0.0,0.013081758753498686,0.0001528210136814407,0.0,0.0,0.0,0.0,0.0,0.0,0.001645442512564969,0.0
1709637585.3241756,1,1709637585,323303461,,-1.2121315331144091,-0.14528711617562856,0.0,0.0,0.0,-2.060061203599325,-0.008302250770277962,-0.016262735670223467,0.0,0.018259352106034313,0.0,0.0,0.0,0.01825663661488764,0.00031489497309989783,0.0,0.0,0.0,0.0,0.0,0.0,0.003726028651608205,0.0
1709637585.3342607,2,1709637585,327307940,,-1.2122269574261202,-0.14547368540255057,0.0,0.0,0.0,-2.060016013797502,-0.010630194635743374,-0.020723398815880617,0.0,0.023290777068956485,0.0,0.0,0.0,0.02328806494269254,0.0003554260834040704,0.0,0.0,0.0,0.0,0.0,0.0,0.005096372944954014,0.0
1709637585.3444734,3,1709637585,334260702,,-1.2123462968899879,-0.14570536178667273,0.0,0.0,0.0,-2.0599609873559395,-0.013026630402092803,-0.025189075756723252,0.0,0.028358114131773145,0.0,0.0,0.0,0.028356110224181382,0.00033712025265139167,0.0,0.0,0.0,0.0,0.0,0.0,0.005694429928013835,0.0
1709637585.3444734,4,1709637585,331729174,,-1.212491675561851,-0.14598539703813931,0.0,0.0,0.0,-2.0599024302402404,-0.01544410400871019,-0.029650368643514727,0.0,0.03343149277744234,0.0,0.0,0.0,0.033430168987414945,0.0002975076487412301,0.0,0.0,0.0,0.0,0.0,0.0,0.005692665672784197,0.0
1709637585.3747654,5,1709637585,377589464,,-1.2481202353488983,-0.1194672027076239,0.0,0.0,0.0,-2.0465642066209657,-0.0943797346973589,-0.18915204018894924,0.0,0.2113907013782435,0.0,0.0,0.0,0.21137297410190647,0.0027375990393951498,0.0,0.0,0.0,0.0,0.0,0.0,0.039005153509701324,0.0
1709637585.394958,6,1709637585,383945942,,-1.2534371571461393,-0.1291248103454794,0.0,0.0,0.0,-2.0406303492167766,-0.13190166541646353,-0.279528661668519,0.0,0.3090862695653594,0.0,0.0,0.0,0.30895683444273336,0.008944075410877638,0.0,0.0,0.0,0.0,0.0,0.0,0.16948865994341,0.0
1709637585.4151306,7,1709637585,412666321,,-1.2556830153214507,-0.13532214393706368,0.0,0.0,0.0,-2.0360071400676616,-0.13516903874728742,-0.2897504621204469,0.0,0.31972800836785986,0.0,0.0,0.0,0.31959616231825133,0.009181087426018506,0.0,0.0,0.0,0.0,0.0,0.0,0.1866856800248666,0.0
1709637585.4353294,8,1709637585,419610739,,-1.264437827310009,-0.15393533479437232,0.0,0.0,0.0,-2.0220860377534837,-0.17412248299074715,-0.38663514676040717,0.0,0.4240346398506903,0.0,0.0,0.0,0.4238667406525446,0.011931553205392414,0.0,0.0,0.0,0.0,0.0,0.0,0.24927362095797778,0.0
1709637585.4454153,9,1709637585,444111347,,-1.2673455811866456,-0.16002685585312948,0.0,0.0,0.0,-2.0163694134546644,-0.18664136643208806,-0.4205936387966314,0.0,0.4601456385317894,0.0,0.0,0.0,0.4599662642578917,0.012846960903946941,0.0,0.0,0.0,0.0,0.0,0.0,0.27054613753527096,0.0
1709637585.4555063,10,1709637585,450511217,,-1.2692846814366143,-0.16460853324992397,0.0,0.0,0.0,-2.011784192635695,-0.1882286514024073,-0.4293821160499162,0.0,0.46882728887328295,0.0,0.0,0.0,0.468645528239709,0.013053568600072557,0.0,0.0,0.0,0.0,0.0,0.0,0.2757132621614514,0.0
1709637585.4655952,11,1709637585,455506325,,-1.2718249677339029,-0.17158497934067388,0.0,0.0,0.0,-2.0034231712887287,-0.1963369721076529,-0.45798203161459455,0.0,0.49829283348070813,0.0,0.0,0.0,0.49810269387228007,0.013764238279338129,0.0,0.0,0.0,0.0,0.0,0.0,0.29305980399103243,0.0
1709637585.475695,12,1709637585,474970818,,-1.273805639917152,-0.1762239365947523,0.0,0.0,0.0,-2.0004565202871407,-0.19629945163452012,-0.4616309843979792,0.0,0.5016339706083117,0.0,0.0,0.0,0.5014429958047267,0.013840607885544573,0.0,0.0,0.0,0.0,0.0,0.0,0.29503718719638117,0.0
1709637585.4857752,13,1709637585,480088711,,-1.2750857444779202,-0.18099883924277682,0.0,0.0,0.0,-1.9943399011272045,-0.1936815310497085,-0.4633167666554721,0.0,0.5021702517412201,0.0,0.0,0.0,0.501979148118186,0.013852674412570161,0.0,0.0,0.0,0.0,0.0,0.0,0.295359167747522,0.0
1709637585.495914,14,1709637585,485775232,,-1.2777161311928915,-0.18685892402625884,0.0,0.0,0.0,-1.98783666583184,-0.19927962664783053,-0.48531372369675546,0.0,0.524634901627131,0.0,0.0,0.0,0.5244378002271176,0.014379627889875152,0.0,0.0,0.0,0.0,0.0,0.0,0.30856189634998415,0.0
1709637585.5060015,15,1709637585,504067898,,-1.2797350990561485,-0.1917976285073777,0.0,0.0,0.0,-1.9846986460212643,-0.1989816024868344,-0.48890829179375495,0.0,0.5278494064720695,0.0,0.0,0.0,0.5276515175076874,0.014452404116640324,0.0,0.0,0.0,0.0,0.0,0.0,0.3104511783645916,0.0
1709637585.5160894,16,1709637585,507624149,,-1.2820680076037905,-0.19668398102172938,0.0,0.0,0.0,-1.980056624632037,-0.19896826801180284,-0.4953783607802137,0.0,0.5338427596258173,0.0,0.0,0.0,0.533643355517213,0.014589760698433511,0.0,0.0,0.0,0.0,0.0,0.0,0.31397215220898317,0.0
1709637585.5261724,17,1709637585,528010845,,-1.2836145974054913,-0.2020311436325877,0.0,0.0,0.0,-1.972489827242732,-0.1990958877410938,-0.506618484357645,0.0,0.5443357982057138,0.0,0.0,0.0,0.5441337834150889,0.014828585725978246,0.0,0.0,0.0,0.0,0.0,0.0,0.3201361423926972,0.0
1709637585.5463946,18,1709637585,532505989,,-1.2852778093746158,-0.20872568084591933,0.0,0.0,0.0,-1.965765193545083,-0.19551642825880208,-0.5074555370407873,0.0,0.5438177965021309,0.0,0.0,0.0,0.5436165007801506,0.014795130008809852,0.0,0.0,0.0,0.0,0.0,0.0,0.3196012398259348,0.0
1709637585.5565152,19,1709637585,559296846,,-1.2885706514113515,-0.2163314574677065,0.0,0.0,0.0,-1.9594067594550322,-0.19474541771644172,-0.5151553473051222,0.0,0.550736606354265,0.0,0.0,0.0,0.5505331320335222,0.014969305661019953,0.0,0.0,0.0,0.0,0.0,0.0,0.323799097646261,0.0
1709637585.5666027,20,1709637585,563955307,,-1.288460211283658,-0.219852159230298,0.0,0.0,0.0,-1.9548388757897626,-0.19009387383049403,-0.5095105881442178,0.0,0.5438168076649991,0.0,0.0,0.0,0.5436193835834585,0.01465217019049159,0.0,0.0,0.0,0.0,0.0,0.0,0.31739137414835167,0.0
1709637585.5768828,21,1709637585,563956022,,-1.2907634495378435,-0.22407846413877058,0.0,0.0,0.0,-1.9488512296200495,-0.1906558144921435,-0.5202908994389666,0.0,0.5541229643668194,0.0,0.0,0.0,0.553923842702538,0.014853825242184314,0.0,0.0,0.0,0.0,0.0,0.0,0.3226089233575232,0.0
1709637585.5768828,22,1709637585,576882839,,-1.2926480920621088,-0.22967651038865788,0.0,0.0,0.0,-1.9442212113379174,-0.1902011194897419,-0.5264652352883313,0.0,0.5597696935547236,0.0,0.0,0.0,0.5595696245895448,0.014964793986721799,0.0,0.0,0.0,0.0,0.0,0.0,0.32521851503758864,0.0
1709637585.587156,23,1709637585,587156057,,-1.2945986585555196,-0.235103674621982,0.0,0.0,0.0,-1.940872707301782,-0.18953017639110986,-0.5300981317291786,0.0,0.5629615591011617,0.0,0.0,0.0,0.5627608742775374,0.015030482626733808,0.0,0.0,0.0,0.0,0.0,0.0,0.3267068351380447,0.0
1709637585.5972478,24,1709637585,603302240,,-1.2965078658365337,-0.240471261866996,0.0,0.0,0.0,-1.9375675960338776,-0.1888322959426099,-0.5336538341572746,0.0,0.566077777961401,0.0,0.0,0.0,0.5658764284421414,0.015096967751285783,0.0,0.0,0.0,0.0,0.0,0.0,0.32832110960637106,0.0
1709637585.6174436,25,1709637585,598206520,,-1.2960126333499788,-0.24343960811418017,0.0,0.0,0.0,-1.9330080557366311,-0.18513798703630194,-0.5309535752252605,0.0,0.5623057649431848,0.0,0.0,0.0,0.5621052739339457,0.015014469820280034,0.0,0.0,0.0,0.0,0.0,0.0,0.3260292591924004,0.0
1709637585.6275687,26,1709637585,624668598,,-1.2983829601798,-0.24737877253193222,0.0,0.0,0.0,-1.9262221581080823,-0.18300004458800398,-0.5364343451407134,0.0,0.5667899284265357,0.0,0.0,0.0,0.5665884490315529,0.015111333156834725,0.0,0.0,0.0,0.0,0.0,0.0,0.32857680864878475,0.0
