Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,x,y,z,roll,pitch,yaw,vx_w,vy_w,vz_w,v_tot,ax_w,ay_w,az_w,vx_b,vy_b,vz_b,ax_b,ay_b,az_b,droll,dpitch,dyaw,steer
1709637585.3039215,2,1709637585,303921461,,-1.2364775802201526,-0.09882959698370104,0.0,0.0,0.0,-2.043627375091104,-0.02406080986458002,-0.04727080318503067,0.0,0.05304197776381813,0.0,0.0,0.0,0.053041870629635675,0.00010660772190170495,0.0,0.0,0.0,0.0,0.0,0.0,0.001380046800485076,0.0
1709637585.3241756,3,1709637585,314086199,,-1.2398087578479988,-0.103490250895484,0.0,0.0,0.0,-2.0491335399471717,-0.046930931119731255,-0.09023051810617898,0.0,0.10170574562665793,0.0,0.0,0.0,0.10170566249483755,-0.00013003830452833564,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007264578325050113,0.0
1709637585.3747654,4,1709637585,377589464,,-1.2529857283586705,-0.12891140512709887,0.0,0.0,0.0,-2.0389122655042624,-0.1492018482419626,-0.31670771891055455,0.0,0.35009280303420187,0.0,0.0,0.0,0.34995701962479153,0.00974962315567775,0.0,0.0,0.0,0.0,0.0,0.0,0.2062673900989818,0.0
1709637585.3747654,5,1709637585,377589464,,-1.2540409795566065,-0.1309454745946059,0.0,0.0,0.0,-2.0365987299446227,-0.16336465053798432,-0.3429405757281415,0.0,0.37986345905620733,0.0,0.0,0.0,0.3797777648196399,0.008068263428101453,0.0,0.0,0.0,0.0,0.0,0.0,0.23172930996624883,0.0
1709637585.394958,6,1709637585,384852886,,-1.2549214641201145,-0.13375982620167245,0.0,0.0,0.0,-2.0343273863345037,-0.1627093645426109,-0.348319905858349,0.0,0.3844490787178835,0.0,0.0,0.0,0.38431382596131014,0.010196926105901017,0.0,0.0,0.0,0.0,0.0,0.0,0.23068621301179978,0.0
1709637585.4050524,7,1709637585,394958019,,-1.2565662138011569,-0.137301245267974,0.0,0.0,0.0,-2.032002006474756,-0.16298609335752065,-0.3525100688219095,0.0,0.38836556908249964,0.0,0.0,0.0,0.3882120111449049,0.010920148881861583,0.0,0.0,0.0,0.0,0.0,0.0,0.23009066470475958,0.0
1709637585.4050524,8,1709637585,405052423,,-1.2582150470903424,-0.14087958985056423,0.0,0.0,0.0,-2.029673644574785,-0.1637158977657049,-0.35645229389903205,0.0,0.3922513645701091,0.0,0.0,0.0,0.39209404904570977,0.011108092097799836,0.0,0.0,0.0,0.0,0.0,0.0,0.23138628183451734,0.0
1709637585.4252148,9,1709637585,415130615,,-1.2622151941398514,-0.14945038415637682,0.0,0.0,0.0,-2.0221484460918346,-0.18415856679627385,-0.4086869261666087,0.0,0.4482626254150224,0.0,0.0,0.0,0.4480870343206261,0.012545557688470757,0.0,0.0,0.0,0.0,0.0,0.0,0.26453577522596305,0.0
1709637585.4454153,10,1709637585,425214767,,-1.2661480413168218,-0.15729483309127928,0.0,0.0,0.0,-2.0158810597939167,-0.19814362147287112,-0.44685232308025963,0.0,0.48881273855394686,0.0,0.0,0.0,0.48862500992786867,0.013545960490103644,0.0,0.0,0.0,0.0,0.0,0.0,0.28812730238317324,0.0
1709637585.4655952,11,1709637585,445415258,,-1.2702533178500823,-0.16664375436602594,0.0,0.0,0.0,-2.0084397363464843,-0.19923741822529506,-0.45836539242259944,0.0,0.4997943394955617,0.0,0.0,0.0,0.499603834457459,0.013798202318007357,0.0,0.0,0.0,0.0,0.0,0.0,0.29414569264993984,0.0
1709637585.475695,12,1709637585,455506325,,-1.272345590193865,-0.17283868211468237,0.0,0.0,0.0,-2.0008018660669125,-0.20314536173226616,-0.477098234876708,0.0,0.5185467806435633,0.0,0.0,0.0,0.5183512458225248,0.014239019279437107,0.0,0.0,0.0,0.0,0.0,0.0,0.30511694587417193,0.0
