Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1709637585.2938354,336,1709637585,301988363,/world,-1.2152392578125,-0.12969496154785157,0.05192223739624023,0.0029030447735738183,0.014152831356656386,-0.8537772312082769,0.520437998142327
1709637585.3241756,337,1709637585,332292318,/world,-1.221484375,-0.14327781677246093,0.05183733367919922,0.003462446517368154,0.012913643833192991,-0.8501505014550901,0.5263699972045872
1709637585.3646564,338,1709637585,362595320,/world,-1.22751708984375,-0.15704269409179689,0.05153604507446289,0.002591196898604452,0.012502605114601419,-0.8469656255438853,0.5314942667886061
1709637585.384853,339,1709637585,392898321,/world,-1.23370947265625,-0.17084930419921876,0.051413604736328125,0.004445545503042764,0.009866048530438131,-0.8420803620920431,0.53924350187607
1709637585.4151306,340,1709637585,423201323,/world,-1.2393709716796875,-0.18490614318847656,0.05121672058105469,0.004948041539768062,0.008161094921852633,-0.8386168799970309,0.5446380641824632
1709637585.4454153,341,1709637585,453504324,/world,-1.2448421630859374,-0.1990753173828125,0.05114463424682617,0.0031829856072709503,0.010511409189077408,-0.8348293625119614,0.5503992081372912
1709637585.475695,342,1709637585,483807325,/world,-1.2501636962890625,-0.2131898956298828,0.05092855453491211,0.004361989006622269,0.009798178546074931,-0.8305087543050528,0.5569023052632628
1709637585.5060015,343,1709637585,514110327,/world,-1.2552803955078125,-0.227153076171875,0.05066395950317383,0.005403656107881131,0.009415450217741978,-0.8253343737083917,0.5645399389857356
1709637585.5463946,344,1709637585,544413328,/world,-1.259898681640625,-0.24132890319824218,0.050550804138183594,0.004050838598621198,0.009117629140258222,-0.8207513120086829,0.5711985133213676
1709637585.5666027,345,1709637585,574716330,/world,-1.264410400390625,-0.2555841369628906,0.05030397033691406,0.004175898566780557,0.005930242217912154,-0.8163272536684931,0.5775441396243047
1709637585.5972478,346,1709637585,605019331,/world,-1.2688892822265625,-0.26992633056640625,0.05005191040039063,0.004335141808065593,0.0025304713631038103,-0.8121940907155283,0.5833657346536921
1709637585.6275687,347,1709637585,635322332,/world,-1.2730421142578126,-0.2845123596191406,0.0498749008178711,0.007689518045535879,0.001133608011319832,-0.8072219295090011,0.5901968637964002
1709637585.6580184,348,1709637585,665625334,/world,-1.276894287109375,-0.2992112731933594,0.049768665313720706,0.006436152743532489,0.005264053193177001,-0.8028901057635965,0.5960690859470472
1709637585.6885772,349,1709637585,695928335,/world,-1.2805343017578126,-0.3140242004394531,0.04956044387817383,0.0049851958503516905,0.005971141897744579,-0.7979608553212502,0.6026590744023581
1709637585.7188554,350,1709637585,726231337,/world,-1.28399169921875,-0.328544189453125,0.04939333343505859,0.004451193641606206,0.007382397754495095,-0.7929775681377343,0.6091898367850557
1709637585.7491152,351,1709637585,756534338,/world,-1.2871373291015624,-0.34328561401367186,0.04917868041992188,0.005339961906612526,0.0027839260187557616,-0.788402777736236,0.6151299009476715
1709637585.7895718,352,1709637585,786837339,/world,-1.2899332275390625,-0.35806243896484374,0.049021095275878904,0.005543168044243649,0.0031772192954676037,-0.7834831408018154,0.621380191105032
1709637585.8097548,353,1709637585,817140341,/world,-1.2927635498046874,-0.37304116821289063,0.04874176406860352,0.004978239498143115,0.0008214022179263943,-0.7783352173943187,0.6278286581205442
1709637585.8400726,354,1709637585,847443342,/world,-1.2951885986328124,-0.3881961364746094,0.048500770568847655,0.005698476970689681,-0.0002910180089380978,-0.7727925503327661,0.6346330562955165
1709637585.8805664,355,1709637585,877746344,/world,-1.297443603515625,-0.4035499572753906,0.04842034149169922,0.005642907984624899,0.0022559226473427077,-0.7669702889516916,0.6416538194019451
1709637585.9007924,356,1709637585,908049345,/world,-1.2992376708984374,-0.41879782104492186,0.048260520935058594,0.005107486952825729,0.003812513615057306,-0.7620268354196165,0.6475140591516375
1709637585.931056,357,1709637585,938352346,/world,-1.3010155029296875,-0.434260009765625,0.048071708679199215,0.004614957955732022,0.002581586880579964,-0.7568741430293572,0.6535392588225607
1709637585.9614418,358,1709637585,968655348,/world,-1.3024698486328126,-0.44960354614257814,0.04781222915649414,0.005275728475849521,0.0027467867986200223,-0.7512071833752021,0.6600396911153934
1709637585.991849,359,1709637585,998958349,/world,-1.303632080078125,-0.4649645690917969,0.047854671478271486,0.004344698280950487,0.0037124657418677637,-0.7460235916491184,0.6658949966484982
1709637586.0220928,360,1709637586,29261351,/world,-1.304601318359375,-0.4804872131347656,0.04737386322021484,0.004259710437051936,0.002270166298366327,-0.7400381187638343,0.6725476108549925
1709637586.0523412,361,1709637586,59564352,/world,-1.3052491455078126,-0.49617465209960937,0.047185516357421874,0.003627022591319201,0.0030750147870700715,-0.7344890552729958,0.6786038801437124
