t,vx,vy,omega,delta,T,eps_vx,eps_vy,eps_omega,eC,eL,pos_x,pos_y,ref_x,ref_y,lap,theta
23213.287070,0.400000,0.020000,0.000000,-0.004793,0.510000,-0.032824,0.020745,0.019381,-0.012409,0.025600,1.484400,3.012409,1.510000,3.000000,0,0.524229
23213.320082,0.400000,0.020000,0.000000,-0.008991,0.520000,-0.187354,0.043419,0.965575,-0.017021,0.033831,1.489503,3.017021,1.523333,3.000000,0,0.526177
23213.351404,0.247302,0.041954,0.926548,-0.019265,0.530000,-0.138196,0.001846,0.045786,-0.012478,0.035506,1.487827,3.012478,1.523333,3.000000,0,0.526177
23213.356444,0.143273,-0.000199,-0.006588,-0.023873,0.540000,0.014228,0.000044,0.001657,-0.015456,0.032064,1.491270,3.015456,1.523333,3.000000,0,0.526177
23213.365232,0.163383,-0.000000,-0.000001,-0.027423,0.550000,-0.030461,-0.000000,-0.000000,-0.013356,0.033926,1.489407,3.013356,1.523333,3.000000,0,0.526177
23213.385234,0.143406,-0.000000,-0.000000,-0.030392,0.560000,0.007537,-0.000000,-0.000000,-0.013293,0.029754,1.493579,3.013293,1.523333,3.000000,0,0.526177
23213.405217,0.175455,-0.000000,-0.000000,-0.032538,0.570000,-0.000969,-0.001175,-0.037240,-0.013244,0.026185,1.497148,3.013244,1.523333,3.000000,0,0.526181
23213.452192,0.199474,-0.001323,-0.040011,-0.034286,0.580000,-0.025312,0.000362,0.010143,-0.013180,0.020175,1.503159,3.013180,1.523333,3.000000,0,0.530398
23213.458301,0.233904,-0.003245,-0.085753,-0.035668,0.590000,0.050852,-0.000576,-0.016275,-0.014810,0.013920,1.516080,3.014810,1.530000,3.000000,0,0.542227
23213.465214,0.292704,-0.004052,-0.108164,-0.036379,0.597253,0.001254,0.000148,0.003451,-0.013732,0.022548,1.517452,3.013732,1.540000,3.000000,0,0.552005
23213.485236,0.303022,-0.004218,-0.112671,-0.037336,0.607253,0.003442,0.000075,0.001917,-0.014408,0.024527,1.525473,3.014408,1.550000,3.000000,0,0.558859
23213.505217,0.333247,-0.004850,-0.130065,-0.038190,0.617253,0.010445,-0.000103,-0.002609,-0.015064,0.021021,1.535646,3.015064,1.556667,3.000000,0,0.569361
23213.553216,0.370898,-0.005575,-0.149937,-0.038769,0.627253,-0.035491,0.000574,0.016806,-0.015678,0.022601,1.544066,3.015678,1.566667,3.000000,0,0.580219
23213.558576,0.401595,-0.006053,-0.164209,-0.039001,0.637253,0.049233,-0.000583,-0.018022,-0.015833,0.017456,1.562544,3.015833,1.580000,3.000000,0,0.595438
23213.565213,0.458377,-0.006812,-0.186897,-0.037579,0.641404,-0.000106,-0.000090,-0.002071,-0.015036,0.027777,1.565557,3.015036,1.593333,3.000000,0,0.609218
23213.585229,0.467614,-0.006950,-0.190963,-0.036636,0.651404,0.006539,-0.000138,-0.004606,-0.015967,0.028764,1.577902,3.015967,1.606667,3.000000,0,0.619792
23213.605216,0.502837,-0.007153,-0.198943,-0.035512,0.661404,0.004053,-0.000086,-0.002947,-0.015757,0.026320,1.590346,3.015757,1.616667,3.000000,0,0.633962
23213.653890,0.535942,-0.007297,-0.204472,-0.033953,0.671404,-0.034532,0.000248,0.007876,-0.015260,0.028102,1.605231,3.015260,1.633333,3.000000,0,0.649059
23213.660166,0.572850,-0.007400,-0.209676,-0.031968,0.680278,0.058306,-0.000758,-0.023044,-0.014523,0.013504,1.633163,3.014523,1.646667,3.000000,0,0.672575
23213.666047,0.640534,-0.007968,-0.228917,-0.027831,0.680357,-0.003023,-0.000611,-0.013120,-0.014499,0.034022,1.635978,3.014499,1.670000,3.000000,0,0.691712
23213.685213,0.646192,-0.007945,-0.229305,-0.024782,0.690357,0.009893,-0.000314,-0.011741,-0.014287,0.036252,1.653748,3.014287,1.690000,3.000000,0,0.704222
