t,vx,vy,omega,delta,T,eps_vx,eps_vy,eps_omega,eC,eL,pos_x,pos_y,ref_x,ref_y,lap,theta
28946.354515,0.400000,0.020000,0.000000,-0.005822,0.510000,-0.030003,-0.168621,-1.296882,-0.011510,0.019693,2.996974,3.011510,3.016667,3.000000,0,0.533742
28946.385438,0.402768,-0.169539,-1.320948,-0.003147,0.520000,-0.108088,-0.006259,-0.294612,-0.011448,0.034686,2.998648,3.011448,3.033333,3.000000,0,0.538398
28946.390664,0.329846,-0.014231,-0.585929,-0.003886,0.530000,-0.174171,0.007495,0.290354,-0.015380,0.041148,2.995518,3.015380,3.036667,3.000000,0,0.538398
28946.410668,0.161501,-0.000006,-0.000231,-0.007918,0.540000,-0.026504,-0.000000,-0.000000,-0.015253,0.040008,2.996659,3.015253,3.036667,3.000000,0,0.538398
28946.430681,0.158237,-0.000000,-0.000001,-0.010532,0.550000,-0.006828,0.000000,0.000000,-0.015470,0.037327,2.999339,3.015470,3.036667,3.000000,0,0.538398
28946.450665,0.175278,0.000000,0.000000,-0.012755,0.560000,0.000746,-0.000122,-0.002346,-0.015350,0.033450,3.003217,3.015350,3.036667,3.000000,0,0.538398
28946.485734,0.200410,-0.000122,-0.002346,-0.014728,0.570000,-0.015123,0.000105,0.003050,-0.014939,0.028545,3.008122,3.014939,3.036667,3.000000,0,0.538982
28946.491841,0.228912,-0.001357,-0.035752,-0.016296,0.580000,0.015608,0.000027,0.000311,-0.014902,0.023613,3.013053,3.014902,3.036667,3.000000,0,0.542455
28946.510673,0.252291,-0.001510,-0.040105,-0.017757,0.590000,0.009012,0.000107,0.002797,-0.014683,0.020020,3.019980,3.014683,3.040000,3.000000,0,0.549438
28946.530672,0.285730,-0.001875,-0.049935,-0.018779,0.600000,0.007801,-0.000022,-0.000279,-0.014062,0.018747,3.027920,3.014062,3.046667,3.000000,0,0.558852
28946.550671,0.319940,-0.002372,-0.063072,-0.019328,0.610000,0.003892,-0.000019,-0.000442,-0.014194,0.020508,3.036159,3.014194,3.056667,3.000000,0,0.569406
28946.585786,0.350706,-0.002691,-0.072248,-0.019875,0.620000,-0.011908,0.000104,0.003167,-0.013787,0.020889,3.045777,3.013787,3.066667,3.000000,0,0.580624
28946.592401,0.386721,-0.003023,-0.081620,-0.019899,0.630000,0.025154,-0.000182,-0.005445,-0.013428,0.023820,3.056180,3.013428,3.080000,3.000000,0,0.592402
28946.610673,0.421080,-0.003285,-0.089428,-0.019647,0.640000,0.007770,-0.000094,-0.002677,-0.013011,0.022422,3.067578,3.013011,3.090000,3.000000,0,0.605108
28946.630674,0.454634,-0.003519,-0.096445,-0.019357,0.650000,0.009926,-0.000157,-0.004449,-0.012614,0.022846,3.080487,3.012614,3.103333,3.000000,0,0.619539
28946.650672,0.493208,-0.003773,-0.104275,-0.018502,0.658953,0.007197,-0.000086,-0.002990,-0.011888,0.022767,3.093899,3.011888,3.116667,3.000000,0,0.635411
28946.685954,0.529386,-0.003793,-0.106449,-0.017397,0.666760,-0.018861,0.000038,0.000881,-0.011855,0.026348,3.106985,3.011855,3.133333,3.000000,0,0.651258
28946.691426,0.562008,-0.003749,-0.106172,-0.016581,0.674982,0.031123,-0.000221,-0.006213,-0.011798,0.027194,3.122806,3.011798,3.150000,3.000000,0,0.667895
28946.710665,0.601235,-0.003895,-0.110790,-0.015599,0.680212,0.003598,-0.000185,-0.005970,-0.011456,0.029806,3.136860,3.011456,3.166667,3.000000,0,0.685479
28946.730669,0.633340,-0.003846,-0.111672,-0.014654,0.687060,0.013125,-0.000122,-0.004199,-0.011419,0.027131,3.156203,3.011419,3.183333,3.000000,0,0.704618
28946.750642,0.676311,-0.003704,-0.108918,-0.013329,0.689189,0.008043,-0.000317,-0.008791,-0.010894,0.029200,3.174134,3.010894,3.203333,3.000000,0,0.725168
28946.786962,0.713999,-0.003733,-0.110298,-0.011786,0.691264,-0.018601,-0.000175,-0.006897,-0.010702,0.031357,3.191976,3.010702,3.223333,3.000000,0,0.745340
28946.793884,0.748916,-0.003337,-0.102534,-0.010340,0.694357,0.031014,-0.000175,-0.003306,-0.009923,0.029630,3.213703,3.009923,3.243333,3.000000,0,0.767261
28946.810660,0.790164,-0.003225,-0.098555,-0.007786,0.694775,0.005120,-0.000293,-0.009641,-0.009295,0.036388,3.230278,3.009295,3.266667,3.000000,0,0.788462
28946.830670,0.819813,-0.002669,-0.086900,-0.005406,0.699797,0.005968,-0.000147,-0.005520,-0.009090,0.036116,3.250551,3.009090,3.286667,3.000000,0,0.809323
28946.850678,0.855098,-0.001865,-0.064197,-0.002660,0.704333,0.008590,-0.000634,-0.017168,-0.008573,0.032861,3.273805,3.008573,3.306667,3.000000,0,0.833053
28946.883318,0.892995,-0.001588,-0.053083,0.000226,0.706880,-0.009373,-0.000529,-0.022137,-0.007805,0.032208,3.297792,3.007805,3.330000,3.000000,0,0.858867
28946.891096,0.931066,-0.000557,-0.027819,0.003882,0.708565,0.026200,-0.000357,-0.002822,-0.006913,0.034114,3.322553,3.006913,3.356667,3.000000,0,0.885626
28946.910665,0.968544,-0.000045,-0.007180,0.007433,0.710795,0.006098,-0.000420,-0.015389,-0.005932,0.037192,3.346141,3.005932,3.383333,3.000000,0,0.912234
28946.930665,1.002759,0.001439,0.032357,0.010315,0.714734,0.008416,-0.000207,-0.007425,-0.005240,0.037237,3.372763,3.005240,3.410000,3.000000,0,0.939915
28946.950672,1.039844,0.002669,0.075697,0.013613,0.717286,0.005543,-0.000774,-0.020528,-0.004682,0.038408,3.398259,3.004682,3.436667,3.000000,0,0.967984
28946.986953,1.073884,0.003187,0.102430,0.016264,0.721189,-0.016926,-0.000626,-0.032247,-0.005201,0.041612,3.425055,3.005201,3.466667,3.000000,0,0.996483
28946.993828,1.108295,0.004385,0.139196,0.018067,0.725067,0.030297,0.000046,0.015390,-0.004055,0.035858,3.457476,3.004055,3.493333,3.000000,0,1.028141
28947.010664,1.148349,0.005016,0.173701,0.020280,0.724993,0.002988,-0.000242,-0.008023,-0.006889,0.046327,3.480340,3.006889,3.526667,3.000000,0,1.057836
28947.030670,1.174853,0.005826,0.201834,0.020230,0.729210,-0.000126,0.000003,0.000114,-0.006636,0.052557,3.504110,3.006636,3.556667,3.000000,0,1.083805
28947.050662,1.202658,0.006260,0.227733,0.019183,0.734684,-0.002887,0.000281,0.007263,-0.010441,0.057009,3.526324,3.010441,3.583333,3.000000,0,1.108739
28947.089341,1.227749,0.006304,0.239833,0.015817,0.741712,-0.013837,0.001295,0.040457,-0.008524,0.042994,3.563673,3.008524,3.606667,3.000000,0,1.139418
28947.094876,1.268128,0.006172,0.246501,0.012853,0.742058,0.032973,0.000906,0.026649,-0.005789,0.033096,3.603571,3.005789,3.636667,3.000000,0,1.179148
28947.110668,1.308827,0.006187,0.255846,0.008138,0.738791,0.008651,0.002565,0.068935,-0.005070,0.042394,3.634272,3.005070,3.676667,3.000000,0,1.217553
28947.130667,1.338975,0.005752,0.251870,0.001969,0.739533,0.005667,0.001263,0.051870,-0.003800,0.048481,3.668186,3.003800,3.716667,3.000000,0,1.252882
28947.150667,1.371541,0.002326,0.175070,-0.006116,0.740040,0.006344,0.002159,0.061638,-0.003388,0.046992,3.703008,3.003388,3.750000,3.000000,0,1.288957
28947.183819,1.404412,0.000423,0.088554,-0.017262,0.740082,-0.010987,0.001831,0.116451,-0.004285,0.048261,3.738405,3.004285,3.786667,3.000000,0,1.325698
28947.190666,1.436505,-0.003677,-0.043019,-0.031792,0.739729,0.023030,0.001388,-0.019150,-0.004704,0.048535,3.774798,3.004704,3.823333,3.000000,0,1.363628
28947.210663,1.468261,-0.005445,-0.157719,-0.049246,0.738446,0.005608,0.001422,0.058775,-0.004709,0.052043,3.811290,3.004709,3.863333,3.000000,0,1.401894
28947.230669,1.498494,-0.012518,-0.395376,-0.069713,0.737037,0.006319,0.005379,0.151519,-0.005618,0.050554,3.849446,3.005618,3.900000,3.000000,0,1.440751
28947.250671,1.528527,-0.014609,-0.575100,-0.093969,0.735694,0.003882,0.002959,0.121146,-0.003989,0.053784,3.886216,3.003989,3.940000,3.000000,0,1.479966
28947.285871,1.554661,-0.022677,-0.868711,-0.119814,0.735134,-0.009959,0.002235,0.269057,-0.002641,0.050851,3.925816,3.002641,3.976667,3.000000,0,1.519377
28947.291735,1.581975,-0.030607,-1.256396,-0.144343,0.733368,0.020957,0.002157,-0.127068,0.000644,0.050195,3.966519,3.000754,4.016707,2.999721,0,1.560922
28947.310660,1.608491,-0.032193,-1.538176,-0.169795,0.731896,0.005789,0.005792,0.157894,0.004735,0.055083,4.004760,2.998296,4.060013,2.996385,0,1.602360
28947.330666,1.630720,-0.035710,-1.823134,-0.194922,0.731627,0.001628,0.003002,0.119007,0.006400,0.055597,4.043835,2.994783,4.099593,2.989981,0,1.642549
28947.350671,1.647793,-0.042268,-2.180522,-0.219774,0.732423,0.004010,0.004138,0.112413,0.004857,0.052341,4.086895,2.990261,4.138532,2.980426,0,1.684012
28947.390648,1.665640,-0.044806,-2.524914,-0.244734,0.732816,-0.006679,0.006155,0.490585,0.003657,0.056832,4.125355,2.983603,4.179704,2.966590,0,1.724807
28947.396236,1.683521,-0.042518,-2.731424,-0.265508,0.733085,0.021502,0.008144,0.005080,-0.001741,0.049186,4.172930,2.973560,4.216512,2.950691,0,1.767366
28947.410662,1.707563,-0.037588,-2.853106,-0.280941,0.731602,0.011385,0.003509,0.065846,-0.009663,0.054943,4.212459,2.966514,4.254808,2.930201,0,1.809960
28947.430676,1.724189,-0.041679,-3.079882,-0.290235,0.729737,0.007095,0.001400,0.023607,-0.014468,0.055978,4.251083,2.952513,4.288459,2.908401,0,1.849030
28947.450664,1.737999,-0.044663,-3.408972,-0.291742,0.727903,0.007609,0.001014,-0.000578,-0.022143,0.056111,4.291347,2.936920,4.320255,2.883975,0,1.888545
28947.484423,1.752414,-0.042248,-3.666940,-0.288274,0.725936,0.000806,-0.002976,0.068093,-0.031241,0.055562,4.332179,2.918284,4.349991,2.857080,0,1.928467
28947.490664,1.764593,-0.036784,-3.832214,-0.285546,0.725940,0.006663,0.004046,-0.064349,-0.035699,0.059536,4.365385,2.896247,4.377477,2.827889,0,1.966954
28947.510664,1.773371,-0.030903,-3.929954,-0.283540,0.726683,0.003200,0.000504,-0.003722,-0.043058,0.061278,4.400851,2.871464,4.402535,2.796590,0,2.004359
28947.530667,1.782810,-0.024822,-3.976421,-0.284056,0.728900,0.003575,0.000688,-0.000134,-0.053657,0.059838,4.436794,2.845438,4.423235,2.766218,0,2.042299
28947.550669,1.792016,-0.019637,-3.996118,-0.281028,0.731671,0.001222,0.000176,-0.004093,-0.054037,0.058710,4.461855,2.811600,4.441648,2.734408,0,2.080407
28947.585706,1.798699,-0.015691,-3.997940,-0.270546,0.732966,-0.003451,-0.002210,-0.050215,-0.059369,0.062809,4.488606,2.779469,4.459010,2.698267,0,2.118172
28947.591210,1.805603,-0.012413,-3.985629,-0.255385,0.735470,0.003107,0.000313,-0.015138,-0.056251,0.061937,4.505156,2.740974,4.472335,2.664012,0,2.156219
28947.610668,1.810802,-0.010453,-3.975656,-0.234713,0.736491,-0.000801,-0.001380,-0.062454,-0.057035,0.060586,4.522599,2.702111,4.483107,2.628871,0,2.194580
28947.630671,1.818916,-0.005267,-3.881945,-0.211293,0.737423,-0.000338,-0.002950,-0.096531,-0.062785,0.062712,4.542388,2.662712,4.491879,2.589748,0,2.233738
28947.650663,1.829436,-0.001372,-3.739336,-0.187932,0.738602,-0.000790,-0.001956,-0.093949,-0.060846,0.064616,4.551562,2.620430,4.497489,2.550048,0,2.274473
28947.686547,1.841193,0.003801,-3.519364,-0.161688,0.738313,-0.009455,0.001263,-0.285032,-0.064154,0.066683,4.562704,2.577982,4.499899,2.510026,0,2.315639
28947.692367,1.856521,0.008815,-3.200437,-0.134498,0.737317,0.011638,-0.004200,0.121382,-0.072140,0.064994,4.572140,2.534994,4.500000,2.470000,0,2.358182
28947.710678,1.872832,0.007805,-2.924942,-0.107073,0.735550,0.002820,-0.002400,-0.096186,-0.078617,0.063496,4.578617,2.490162,4.500000,2.426667,0,2.402988
28947.730667,1.891266,0.012512,-2.519943,-0.081628,0.732638,0.000895,-0.001444,-0.080728,-0.081537,0.062869,4.581537,2.446202,4.500000,2.383333,0,2.448580
