t,vx,vy,omega,delta,T,eps_vx,eps_vy,eps_omega,eC,eL,pos_x,pos_y,ref_x,ref_y,lap,theta
29557.463887,0.400000,0.020000,0.000000,-0.000869,0.510000,-0.033072,0.020086,0.001512,-0.003207,0.024107,1.002560,3.003207,1.026667,3.000000,0,0.042340
29557.502383,0.400000,0.020000,0.000000,-0.001531,0.520000,-0.093557,0.005791,0.208563,-0.007787,0.028127,1.011873,3.007787,1.040000,3.000000,0,0.046309
29557.535806,0.346925,0.005555,0.202559,-0.006815,0.530000,-0.251868,0.000995,0.026232,-0.005220,0.037323,1.006010,3.005220,1.043333,3.000000,0,0.049142
29557.541174,0.131580,-0.000000,-0.000003,-0.011182,0.540000,0.001888,0.000000,0.000001,-0.003795,0.038884,1.007783,3.003795,1.046667,3.000000,0,0.049142
29557.547788,0.139738,-0.000000,-0.000000,-0.012643,0.550000,-0.003280,-0.000000,-0.000000,-0.003810,0.038314,1.008353,3.003810,1.046667,3.000000,0,0.049142
29557.567786,0.144373,-0.000000,-0.000000,-0.014123,0.560000,0.014818,0.000000,0.000000,-0.004219,0.033042,1.013625,3.004219,1.046667,3.000000,0,0.049142
29557.587785,0.183695,0.000000,0.000000,-0.015142,0.570000,0.019813,-0.000226,-0.007094,-0.004387,0.025894,1.020773,3.004387,1.046667,3.000000,0,0.050610
29557.628709,0.228471,-0.001352,-0.035071,-0.015700,0.580000,-0.012341,0.000082,0.002321,-0.003428,0.021864,1.028136,3.003428,1.050000,3.000000,0,0.056399
29557.634286,0.268060,-0.001699,-0.045135,-0.015646,0.589305,0.023411,-0.000149,-0.004129,-0.001011,0.017874,1.035459,3.001011,1.053333,3.000000,0,0.065745
29557.647777,0.298686,-0.001891,-0.050520,-0.014946,0.599305,0.002503,-0.000049,-0.001485,-0.003017,0.023137,1.040197,3.003017,1.063333,3.000000,0,0.074107
29557.667798,0.318960,-0.001955,-0.052617,-0.014532,0.609305,0.016674,-0.000098,-0.002886,-0.002550,0.022404,1.050929,3.002550,1.073333,3.000000,0,0.083957
29557.687786,0.362505,-0.002108,-0.056962,-0.013066,0.618686,0.007224,-0.000070,-0.002315,-0.002854,0.022980,1.060353,3.002854,1.083333,3.000000,0,0.096238
29557.729604,0.396931,-0.002093,-0.057246,-0.011589,0.628686,-0.024965,0.000047,0.000963,-0.003311,0.023242,1.070091,3.003311,1.093333,3.000000,0,0.107858
29557.735449,0.429640,-0.002004,-0.055284,-0.009821,0.638686,0.047039,-0.000345,-0.008823,-0.003004,0.018263,1.088404,3.003004,1.106667,3.000000,0,0.124262
29557.747792,0.484908,-0.002171,-0.059938,-0.007784,0.643865,-0.000877,-0.000358,-0.009864,-0.003094,0.029002,1.094331,3.003094,1.123333,3.000000,0,0.138966
29557.767812,0.501409,-0.001998,-0.057015,-0.005685,0.653865,0.006620,-0.000091,-0.003291,-0.003816,0.029581,1.107085,3.003816,1.136667,3.000000,0,0.150671
