t,vx,vy,omega,delta,T,eps_vx,eps_vy,eps_omega,eC,eL,pos_x,pos_y,ref_x,ref_y,lap,theta
26047.986064,0.400000,0.020000,0.000000,-0.003205,0.510000,-0.032145,0.020470,0.011859,-0.006925,0.023207,1.483459,3.006925,1.506667,3.000000,0,0.523399
26048.018272,0.400000,0.020000,0.000000,-0.005954,0.520000,-0.073975,0.000584,0.016223,-0.007419,0.031047,1.492287,3.007419,1.523333,3.000000,0,0.528164
26048.050307,0.359874,-0.000358,-0.008521,-0.007944,0.530000,-0.218415,0.001204,0.032273,-0.007891,0.037553,1.489114,3.007891,1.526667,3.000000,0,0.531449
26048.055736,0.176431,-0.000034,-0.001209,-0.010335,0.540000,-0.009352,0.000007,0.000269,-0.008152,0.038671,1.491329,3.008152,1.530000,3.000000,0,0.531449
26048.064305,0.173381,-0.000000,-0.000000,-0.011882,0.550000,-0.021136,-0.000000,-0.000000,-0.007366,0.039480,1.490520,3.007366,1.530000,3.000000,0,0.531449
26048.084308,0.162452,-0.000000,-0.000000,-0.012769,0.560000,-0.002304,0.000000,0.000000,-0.007535,0.036244,1.493756,3.007535,1.530000,3.000000,0,0.531449
26048.128998,0.184600,0.000000,0.000000,-0.013647,0.570000,-0.028575,0.000516,0.016501,-0.007939,0.031931,1.498069,3.007939,1.530000,3.000000,0,0.531449
26048.135097,0.211704,-0.000818,-0.018893,-0.014376,0.580000,0.032578,-0.000196,-0.006337,-0.007405,0.024125,1.505875,3.007405,1.530000,3.000000,0,0.535224
26048.144307,0.252059,-0.001397,-0.037125,-0.014844,0.590000,0.005408,0.000080,0.001922,-0.008011,0.024099,1.509235,3.008011,1.533333,3.000000,0,0.540874
26048.164331,0.269426,-0.001494,-0.039784,-0.015557,0.600000,0.009603,-0.000045,-0.001125,-0.007859,0.022683,1.517317,3.007859,1.540000,3.000000,0,0.547752
26048.184304,0.305541,-0.001897,-0.050529,-0.016094,0.610000,0.002729,-0.000006,-0.000088,-0.007702,0.022262,1.524404,3.007702,1.546667,3.000000,0,0.557294
26048.229867,0.335172,-0.002146,-0.057463,-0.016349,0.620000,-0.028400,0.000177,0.005206,-0.007997,0.023089,1.533577,3.007997,1.556667,3.000000,0,0.567213
26048.235572,0.369049,-0.002388,-0.064348,-0.016705,0.630000,0.039240,-0.000201,-0.006126,-0.007795,0.019749,1.546918,3.007795,1.566667,3.000000,0,0.580841
26048.244329,0.416251,-0.002675,-0.072776,-0.015984,0.638200,0.008459,-0.000096,-0.002588,-0.008500,0.026530,1.553470,3.008500,1.580000,3.000000,0,0.593197
26048.264306,0.437046,-0.002794,-0.076332,-0.016069,0.648200,0.002070,-0.000009,-0.000272,-0.008964,0.026306,1.563694,3.008964,1.590000,3.000000,0,0.603403
26048.284307,0.467715,-0.002914,-0.080108,-0.016261,0.658200,0.007889,-0.000035,-0.001080,-0.008006,0.027264,1.576069,3.008006,1.603333,3.000000,0,0.617022
26048.333959,0.504677,-0.003137,-0.086814,-0.015656,0.668200,-0.035029,0.000134,0.004276,-0.007513,0.027035,1.589631,3.007513,1.616667,3.000000,0,0.632462
26048.339743,0.542508,-0.003253,-0.091273,-0.014607,0.678199,0.049997,-0.000335,-0.009794,-0.007049,0.017369,1.612631,3.007049,1.630000,3.000000,0,0.652969
26048.346725,0.601160,-0.003498,-0.099318,-0.012715,0.679375,0.006495,-0.000316,-0.007591,-0.006949,0.030100,1.619900,3.006949,1.650000,3.000000,0,0.671067
26048.364323,0.618007,-0.003483,-0.100050,-0.011315,0.689369,0.003073,-0.000226,-0.007470,-0.006307,0.037530,1.632470,3.006307,1.670000,3.000000,0,0.683393
26048.384310,0.647558,-0.003026,-0.090317,-0.009578,0.699369,0.007501,-0.000121,-0.004380,-0.006325,0.033548,1.649786,3.006325,1.683333,3.000000,0,0.699560
26048.432084,0.685528,-0.002564,-0.077510,-0.008250,0.708592,-0.035742,-0.000085,-0.003665,-0.005558,0.029427,1.667240,3.005558,1.696667,3.000000,0,0.719325
26048.437793,0.722961,-0.002270,-0.069215,-0.006559,0.716452,0.053372,-0.000211,-0.004466,-0.004598,0.018336,1.698331,3.004598,1.716667,3.000000,0,0.746171
26048.444278,0.785202,-0.002234,-0.067690,-0.004351,0.715491,-0.000226,-0.000428,-0.009587,-0.004459,0.039621,1.703713,3.004459,1.743333,3.000000,0,0.767787
26048.464304,0.794888,-0.002167,-0.066728,-0.002772,0.725491,0.006965,-0.000291,-0.010192,-0.003904,0.042454,1.724213,3.003904,1.766667,3.000000,0,0.783437
26048.484304,0.832908,-0.001279,-0.045748,-0.001276,0.733678,0.007718,-0.000114,-0.004167,-0.003565,0.037335,1.745998,3.003565,1.783333,3.000000,0,0.805488
26048.535389,0.871833,-0.000633,-0.025211,0.000179,0.739089,-0.042394,-0.000462,-0.016325,-0.003492,0.035821,1.767512,3.003492,1.803333,3.000000,0,0.828982
26048.542216,0.908692,-0.000419,-0.015724,0.001630,0.744391,0.064109,-0.000390,-0.007458,-0.002969,0.011996,1.814670,3.002969,1.826667,3.000000,0,0.865241
26048.548765,0.983493,-0.000388,-0.013090,0.003562,0.741302,-0.004028,-0.000558,-0.012381,-0.002876,0.044782,1.818551,3.002876,1.863333,3.000000,0,0.894971
26048.564312,0.989456,-0.000284,-0.011067,0.005282,0.750847,0.004861,-0.000434,-0.013459,-0.001507,0.055388,1.837945,3.001507,1.893333,3.000000,0,0.909974
26048.584303,1.018384,0.000714,0.012674,0.006904,0.760847,0.005372,-0.000388,-0.010363,-0.000831,0.043553,1.863114,3.000831,1.906667,3.000000,0,0.933085
26048.630177,1.055006,0.001505,0.042561,0.008601,0.769105,-0.036878,-0.001048,-0.039078,0.000015,0.041943,1.888057,2.999985,1.930000,3.000000,0,0.959891
26048.636945,1.089778,0.001620,0.053144,0.010251,0.776316,0.049897,-0.000693,-0.010770,-0.000043,0.022217,1.934450,3.000043,1.956667,3.000000,0,0.996913
26048.644312,1.150371,0.001647,0.059662,0.012490,0.771703,-0.001360,-0.000759,-0.017624,0.001638,0.054371,1.942295,2.998362,1.996667,3.000000,0,1.027509
26048.664320,1.160334,0.001988,0.066972,0.014951,0.779367,0.005932,-0.000235,-0.008628,0.002291,0.055486,1.971180,2.997709,2.026667,3.000000,0,1.049157
26048.684307,1.197268,0.004038,0.126345,0.015632,0.784861,0.005564,-0.000063,-0.001817,0.002877,0.045600,2.001066,2.997123,2.046667,3.000000,0,1.079817
26048.731242,1.233779,0.004724,0.164576,0.016254,0.788414,-0.036813,-0.000042,-0.015904,0.003789,0.046280,2.030387,2.996211,2.076667,3.000000,0,1.110975
26048.737364,1.268782,0.004967,0.186816,0.016743,0.791673,0.051192,-0.000100,0.013307,0.003797,0.026457,2.083543,2.996203,2.110000,3.000000,0,1.153400
26048.744300,1.329388,0.004969,0.206411,0.015447,0.785602,-0.000654,0.000154,0.002833,0.005385,0.060988,2.092345,2.994615,2.153333,3.000000,0,1.188315
26048.764305,1.339056,0.004983,0.208661,0.014987,0.792014,0.004298,0.000141,0.006205,0.006457,0.062099,2.124567,2.993543,2.186667,3.000000,0,1.211990
26048.784305,1.373291,0.004688,0.209972,0.014886,0.796878,0.004283,0.000018,0.001297,0.006605,0.052721,2.157279,2.993395,2.210000,3.000000,0,1.244989
26048.832029,1.407408,0.004418,0.206773,0.013749,0.800431,-0.036593,0.000463,0.012564,0.007320,0.052447,2.190886,2.992680,2.243333,3.000000,0,1.279930
26048.838433,1.441030,0.004304,0.207148,0.012299,0.803139,0.047534,0.000249,0.012210,0.006349,0.026263,2.250403,2.993651,2.276667,3.000000,0,1.327258
26048.844267,1.498030,0.004155,0.211679,0.008886,0.796075,0.000321,0.000706,0.015441,0.008518,0.066878,2.259789,2.991482,2.326667,3.000000,0,1.365398
26048.864308,1.506668,0.004039,0.210783,0.006826,0.801812,0.004396,0.000599,0.020029,0.008939,0.067390,2.295943,2.991061,2.363333,3.000000,0,1.391856
26048.884305,1.539738,0.002392,0.170460,0.004452,0.805248,0.004410,0.001164,0.034334,0.007368,0.057223,2.332777,2.992632,2.390000,3.000000,0,1.429125
26048.932499,1.572555,0.002026,0.147411,-0.000342,0.807062,-0.034886,0.002556,0.120189,0.006327,0.055562,2.371104,2.993673,2.426667,3.000000,0,1.468267
26048.938824,1.604815,0.001953,0.136490,-0.004808,0.807292,0.044623,0.001944,0.041501,0.002593,0.030111,2.436556,2.997407,2.466667,3.000000,0,1.520013
26048.944644,1.658236,0.002034,0.135553,-0.011620,0.799187,0.000709,0.002342,0.051450,0.004010,0.072450,2.447550,2.995990,2.520000,3.000000,0,1.561675
26048.964298,1.666687,0.001688,0.129567,-0.017999,0.803342,0.003336,0.002204,0.078098,0.003181,0.074070,2.485930,2.996819,2.560000,3.000000,0,1.590568
26048.984286,1.696112,-0.003131,-0.000682,-0.021597,0.806261,0.001396,0.002661,0.078996,-0.000175,0.067414,2.522586,3.000175,2.590000,3.000000,0,1.628471
26049.032976,1.723822,-0.004142,-0.100454,-0.025155,0.808704,-0.037234,0.002590,0.205492,-0.001992,0.069342,2.557324,3.001992,2.626667,3.000000,0,1.665683
26049.040326,1.749578,-0.003738,-0.153401,-0.027530,0.810073,0.038508,0.003352,0.036976,-0.016868,0.037838,2.625495,3.016868,2.663333,3.000000,0,1.717308
26049.047443,1.797585,-0.002520,-0.181053,-0.035257,0.800073,0.005858,0.002287,0.052423,-0.010678,0.067875,2.648792,3.010678,2.716667,3.000000,0,1.765672
26049.064305,1.812130,-0.003656,-0.210353,-0.039430,0.799161,0.005317,0.001394,0.050868,-0.010899,0.074067,2.689267,3.010899,2.763333,3.000000,0,1.801038
26049.084304,1.837714,-0.007945,-0.349942,-0.040019,0.797796,0.004995,0.000194,0.004259,-0.011841,0.063508,2.736492,3.011841,2.800000,3.000000,0,1.845157
26049.132872,1.866401,-0.009509,-0.506302,-0.038411,0.793496,-0.028927,-0.002136,0.041053,-0.012637,0.061512,2.781822,3.012637,2.843333,3.000000,0,1.893078
26049.139229,1.893158,-0.008019,-0.585173,-0.035833,0.789305,0.038391,0.001798,-0.044034,-0.018231,0.027969,2.862031,3.018231,2.890000,3.000000,0,1.955212
26049.145267,1.938775,-0.005287,-0.635210,-0.029056,0.779305,0.003652,-0.001100,-0.027954,-0.015864,0.071553,2.881781,3.015864,2.953333,3.000000,0,2.008092
26049.164312,1.948955,-0.004830,-0.639684,-0.025692,0.777315,-0.000309,-0.000610,-0.027870,-0.016612,0.085727,2.920940,3.016612,3.006667,3.000000,0,2.042097
26049.184304,1.968906,-0.001383,-0.575147,-0.023346,0.774387,0.003447,-0.000520,-0.018997,-0.018401,0.070631,2.969369,3.018401,3.040000,3.000000,0,2.085810
26049.229875,1.993132,0.000025,-0.506656,-0.021008,0.769315,-0.022088,0.000315,-0.062103,-0.019760,0.065821,3.017513,3.019760,3.083333,3.000000,0,2.134549
26049.235594,2.016502,0.000722,-0.451050,-0.017883,0.763652,0.029016,-0.000748,0.035698,-0.021035,0.042357,3.090976,3.021035,3.133333,3.000000,0,2.195356
26049.244308,2.051129,0.000504,-0.390305,-0.009082,0.753652,0.002936,-0.002020,-0.050205,-0.020855,0.076986,3.116347,3.020855,3.193333,3.000000,0,2.247527
26049.264281,2.062160,0.000372,-0.383810,-0.004988,0.748248,0.003630,-0.000322,-0.021792,-0.021785,0.079662,3.167004,3.021785,3.246667,3.000000,0,2.288203
