t,vx,vy,omega,delta,T,eps_vx,eps_vy,eps_omega,eC,eL,pos_x,pos_y,ref_x,ref_y,lap,theta
18938.677781,0.400000,0.020000,0.000000,-0.005437,0.510000,-0.124587,0.012816,0.376034,-0.016212,0.019650,1.467017,3.016212,1.486667,3.000000,0,0.502355
18938.708782,0.307353,0.011973,0.354092,-0.013356,0.520000,-0.024731,0.004034,0.137782,-0.016310,0.030492,1.469508,3.016310,1.500000,3.000000,0,0.505249
18938.714707,0.315662,0.002281,0.091768,-0.019133,0.530000,-0.132704,0.000780,0.001782,-0.015304,0.036741,1.466592,3.015304,1.503333,3.000000,0,0.506720
18938.734766,0.189420,-0.000093,-0.003327,-0.025416,0.540000,-0.037137,0.002018,0.051233,-0.014844,0.039326,1.467341,3.014844,1.506667,3.000000,0,0.506720
18938.754771,0.175430,-0.000094,-0.003437,-0.029069,0.550000,-0.013557,0.000000,0.000003,-0.014351,0.037073,1.469594,3.014351,1.506667,3.000000,0,0.506720
18938.774754,0.185679,-0.000000,-0.000011,-0.031703,0.560000,0.011291,0.000542,0.017783,-0.014352,0.031551,1.475116,3.014352,1.506667,3.000000,0,0.506720
18938.808230,0.221225,-0.001932,-0.044830,-0.033845,0.570000,-0.019165,0.000276,0.007816,-0.014668,0.025630,1.481036,3.014668,1.506667,3.000000,0,0.509916
18938.814793,0.243528,-0.003331,-0.088135,-0.036421,0.580000,0.027459,-0.000155,-0.005006,-0.014145,0.020628,1.486039,3.014145,1.506667,3.000000,0,0.516404
18938.834768,0.279310,-0.003826,-0.101976,-0.037738,0.590000,0.022739,-0.000304,-0.008253,-0.013789,0.019886,1.493448,3.013789,1.513333,3.000000,0,0.524933
18938.854759,0.327819,-0.004932,-0.131875,-0.037444,0.600000,-0.013309,0.000181,0.005105,-0.013273,0.024476,1.498858,3.013273,1.523333,3.000000,0,0.533725
18938.874750,0.340723,-0.005107,-0.137282,-0.037356,0.610000,-0.012056,0.000164,0.004692,-0.013021,0.028003,1.505330,3.013021,1.533333,3.000000,0,0.541106
18938.908019,0.355427,-0.005295,-0.142617,-0.037410,0.620000,0.002304,-0.000031,-0.000891,-0.012222,0.024594,1.515406,3.012222,1.540000,3.000000,0,0.550713
18938.914755,0.403090,-0.005947,-0.161412,-0.035605,0.630000,0.032411,-0.000623,-0.017267,-0.011752,0.022986,1.527014,3.011752,1.550000,3.000000,0,0.563832
18938.934756,0.444850,-0.006498,-0.177779,-0.033271,0.639546,0.001447,-0.000073,-0.002672,-0.012440,0.025639,1.537694,3.012440,1.563333,3.000000,0,0.578024
18938.954758,0.474383,-0.006215,-0.172429,-0.031458,0.649546,-0.002474,-0.000021,-0.000938,-0.013390,0.027021,1.549646,3.013390,1.576667,3.000000,0,0.591055
18938.974757,0.500433,-0.006129,-0.170704,-0.030653,0.659546,0.006913,-0.000097,-0.003257,-0.012553,0.028313,1.561687,3.012553,1.590000,3.000000,0,0.604448
18939.014790,0.536320,-0.006296,-0.176378,-0.028762,0.669546,-0.026103,0.000116,0.003315,-0.012016,0.029172,1.574161,3.012016,1.603333,3.000000,0,0.619392
18939.020113,0.568836,-0.006262,-0.177571,-0.026455,0.679546,0.040514,-0.000534,-0.014860,-0.010840,0.023972,1.592695,3.010840,1.616667,3.000000,0,0.637219
18939.034759,0.617302,-0.006570,-0.187642,-0.022569,0.684546,0.013282,-0.000846,-0.022874,-0.009922,0.029637,1.607030,3.009922,1.636667,3.000000,0,0.656175
18939.054762,0.652440,-0.006414,-0.186914,-0.018358,0.692404,0.001455,-0.000321,-0.011846,-0.009012,0.033251,1.620082,3.009012,1.653333,3.000000,0,0.672664
18939.074762,0.683969,-0.005093,-0.155871,-0.013611,0.701679,0.008543,-0.000284,-0.010473,-0.008398,0.031166,1.638834,3.008398,1.670000,3.000000,0,0.690337
18939.114435,0.722914,-0.003983,-0.124822,-0.009423,0.708734,-0.020466,-0.000386,-0.016556,-0.007868,0.032464,1.657536,3.007868,1.690000,3.000000,0,0.710982
18939.120679,0.762817,-0.002971,-0.096158,-0.004731,0.714682,0.033728,-0.000454,-0.006227,-0.005832,0.030323,1.679677,3.005832,1.710000,3.000000,0,0.734038
18939.134770,0.806128,-0.002646,-0.082699,0.000212,0.716264,0.008304,-0.001111,-0.028760,-0.004995,0.037343,1.695991,3.004995,1.733333,3.000000,0,0.756347
18939.154760,0.835859,-0.001761,-0.061370,0.005186,0.722765,0.006918,-0.000573,-0.020998,-0.004010,0.035822,1.717511,3.004010,1.753333,3.000000,0,0.777428
18939.174762,0.873279,0.000388,-0.005185,0.009100,0.727914,0.004775,-0.000255,-0.009210,-0.002355,0.038465,1.738202,3.002355,1.776667,3.000000,0,0.800866
18939.210500,0.908580,0.002015,0.049532,0.013210,0.733504,-0.018177,-0.000516,-0.025516,-0.000109,0.039388,1.760612,3.000109,1.800000,3.000000,0,0.824658
18939.217130,0.944855,0.003353,0.095194,0.017073,0.738451,0.031669,-0.000235,0.006023,0.001822,0.035501,1.787832,2.998178,1.823333,3.000000,0,0.851073
18939.234757,0.986672,0.003915,0.124277,0.020075,0.738887,0.003482,-0.000795,-0.021603,0.002271,0.041536,1.808464,2.997729,1.850000,3.000000,0,0.878041
18939.254757,1.016781,0.004882,0.154430,0.023185,0.744083,0.004490,-0.000378,-0.013675,0.003736,0.043861,1.832806,2.996264,1.876667,3.000000,0,0.902922
18939.274759,1.051498,0.006391,0.201724,0.025496,0.749229,-0.000136,-0.000159,-0.005892,0.004784,0.045888,1.854112,2.995216,1.900000,3.000000,0,0.927313
18939.317752,1.081587,0.007503,0.246772,0.026672,0.756052,-0.028959,-0.000394,-0.022695,0.005922,0.046186,1.880481,2.994078,1.926667,3.000000,0,0.953131
18939.324581,1.117569,0.007923,0.276761,0.026880,0.761861,0.021259,-0.000179,0.003448,0.008804,0.044625,1.905375,2.991196,1.950000,3.000000,0,0.980910
18939.334764,1.149231,0.007962,0.289084,0.028285,0.768344,0.014578,-0.000299,-0.004133,0.009572,0.048903,1.931097,2.990428,1.980000,3.000000,0,1.008714
18939.354755,1.179340,0.008192,0.301303,0.029503,0.775061,0.009935,-0.000177,-0.004498,0.010073,0.042089,1.964578,2.989927,2.006667,3.000000,0,1.039960
18939.374759,1.219786,0.008877,0.330121,0.028556,0.776168,0.006799,0.000054,0.003897,0.010983,0.040851,1.995816,2.989017,2.036667,3.000000,0,1.074054
18939.407363,1.256803,0.008931,0.348802,0.027240,0.776634,-0.011751,0.000179,0.003744,0.011655,0.045395,2.027938,2.988345,2.073333,3.000000,0,1.108420
18939.414768,1.293596,0.008541,0.352353,0.024975,0.775543,0.025273,0.000222,0.010111,0.012087,0.045715,2.060951,2.987913,2.106667,3.000000,0,1.143074
18939.434758,1.329812,0.008298,0.354381,0.021943,0.773253,0.004541,0.000208,0.010015,0.012326,0.047740,2.092260,2.987674,2.140000,3.000000,0,1.177497
18939.454760,1.363290,0.006962,0.328013,0.018497,0.772335,0.003937,0.000225,0.010382,0.012433,0.052168,2.124499,2.987567,2.176667,3.000000,0,1.212127
18939.474759,1.395767,0.005744,0.293258,0.015292,0.771902,0.005879,0.000192,0.009744,0.011483,0.050907,2.159093,2.988517,2.210000,3.000000,0,1.247612
18939.507745,1.429797,0.004599,0.255230,0.011191,0.769223,-0.013137,0.000440,0.030426,0.011139,0.053255,2.193412,2.988861,2.246667,3.000000,0,1.283545
18939.514760,1.462031,0.003353,0.211560,0.007412,0.766875,0.021735,0.000367,-0.003829,0.011710,0.055165,2.228168,2.988290,2.283333,3.000000,0,1.319794
18939.534734,1.493313,0.002881,0.181449,0.004342,0.764862,0.005234,0.000231,0.011282,0.010081,0.052195,2.264471,2.989919,2.316667,3.000000,0,1.357155
18939.554762,1.525141,0.001226,0.127159,0.000115,0.761614,0.003855,0.000289,0.012999,0.009677,0.056152,2.300515,2.990323,2.356667,3.000000,0,1.395283
18939.574733,1.555088,-0.000072,0.070595,-0.003014,0.759441,0.004642,0.000223,0.009845,0.008236,0.055427,2.337906,2.991764,2.393333,3.000000,0,1.433822
18939.608465,1.585257,-0.001052,0.016668,-0.007104,0.756305,-0.012380,0.000270,0.037406,0.007326,0.056754,2.376580,2.992674,2.433333,3.000000,0,1.473990
18939.614918,1.614872,-0.002065,-0.038452,-0.009798,0.752558,0.020990,0.000361,-0.014868,0.005069,0.057695,2.415639,2.994931,2.473333,3.000000,0,1.514412
18939.634729,1.643770,-0.002261,-0.077473,-0.013791,0.748553,0.004324,0.000465,0.019639,0.003501,0.058298,2.455035,2.996499,2.513333,3.000000,0,1.554779
18939.654730,1.671663,-0.003379,-0.129213,-0.017580,0.744795,0.003215,0.000270,0.011564,0.001683,0.059402,2.493931,2.998317,2.553333,3.000000,0,1.596038
18939.674756,1.698076,-0.004514,-0.194641,-0.020421,0.741583,0.003311,0.000214,0.008802,0.000648,0.059170,2.534164,2.999352,2.593333,3.000000,0,1.637669
18939.707688,1.724076,-0.005110,-0.253705,-0.023155,0.738576,-0.010481,-0.000055,0.030399,-0.000754,0.061068,2.575599,3.000754,2.636667,3.000000,0,1.680032
18939.714746,1.749891,-0.005480,-0.306693,-0.025006,0.735025,0.018611,0.000548,-0.014327,-0.002091,0.060777,2.619223,3.002091,2.680000,3.000000,0,1.723878
18939.734755,1.776144,-0.005199,-0.342437,-0.025405,0.729816,0.003318,0.000070,0.001764,-0.003938,0.061840,2.661493,3.003938,2.723333,3.000000,0,1.768410
18939.754755,1.800396,-0.005231,-0.376848,-0.026185,0.726140,0.003339,0.000084,0.001965,-0.005607,0.061866,2.704801,3.005607,2.766667,3.000000,0,1.812554
18939.774756,1.824118,-0.004981,-0.401519,-0.026800,0.722992,0.003097,0.000076,0.001526,-0.006099,0.061534,2.748466,3.006099,2.810000,3.000000,0,1.857214
18939.808033,1.847087,-0.004688,-0.420474,-0.026653,0.720314,-0.009200,-0.000224,0.003733,-0.008333,0.063380,2.793287,3.008333,2.856667,3.000000,0,1.903131
18939.814752,1.870024,-0.004252,-0.432459,-0.025936,0.717528,0.016205,0.000199,-0.006542,-0.010322,0.060737,2.839263,3.010322,2.900000,3.000000,0,1.949903
18939.834761,1.892621,-0.003810,-0.439152,-0.024938,0.714577,0.003956,-0.000011,-0.003994,-0.011344,0.060075,2.886592,3.011344,2.946667,3.000000,0,1.997825
18939.854758,1.915046,-0.003032,-0.433213,-0.022900,0.711286,0.003525,-0.000076,-0.006925,-0.012935,0.062695,2.933972,3.012935,2.996667,3.000000,0,2.046238
18939.874762,1.936545,-0.002198,-0.417003,-0.020828,0.707322,0.003300,-0.000078,-0.007017,-0.015303,0.061924,2.981409,3.015303,3.043333,3.000000,0,2.094550
