t,vx,vy,omega,delta,T,eps_vx,eps_vy,eps_omega,eC,eL,pos_x,pos_y,ref_x,ref_y,lap,theta
16483.641708,0.400000,0.020000,0.000000,-0.002436,0.510000,-0.032287,0.020342,0.008405,-0.006501,0.025010,1.491657,3.006501,1.516667,3.000000,0,0.532108
16483.673935,0.400000,0.020000,0.000000,-0.004520,0.520000,-0.290752,0.036234,1.056627,-0.010369,0.036441,1.493559,3.010369,1.530000,3.000000,0,0.534086
16483.679243,0.143131,0.035534,1.038441,-0.013351,0.530000,0.015606,-0.021136,-0.614092,-0.008211,0.036595,1.496738,3.008211,1.533333,3.000000,0,0.534086
16483.711729,0.164639,-0.000008,-0.000314,-0.017297,0.540000,-0.033829,0.000663,0.014117,-0.007206,0.034813,1.498521,3.007206,1.533333,3.000000,0,0.534086
16483.719260,0.168481,-0.000000,-0.000001,-0.020590,0.550000,0.020775,0.000000,0.000000,-0.006477,0.030435,1.502899,3.006477,1.533333,3.000000,0,0.534086
16483.739263,0.198234,0.000000,0.000000,-0.023063,0.560000,-0.006638,0.000103,0.003302,-0.006251,0.027062,1.506271,3.006251,1.533333,3.000000,0,0.535501
16483.759259,0.215868,-0.001979,-0.051666,-0.025415,0.570000,-0.002122,0.000031,0.000960,-0.006473,0.022385,1.510948,3.006473,1.533333,3.000000,0,0.539527
16483.779259,0.238595,-0.002457,-0.065032,-0.027674,0.580000,-0.003514,0.000050,0.001525,-0.006208,0.020912,1.515754,3.006208,1.536667,3.000000,0,0.545278
16483.812480,0.260458,-0.002909,-0.077172,-0.029592,0.590000,-0.014573,0.000184,0.005322,-0.005627,0.021323,1.522010,3.005627,1.543333,3.000000,0,0.551959
16483.819260,0.288851,-0.003432,-0.091339,-0.030947,0.600000,0.024708,-0.000159,-0.005008,-0.005372,0.020395,1.529605,3.005372,1.550000,3.000000,0,0.560353
16483.839277,0.322514,-0.003831,-0.102658,-0.031749,0.610000,-0.007141,0.000095,0.002789,-0.006009,0.023890,1.536110,3.006009,1.560000,3.000000,0,0.569353
16483.859261,0.342243,-0.004324,-0.115946,-0.032885,0.620000,0.003451,-0.000024,-0.000546,-0.006910,0.022650,1.544016,3.006910,1.566667,3.000000,0,0.578760
16483.879262,0.373040,-0.004846,-0.130571,-0.033786,0.630000,0.011774,-0.000125,-0.003509,-0.007514,0.020981,1.555686,3.007514,1.576667,3.000000,0,0.590783
