1.499156141606104331e+00,3.003330511407675818e+00,0.000000000000000000e+00,4.000000000000000222e-01,2.000000000000000042e-02,0.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.999999999987318589e-01,-4.444889945598309855e-01,4.526986637869818253e+00
1.502241567957707913e+00,3.007025465604808101e+00,1.526121650946441616e-02,4.213816334680564046e-01,3.445443425376942814e-01,1.233970447986767027e+00,5.233330999999997735e-01,-1.795201615821573598e-03,3.257826240000327167e-01,6.999999999589103794e-01,-2.976386546214989659e-01,1.562346029253072199e+00
1.509210676175530841e+00,3.013269573554206548e+00,6.170817827180794662e-02,3.485395614493465577e-01,7.706903551157637255e-02,1.524123581268012062e+00,5.466661999999573585e-01,-1.661135327148442059e-02,4.766806696001474331e-01,6.999999999810112561e-01,-4.207084132015875833e-02,3.241316808563696750e-01
1.509178410833035944e+00,3.003127846414899160e+00,3.388558389202214749e-02,2.731864299933233209e-01,-2.102335726071240881e-04,-5.773005696506574094e-03,5.699992999985876718e-01,-2.653254254598284151e-02,5.287583497932398791e-01,6.999999978566330272e-01,5.726486866186601687e-02,3.803345880452571603e-01
1.524089822374657510e+00,3.002881236312116009e+00,3.046466598861230501e-02,3.840731608852058776e-01,-2.693245132329632205e-04,-7.257632846156897126e-03,5.933323999979551733e-01,-2.793488989970768777e-02,5.395626311112254880e-01,6.999999999989775512e-01,9.408090847852042249e-02,4.890579421608217681e-01
1.539493422376290166e+00,3.002595161280028346e+00,2.315504752194864554e-02,4.699405935199090778e-01,-3.230809934715488455e-04,-8.845908782947820709e-03,6.166654999265100967e-01,-2.602608003260170264e-02,5.522403239345375914e-01,6.999999999994825917e-01,1.009826771648733995e-01,6.122630899524102999e-01
1.557743041860258248e+00,3.003788296471120667e+00,1.515248846432152609e-02,5.517711855215772232e-01,-3.708888143501480150e-04,-1.034308894276405114e-02,6.399985999264756753e-01,-2.289008111028718526e-02,5.685420923205845023e-01,6.999999999999869660e-01,9.626716556657777257e-02,6.594341581035580990e-01
1.575370736420706352e+00,3.004508781775375947e+00,9.270407469953195756e-03,6.225697073964649997e-01,-4.089172256065251219e-04,-1.162178336143289588e-02,6.633316999264582403e-01,-1.952402553235045579e-02,5.889506578979679663e-01,6.999999999998697264e-01,1.438139841977836009e-01,9.987310672388935995e-01
1.611224477042838776e+00,3.003821568522059060e+00,-2.153178623730934039e-03,7.436087224349762215e-01,-4.650377069287300316e-04,-1.374895701521285964e-02,6.866647999264580138e-01,-1.631515210251971784e-02,6.109315766900339506e-01,6.562051106048741866e-01,1.904862482241260202e-01,1.288229815708690662e+00
1.653078498158810916e+00,3.003523526298411905e+00,-1.702472298401237413e-02,8.616423674493078888e-01,-5.087041332268294304e-04,-1.576268425899498768e-02,7.099978999264537904e-01,-1.152140056725500621e-02,6.442222793543079806e-01,5.679979251484184033e-01,2.494863862630124773e-01,1.367105609504305486e+00
1.693242030416204136e+00,3.000591124045631997e+00,-3.100786507072176776e-02,9.601136935548350015e-01,-5.366916410075596965e-04,-1.740704661734304021e-02,7.318711848782460949e-01,-5.171922455200213264e-03,6.871628438013260842e-01,5.542642120351419788e-01,1.977174976634004655e-01,1.248993593277369696e+00
1.724920547439866114e+00,2.999679902452498936e+00,-3.656416646381794450e-02,1.029038946648752173e+00,-5.492021176404449567e-04,-1.849866669954690346e-02,7.508042597172179811e-01,3.144207258104776692e-03,7.327325750829333240e-01,4.261050998165828441e-01,1.620867878525034667e-01,1.440110326228086102e+00
1.774126070980056591e+00,2.998403116370305099e+00,-4.259491408887302460e-02,1.127581294128093603e+00,-5.595472438841655495e-04,-2.002238814845763715e-02,7.692795486969785657e-01,9.734724607715936756e-03,7.743652785276318173e-01,3.547371051587563939e-01,1.087227766741858670e-01,1.530812158153553426e+00
1.820951465245106871e+00,2.996006457560173253e+00,-4.117509456673395379e-02,1.211935706150216729e+00,-5.586657658899437696e-04,-2.125498848583205758e-02,7.834829099891635895e-01,1.513756350720307786e-02,8.223684760317908626e-01,2.576054737011278517e-01,6.325003084646943496e-02,1.622176698394476091e+00
1.873892530114691812e+00,2.996541137804990207e+00,-4.656047489791774463e-02,1.298094121580156912e+00,-5.545007711211607203e-04,-2.253657126364245686e-02,7.953073619154199525e-01,1.876161982208371382e-02,8.733950376995233134e-01,2.404960066951294662e-01,5.245118042424732480e-02,1.551704439392922463e+00
1.918484273786359884e+00,2.993702259345769168e+00,-4.338681953712517081e-02,1.365322348970630983e+00,-5.410107677020788543e-04,-2.344276572982202655e-02,8.038941251703000113e-01,2.086993310028907589e-02,9.274670535871063493e-01,8.046563012081897615e-02,-3.636252749789032485e-02,1.521730393583893504e+00
1.963760666827036427e+00,2.992960566341682060e+00,-4.001229236386288218e-02,1.428754216294726653e+00,-5.241588009883505622e-04,-2.427049066997450169e-02,8.119105785614687543e-01,2.261828829737051391e-02,9.791900176653909327e-01,8.033267136815185061e-02,-7.797561429110905218e-02,1.624725264789202761e+00
2.017183102366586045e+00,2.992320755524729758e+00,-2.893174134933841624e-02,1.499673383317096098e+00,-4.976395170451737354e-04,-2.512728117627678961e-02,8.145927394102858710e-01,2.140621616828332005e-02,1.029913856874722589e+00,-2.647584117222001043e-01,-1.464649130071353778e-01,2.023216137719727747e+00
2.091863447294687095e+00,2.991712502245947647e+00,-2.228766147861244162e-02,1.590502600332130534e+00,-4.594227334154244954e-04,-2.625953255565303610e-02,8.172704683450007224e-01,1.880705501711777555e-02,1.084070824125940469e+00,-3.241934397863817097e-01,-8.267144189844520541e-02,2.467034136771609099e+00
2.178081284308009291e+00,2.992060560487657117e+00,-1.445948398223889306e-02,1.686108081960831173e+00,-4.079402717472133556e-04,-2.737280930046628868e-02,8.084452762070644116e-01,1.392494007185094210e-02,1.151510687644552666e+00,-3.319916777258522522e-01,-1.444859724231667419e-01,2.115383276894673870e+00
2.232228809884053256e+00,2.991362207866273160e+00,-8.249703587478979250e-03,1.741585066333675824e+00,-3.739710875262255941e-04,-2.798738800733098150e-02,7.976389362786650006e-01,1.116925289905006113e-02,1.233744336525560925e+00,-4.122728590786287062e-01,-1.692631762260196626e-02,2.267469832458709256e+00
2.309978899493283944e+00,2.992607763722851200e+00,-2.357073940311781458e-03,1.816930459576113543e+00,-3.202654412442876601e-04,-2.879672654039343305e-02,7.865726576850295970e-01,6.353101980268637851e-03,1.304256407294291487e+00,-2.883576107472527461e-01,-8.480724770651883182e-02,2.088009621037539176e+00
2.369178987470032638e+00,2.996041043926960246e+00,-6.196889461278138646e-03,1.870584258237184550e+00,-2.835423989722540145e-04,-2.943155549360454079e-02,7.728303664733620071e-01,5.788897034954452840e-03,1.379837979219638244e+00,-3.354753279257632892e-01,1.718916926558544667e-01,2.046936686498447955e+00
2.434303067772039864e+00,2.993911421416527663e+00,-1.699701305542252816e-03,1.926814085823733480e+00,-2.310626612907925562e-04,-2.995071490890501356e-02,7.632185422343239489e-01,2.962017047153061786e-03,1.449437603917681727e+00,-4.868141361494019992e-01,1.798188894156710904e-01,2.718991676442638283e+00
2.541639451290438778e+00,2.992828066396513442e+00,-9.988715268992734778e-03,2.012811130829564199e+00,-1.495938571219403742e-04,-3.079688790027416620e-02,7.520361431285744747e-01,8.691682838450658782e-03,1.517668144488734328e+00,-4.715783581157015347e-01,4.403542932747914751e-01,2.293442818352126711e+00
2.598531530141076296e+00,2.993580418602029614e+00,-1.798197670747082172e-02,2.055649019902620278e+00,-1.109351521570033810e-04,-3.123994407594795839e-02,7.358091675283066069e-01,1.468558587934322077e-02,1.608300294039596512e+00,-1.583134589933579695e-01,2.345882764503134932e-01,2.180680202933665601e+00
