-5.269701062548171056e-02,3.437702864704230699e-01,1.308804193783847714e+00
-1.586315725660602527e-01,2.287571131246144557e-02,3.387727361404533344e-01
-1.576488280410450193e-01,-3.106844598166343379e-03,1.954300431799850524e-02
2.337745147252051625e-02,-2.707168917683586921e-03,1.137997380155771066e-01
-4.925319976500475150e-03,3.282370663540042522e-03,1.233697134079622532e-01
-1.237495044984893156e-02,4.277442014753697619e-03,1.239281143040412841e-01
-2.679159077350434792e-02,4.183259001297997236e-03,1.197631106498222714e-01
2.001025094563591011e-02,3.392248765269591671e-03,9.886094669109866950e-02
1.436597926919314094e-02,2.589945297062619476e-03,7.897365482195564668e-02
-7.582592638026075527e-03,1.024832025761663462e-03,3.650646575571901697e-02
-3.958299380637719800e-02,-4.067001632990665627e-04,-6.694694693615327666e-03
-1.187328635496331941e-02,-2.627669313547725555e-03,-7.683420206835671340e-02
-2.748756727991552573e-02,-4.269119316621436573e-03,-1.325107760558983938e-01
-2.640527414177551435e-02,-5.612147604693270772e-03,-1.812562886829040820e-01
-4.576254607295604515e-02,-6.646148023594184058e-03,-2.210196004009746251e-01
-4.933365007742152031e-02,-6.617632379343247814e-03,-2.289464635897118794e-01
-4.200153045088472759e-02,-6.798558508891169340e-03,-2.429161142550998187e-01
-2.020070917614003037e-02,-5.863566797449744003e-03,-2.200574433024666265e-01
-1.387733896229392805e-02,-5.460859628628195704e-03,-2.101436464198462029e-01
-5.050131214109132571e-02,-3.506868538794449819e-03,-1.454913161964601631e-01
-2.731518132124555187e-02,-3.573325709149136574e-03,-1.441456272602892330e-01
-4.579890120411800325e-02,-1.685029451372471732e-03,-7.517369103031278088e-02
-3.943601590988121686e-02,-3.322447622058982957e-03,-1.268862719617794566e-01
-6.266418142677920855e-03,-2.539038389116049250e-03,-9.678012844895247935e-02
-4.529274516204440104e-02,-5.829136039779306104e-03,-2.247278297816701631e-01
-3.605698607928697896e-02,-5.847369501204428485e-03,-2.505303276168056037e-01
-1.947005249112754299e-02,-1.010499695720328515e-02,-4.512882917252847848e-01
-4.108831894832620790e-02,-9.601059447436697397e-03,-4.743456996491455246e-01
7.291163841832482007e-03,-1.143534462950630652e-02,-5.897432092746466292e-01
-1.192003945372022145e-02,-8.281566575462371085e-03,-5.054762458625952082e-01
-2.140353344807355285e-02,-6.573739737869625094e-03,-4.492108442641650212e-01
-2.776564212629351047e-02,-2.309769876969733089e-03,-2.296756619434341395e-01
-4.644659695044239811e-03,4.345037086110230436e-03,1.089647236134507757e-01
-9.174513165506326118e-03,8.868362636185766687e-03,3.930433641909856224e-01
-4.883273720963643427e-03,1.542222342628594457e-02,8.064312866350707987e-01
1.695909995116817726e-03,2.167361386755107394e-02,1.195185622209551157e+00
9.706767860499621037e-03,2.547659090241238128e-02,1.479798159968779059e+00
2.152432052525021788e-02,2.978085299370347716e-02,1.766964443896459347e+00
3.241260616222296775e-02,3.006314843081240445e-02,1.856021352455996976e+00
3.656541884641795193e-02,3.030665943243260677e-02,1.922530369341971079e+00
4.402507408749434248e-02,3.027276775987443325e-02,1.943288581244126734e+00
4.553270497489814161e-02,2.891878585453581604e-02,1.922664544338241077e+00
3.708754666249935994e-02,2.606275497157805460e-02,1.860896949470481454e+00
3.139932733451145097e-02,1.887898387876511472e-02,1.638190666690120034e+00
2.834879397744449747e-02,2.810565703506226042e-03,9.242176084955764370e-01
5.268399669010825903e-03,3.315073862936891843e-04,1.622252986192184721e-01
1.866088555708733665e-02,-1.315154045359859594e-02,-1.187050892720565187e+00
3.419655171449864639e-02,-2.970428181292638237e-03,-8.803715449225645306e-01
2.005557730591522869e-02,-1.398834039039505844e-05,-7.014279921211522550e-01
2.197962268316899781e-02,1.136161790716361253e-02,4.053329126804771088e-01
2.347891317523620458e-02,1.606712614653715843e-02,1.235136794128216531e+00
4.358751312369468778e-02,1.930914387309331029e-02,1.664874518857691221e+00
4.198687426559111202e-02,1.895911629967329468e-02,1.747938387991589515e+00
5.251905150126745525e-02,1.927946024494280736e-02,1.781776469999916346e+00
4.581621254481937910e-02,1.615385724435536990e-02,1.634781651341002284e+00
5.060790642690626839e-02,9.765512867834206037e-03,1.309388164896147178e+00
4.129331521896162371e-02,3.923039687202957426e-03,9.217805169563588752e-01
5.002108007031269565e-02,-3.065645790581346137e-04,3.549974886881052671e-01
4.842642849741496391e-02,-6.997100904675587936e-03,-4.359713322719078743e-01
6.163031178225208961e-02,-7.577457736023182622e-03,-7.486454780490796601e-01
