vx,vy,omega,delta,T,eps_vx,eps_vy,eps_omega
2.862337,0.000636,-1.420280,-0.109053,0.422709,-0.001747,0.000131,0.025864
2.861660,0.018861,-1.719702,-0.120503,0.412709,-0.001782,0.000048,0.026168
2.858224,0.035639,-1.947247,-0.135923,0.402709,-0.001596,0.000070,0.032179
2.851859,0.049943,-2.141414,-0.159193,0.392709,-0.000781,0.000130,0.037869
2.842529,0.061921,-2.339368,-0.184783,0.382709,0.001133,0.001820,0.078214
2.831132,0.075200,-2.495693,-0.199177,0.372709,0.000966,0.000373,0.044683
2.816602,0.086331,-2.648636,-0.213306,0.362709,-0.001041,-0.000189,0.009226
2.797199,0.097328,-2.801942,-0.219345,0.352709,-0.001629,-0.000356,0.002058
2.775118,0.109152,-2.914389,-0.217439,0.345477,-0.001691,-0.000362,-0.002943
2.751877,0.120670,-2.982619,-0.211201,0.341532,-0.003286,-0.000677,-0.007281
2.726795,0.130268,-3.011586,-0.195778,0.341014,-0.003180,-0.000688,-0.013944
2.702979,0.137629,-2.999700,-0.175799,0.342430,-0.003210,-0.000711,-0.019942
2.681097,0.142225,-2.941816,-0.154222,0.344244,-0.003072,-0.000787,-0.028272
2.661785,0.143373,-2.835507,-0.133725,0.347053,-0.003362,-0.000826,-0.029914
2.644982,0.140519,-2.675036,-0.113033,0.349357,-0.004222,-0.002852,-0.089632
2.630321,0.131310,-2.514745,-0.094148,0.351523,-0.002811,-0.001083,-0.071754
2.620087,0.122161,-2.275050,-0.081911,0.354370,-0.001498,-0.000474,-0.027912
2.613631,0.109100,-1.977497,-0.078097,0.357336,-0.001043,-0.000287,-0.008440
2.609560,0.091013,-1.723628,-0.083085,0.360993,-0.001014,0.000023,0.013045
2.606751,0.071248,-1.572791,-0.091941,0.363474,-0.000671,0.000164,0.021003
2.604847,0.054083,-1.545459,-0.103776,0.365174,-0.001131,0.000180,0.027126
2.602427,0.041917,-1.622409,-0.114593,0.366186,-0.000327,0.000234,0.023738
2.600490,0.035710,-1.762817,-0.125260,0.365701,-0.000449,0.000249,0.024355
2.597694,0.034460,-1.926678,-0.135054,0.364423,-0.000365,0.000208,0.021496
2.594011,0.036652,-2.092835,-0.144373,0.362615,-0.000702,0.000170,0.019189
2.588857,0.040977,-2.247880,-0.153419,0.360787,-0.000611,0.000131,0.017290
2.582557,0.046427,-2.388176,-0.159558,0.358632,-0.000507,0.000050,0.011047
2.575286,0.052602,-2.506993,-0.158344,0.355009,-0.000543,-0.000106,-0.001752
2.567407,0.059455,-2.586969,-0.156797,0.351387,-0.000670,-0.000164,-0.002244
2.558811,0.065837,-2.625863,-0.152953,0.348082,-0.000918,-0.000231,-0.006289
2.549745,0.070926,-2.630434,-0.144489,0.344783,-0.001455,-0.001107,-0.032721
2.540455,0.073894,-2.614477,-0.133495,0.341478,-0.001314,-0.000559,-0.032068
2.531965,0.076690,-2.544997,-0.120439,0.338258,-0.001622,-0.002015,-0.066191
2.524063,0.076137,-2.455929,-0.105462,0.334993,-0.002439,-0.004403,-0.150457
2.516538,0.072503,-2.389292,-0.089571,0.331940,-0.001723,-0.001284,-0.095498
2.511001,0.073728,-2.187118,-0.072559,0.328791,-0.001164,-0.000674,-0.044818
2.507182,0.071901,-1.875105,-0.058358,0.325825,-0.001155,-0.000622,-0.041112
2.504467,0.064522,-1.555422,-0.045222,0.322746,-0.000894,-0.000500,-0.036625
2.503002,0.054638,-1.247048,-0.037411,0.319722,-0.000945,-0.000373,-0.023392
2.502066,0.043524,-0.988356,-0.029207,0.316562,-0.000654,-0.000353,-0.024707
2.501794,0.033808,-0.779334,-0.026876,0.313402,-0.000584,-0.000177,-0.009465
2.501607,0.025189,-0.634551,-0.027447,0.310442,-0.000575,-0.000003,0.001868
2.501288,0.018085,-0.556750,-0.028970,0.307186,-0.000610,0.000049,0.005355
2.500673,0.012907,-0.532561,-0.030911,0.304045,-0.000694,0.000056,0.006091
2.499679,0.009633,-0.542860,-0.032535,0.300747,-0.000619,0.000072,0.006041
2.498435,0.008040,-0.567997,-0.034004,0.297431,-0.000648,0.000038,0.004635
2.496820,0.007486,-0.598951,-0.033878,0.293548,-0.000672,-0.000021,-0.000235
2.494819,0.007861,-0.621419,-0.035098,0.290029,-0.000562,0.000040,0.004296
2.492564,0.008254,-0.639307,-0.036091,0.286187,-0.000765,0.000022,0.003515
2.489709,0.008527,-0.657920,-0.040250,0.283185,-0.000467,0.000921,0.033462
2.486761,0.008926,-0.672711,-0.044165,0.280187,-0.000441,0.000364,0.028006
2.483447,0.007904,-0.718011,-0.048216,0.276968,-0.000609,0.000154,0.013446
2.479553,0.007226,-0.793576,-0.053533,0.273930,-0.000792,0.000187,0.016607
2.475025,0.007297,-0.878361,-0.061028,0.271626,-0.000635,0.000279,0.023078
2.470160,0.007463,-0.980434,-0.073918,0.271101,-0.000805,0.000435,0.037116
2.464482,0.006965,-1.125013,-0.085091,0.270793,-0.000691,0.000376,0.030979
2.458346,0.007311,-1.299524,-0.097009,0.271085,-0.001076,0.000398,0.033910
2.451167,0.008725,-1.483985,-0.106005,0.271147,-0.000617,0.000422,0.029565
2.443888,0.011521,-1.657249,-0.115371,0.270802,-0.000946,0.000279,0.024437
2.435567,0.014616,-1.822311,-0.121703,0.269972,-0.000725,0.000325,0.021452
2.426875,0.018526,-1.960272,-0.126957,0.268874,-0.000814,0.000099,0.013159
2.417500,0.022240,-2.078290,-0.132977,0.268141,-0.000573,0.000816,0.031504
2.407758,0.026273,-2.161231,-0.139682,0.267411,-0.000580,0.000345,0.029242
2.397325,0.028419,-2.243960,-0.146788,0.266553,-0.000823,0.000128,0.015585
2.385998,0.029797,-2.342288,-0.153932,0.265785,-0.000702,0.000246,0.019698
2.374165,0.031494,-2.433716,-0.160205,0.265141,-0.000895,0.000061,0.011994
2.361601,0.033045,-2.526335,-0.166823,0.264367,-0.000635,0.000196,0.016480
2.348694,0.034836,-2.608618,-0.172201,0.263737,-0.000753,0.000039,0.010060
2.335211,0.036392,-2.687998,-0.177710,0.263012,-0.000591,0.000122,0.012739
2.321404,0.037966,-2.756752,-0.183589,0.261999,-0.000674,0.000037,0.009915
2.306976,0.039079,-2.824038,-0.188263,0.261542,-0.000702,-0.000000,0.007909
2.292193,0.040044,-2.885383,-0.192844,0.261871,-0.000621,0.000003,0.007298
2.277260,0.040807,-2.940643,-0.196813,0.262515,-0.000666,-0.000023,0.006198
2.262161,0.041314,-2.990036,-0.199781,0.262947,-0.000616,-0.000036,0.004987
2.247095,0.041607,-3.032344,-0.203202,0.262573,-0.000598,-0.000044,0.004765
2.231906,0.041532,-3.070155,-0.206304,0.262267,-0.000618,-0.000059,0.004205
2.216622,0.041114,-3.104520,-0.207509,0.262608,-0.001094,-0.000148,0.002611
2.201078,0.040475,-3.132364,-0.204676,0.263819,-0.000912,-0.000190,-0.003659
2.186389,0.039934,-3.148339,-0.201636,0.264104,-0.000844,-0.000355,-0.008240
2.172385,0.039114,-3.152449,-0.201308,0.263378,-0.000778,-0.000171,-0.003723
2.158730,0.037931,-3.147616,-0.201202,0.261984,0.002464,0.000354,-0.002127
2.148491,0.036628,-3.140419,-0.203524,0.258982,-0.003323,-0.000495,0.007552
2.132211,0.033800,-3.132515,-0.202928,0.257892,-0.000600,-0.000079,0.000056
2.119126,0.031191,-3.132936,-0.203402,0.255362,0.000070,0.000003,0.000482
2.106810,0.028702,-3.135551,-0.208178,0.250346,-0.000888,-0.000036,0.007733
2.092969,0.025804,-3.147242,-0.208938,0.248243,0.000087,0.000014,0.000772
2.080255,0.023314,-3.166941,-0.214123,0.243197,-0.000903,-0.000018,0.008266
2.065922,0.020761,-3.191839,-0.214150,0.241838,-0.000519,-0.000038,0.000990
2.052280,0.018760,-3.218205,-0.216116,0.239645,0.000364,0.000213,0.006259
2.039470,0.017220,-3.238376,-0.222549,0.234889,-0.000629,0.000133,0.013954
2.024912,0.015054,-3.264878,-0.225396,0.233720,-0.000397,0.000038,0.004322
2.010603,0.012904,-3.302658,-0.229248,0.232323,-0.000361,0.000093,0.006273
1.996225,0.011059,-3.339934,-0.234579,0.231554,0.003022,0.000492,0.014832
