vx,vy,omega,delta,T,eps_vx,eps_vy,eps_omega
2.222603,0.036667,-2.402074,-0.124003,0.371803,-0.001182,-0.000392,-0.014861
2.226287,0.032571,-2.295634,-0.115802,0.374272,-0.000519,-0.000412,-0.021774
2.231709,0.029675,-2.189340,-0.107904,0.375330,-0.001143,-0.000441,-0.020121
2.237302,0.027578,-2.073670,-0.102774,0.376910,-0.000714,-0.000276,-0.013205
2.243881,0.025451,-1.964047,-0.096990,0.377582,-0.000711,-0.000269,-0.014061
2.250935,0.023538,-1.861765,-0.093519,0.377904,-0.001969,-0.000057,-0.032268
2.256991,0.021682,-1.797278,-0.089697,0.377883,0.000829,-0.000882,-0.008181
2.266065,0.019687,-1.711066,-0.085753,0.377238,-0.001187,-0.000387,-0.015270
2.273249,0.018657,-1.642678,-0.084725,0.377875,-0.000649,-0.000132,-0.004375
2.281023,0.017516,-1.586570,-0.083792,0.378245,-0.000633,-0.000240,-0.006476
2.288814,0.016214,-1.551943,-0.082180,0.378738,-0.000755,-0.000577,-0.017978
2.296551,0.015194,-1.534798,-0.081412,0.379226,-0.000930,-0.000747,-0.023472
2.304115,0.014633,-1.527778,-0.081869,0.380057,-0.000997,-0.000650,-0.020246
2.311572,0.014478,-1.526309,-0.083068,0.380765,-0.000995,-0.000389,-0.011508
2.318897,0.014616,-1.527423,-0.086059,0.381659,-0.000977,0.000246,0.010035
2.326031,0.014928,-1.529737,-0.089135,0.382034,-0.000772,0.000904,0.031858
2.333083,0.015353,-1.532406,-0.096349,0.382649,-0.000372,0.002405,0.083030
2.340005,0.015838,-1.534280,-0.101371,0.382476,-0.000009,0.003414,0.116845
2.346774,0.016333,-1.535912,-0.107586,0.381222,0.000533,0.004619,0.157277
2.353370,0.016822,-1.537354,-0.117430,0.380170,0.000440,0.001196,0.080799
2.358927,0.012059,-1.677124,-0.127999,0.377823,-0.000646,0.000300,0.023005
2.362362,0.010150,-1.894374,-0.136656,0.375391,0.000307,0.001418,0.049418
2.365818,0.013708,-2.060416,-0.147917,0.372874,0.001486,0.003230,0.109102
2.368972,0.019350,-2.158814,-0.160093,0.370105,0.002871,0.004930,0.165540
2.371807,0.024657,-2.212407,-0.173193,0.367161,0.004389,0.006505,0.218402
2.374349,0.028851,-2.238631,-0.185671,0.363832,0.002289,0.002077,0.117411
2.373064,0.026123,-2.390849,-0.195599,0.360669,-0.000063,0.000187,0.014235
2.368265,0.025305,-2.638813,-0.201763,0.358556,-0.000263,0.000080,0.007223
2.362447,0.029998,-2.841282,-0.204511,0.357519,-0.000415,-0.000006,0.003366
2.355787,0.037337,-2.987110,-0.204981,0.357598,-0.000494,-0.000032,0.001088
2.348557,0.045309,-3.080489,-0.205446,0.358921,-0.000566,-0.000109,0.000948
2.340829,0.052472,-3.134464,-0.203832,0.361513,-0.000596,-0.000110,-0.001255
2.333148,0.058300,-3.157849,-0.202347,0.364517,-0.000689,-0.000103,-0.001385
2.325560,0.062480,-3.159826,-0.200423,0.368603,-0.000635,-0.000127,-0.001932
2.318471,0.064982,-3.147770,-0.197937,0.373087,-0.000582,-0.000097,-0.001769
2.312130,0.066064,-3.125643,-0.197617,0.377180,-0.000726,-0.000136,-0.000583
2.306199,0.065683,-3.103203,-0.192786,0.381371,-0.000841,-0.000217,-0.005949
2.301183,0.064695,-3.076421,-0.186945,0.386342,-0.000898,-0.000244,-0.007460
2.297359,0.063437,-3.039680,-0.179934,0.391614,-0.000961,-0.000279,-0.009875
2.294857,0.061958,-2.991439,-0.171434,0.397073,-0.001071,-0.000362,-0.013456
2.293792,0.060314,-2.929105,-0.162208,0.402759,-0.001127,-0.000417,-0.017160
2.294295,0.058493,-2.851211,-0.154582,0.408483,-0.001069,-0.000400,-0.015514
2.296326,0.056216,-2.761508,-0.147164,0.413907,-0.001092,-0.000343,-0.014492
2.299757,0.053554,-2.664158,-0.140980,0.418836,-0.000846,-0.000303,-0.012497
2.304668,0.050477,-2.566585,-0.134601,0.423410,-0.000968,-0.000300,-0.013232
2.310655,0.047351,-2.470899,-0.128844,0.427633,-0.000933,-0.000356,-0.014794
2.317730,0.044283,-2.380785,-0.124020,0.431507,-0.000902,-0.000315,-0.013023
2.325722,0.041499,-2.296494,-0.119461,0.434850,-0.000850,-0.000235,-0.010539
2.334553,0.039134,-2.216495,-0.116957,0.437948,-0.000749,-0.000144,-0.005640
2.344000,0.036857,-2.149229,-0.115156,0.440704,-0.000755,-0.000142,-0.004489
2.353839,0.034785,-2.098715,-0.113753,0.443741,-0.000782,-0.000118,-0.003579
2.364013,0.033217,-2.061868,-0.112627,0.446497,-0.000806,-0.000104,-0.002581
2.374448,0.032204,-2.034902,-0.111306,0.449098,-0.000674,-0.000087,-0.002863
2.385245,0.031770,-2.013606,-0.110271,0.451306,-0.000593,-0.000078,-0.002243
2.396256,0.031723,-1.995950,-0.108673,0.453251,-0.000743,-0.000112,-0.004019
2.407263,0.032031,-1.978788,-0.107398,0.455140,-0.000670,-0.000087,-0.002841
2.418405,0.032528,-1.960424,-0.106089,0.456918,-0.000697,-0.000102,-0.003419
2.429592,0.033061,-1.942424,-0.104052,0.458713,-0.000714,-0.000126,-0.005445
2.440882,0.033746,-1.921274,-0.102644,0.460447,-0.000723,-0.000112,-0.003809
2.452202,0.034348,-1.898203,-0.100227,0.462380,-0.000762,-0.000132,-0.005970
2.463663,0.035012,-1.871038,-0.097114,0.464333,-0.000706,-0.000152,-0.007945
2.475365,0.035736,-1.836209,-0.093733,0.466097,-0.000789,-0.000173,-0.008844
2.487177,0.036351,-1.793171,-0.089030,0.467901,-0.000790,-0.000195,-0.011622
2.499277,0.036957,-1.737415,-0.084108,0.469672,-0.000807,-0.000210,-0.012949
2.511660,0.037292,-1.669930,-0.079082,0.471309,-0.000762,-0.000223,-0.014153
2.524369,0.037218,-1.593983,-0.075417,0.472810,-0.000715,-0.000151,-0.009818
2.537323,0.036532,-1.517187,-0.072484,0.473906,-0.000640,-0.000155,-0.008633
2.550468,0.035290,-1.449239,-0.066110,0.474704,-0.000655,-0.000231,-0.017908
2.563870,0.034643,-1.372011,-0.063200,0.475033,-0.000729,-0.000141,-0.008986
2.577219,0.033494,-1.295708,-0.061809,0.475560,-0.000601,-0.000070,-0.003945
2.590661,0.031768,-1.236346,-0.059630,0.475860,-0.000601,-0.000097,-0.006335
2.604056,0.030252,-1.189815,-0.057179,0.476094,-0.000635,-0.000127,-0.008106
2.617381,0.029206,-1.147940,-0.054575,0.476364,-0.000536,-0.000134,-0.008822
2.630760,0.028547,-1.105727,-0.047788,0.475996,-0.000826,-0.000307,-0.023316
2.643894,0.028799,-1.042464,-0.048116,0.476086,-0.000468,0.000004,0.001444
2.657168,0.027862,-0.982853,-0.047305,0.475846,-0.000635,-0.000045,-0.002496
2.670099,0.026318,-0.946748,-0.045488,0.475679,-0.000595,-0.000081,-0.005850
2.682921,0.025300,-0.917165,-0.043420,0.475476,-0.000563,-0.000082,-0.006615
2.695635,0.024777,-0.885893,-0.041443,0.474361,-0.000589,-0.000077,-0.006317
2.708073,0.024417,-0.852328,-0.039800,0.472433,-0.000405,-0.000074,-0.005726
2.720338,0.023981,-0.819445,-0.038838,0.469845,-0.000455,-0.000051,-0.003456
2.732123,0.023378,-0.790949,-0.037152,0.466406,-0.000442,-0.000073,-0.006106
2.743420,0.022905,-0.764170,-0.036987,0.461849,-0.000362,-0.000012,-0.000335
2.754151,0.022266,-0.742411,-0.036392,0.456290,-0.000425,-0.000039,-0.002206
2.764089,0.021669,-0.727929,-0.033986,0.449979,-0.000241,-0.000084,-0.008585
2.773475,0.021642,-0.706948,-0.034449,0.442541,-0.000154,0.000017,0.001992
2.782009,0.021216,-0.688249,-0.032975,0.434859,0.000128,-0.000308,-0.011895
2.789931,0.020637,-0.679578,-0.031812,0.426924,0.000132,-0.000096,-0.009659
2.796951,0.020711,-0.663664,-0.030486,0.418656,-0.000159,-0.000061,-0.005288
2.802750,0.020741,-0.638654,-0.028897,0.409703,0.000161,-0.000328,-0.012638
2.807902,0.020233,-0.617481,-0.025576,0.400056,0.000222,-0.000168,-0.017788
2.812133,0.020364,-0.582332,-0.022423,0.390056,-0.000191,-0.000114,-0.011643
2.814939,0.020260,-0.527533,-0.018768,0.380056,-0.000171,-0.000121,-0.012658
2.816790,0.019533,-0.463783,-0.016029,0.370056,0.000564,-0.000605,-0.023536
2.818402,0.017576,-0.413264,-0.008933,0.360056,-0.000084,-0.000304,-0.034667
2.818444,0.017153,-0.334541,-0.008688,0.350056,-0.000151,-0.000006,-0.000730
2.817431,0.015153,-0.251504,-0.006987,0.340056,-0.000188,-0.000047,-0.005551
2.815431,0.012281,-0.194339,-0.004792,0.330056,-0.000241,-0.000053,-0.006891
2.812437,0.009855,-0.146377,-0.002604,0.320056,-0.000277,-0.000053,-0.006901
2.808470,0.007900,-0.102033,0.000033,0.310056,-0.000302,-0.000066,-0.008312
2.803551,0.006360,-0.056591,0.003029,0.300056,-0.000250,-0.000072,-0.009412
2.797765,0.005085,-0.006426,0.005645,0.290056,-0.000281,-0.000063,-0.008268
2.791033,0.003750,0.045830,0.007964,0.280056,-0.000303,-0.000057,-0.007324
2.783376,0.002278,0.096301,0.009383,0.270056,-0.000282,-0.000037,-0.004673
2.774847,0.000616,0.139194,0.010983,0.260563,0.000177,-0.000363,-0.014075
2.765956,-0.001215,0.166628,0.012432,0.252106,0.001109,-0.000683,-0.026683
2.757273,-0.002736,0.179969,0.011010,0.244931,0.000283,-0.000038,-0.005116
2.747206,-0.003427,0.194350,0.008506,0.238592,-0.000199,0.000581,0.021927
2.736194,-0.004024,0.206656,0.005536,0.232475,0.000356,0.001263,0.047985
2.725334,-0.004562,0.212736,0.001877,0.226650,-0.000100,0.000261,0.028446
2.713635,-0.006758,0.163596,-0.003268,0.221119,-0.000627,0.000152,0.016139
2.701045,-0.007775,0.073173,-0.008466,0.215639,-0.000261,0.000163,0.016943
2.688484,-0.007145,-0.026790,-0.009199,0.208159,-0.001023,0.000034,0.002623
2.674630,-0.004683,-0.105437,-0.020673,0.203038,-0.000571,0.000353,0.035749
2.660815,-0.004016,-0.214251,-0.031711,0.197496,-0.000704,0.000342,0.033845
2.646313,-0.003692,-0.373497,-0.041269,0.191702,-0.000055,0.002168,0.080012
2.631860,-0.000191,-0.500517,-0.051585,0.186260,-0.000350,0.000682,0.062992
2.616384,0.000465,-0.670398,-0.060222,0.181132,-0.000659,0.000274,0.025271
2.599964,0.002253,-0.875734,-0.068884,0.175986,-0.000149,0.000262,0.024626
2.583362,0.005726,-1.061530,-0.072799,0.169622,-0.001108,0.000093,0.012367
2.565120,0.010348,-1.207141,-0.079182,0.165545,-0.000327,0.001280,0.048068
2.547069,0.015343,-1.296343,-0.085979,0.161946,-0.001010,0.000370,0.036262
2.527687,0.017026,-1.399971,-0.096378,0.160284,-0.000364,0.001988,0.072756
2.508367,0.019272,-1.493122,-0.106072,0.158812,0.000425,0.003759,0.133455
2.489235,0.021880,-1.546310,-0.116430,0.158164,-0.000435,0.000992,0.076924
2.468613,0.019139,-1.691165,-0.124433,0.158744,-0.000680,0.001299,0.047489
2.447608,0.019331,-1.861695,-0.131571,0.160346,-0.000255,0.002466,0.087688
2.426905,0.022567,-1.967022,-0.139018,0.163015,-0.000826,0.000610,0.048338
2.405502,0.022787,-2.103321,-0.144555,0.167103,-0.001358,0.000729,0.028946
2.383824,0.024427,-2.236060,-0.148474,0.172542,-0.001511,0.001310,0.048918
2.362463,0.027419,-2.315878,-0.152929,0.178725,-0.001801,0.001919,0.070166
2.341250,0.029841,-2.358831,-0.155079,0.186128,-0.001772,0.000375,0.033172
2.320881,0.029252,-2.425137,-0.157444,0.194136,-0.001427,-0.000039,0.005308
2.301825,0.028692,-2.505615,-0.162264,0.202236,-0.001489,0.000023,0.010007
2.283465,0.028664,-2.574440,-0.165192,0.211115,-0.001122,0.000311,0.013119
2.266391,0.029168,-2.627414,-0.166055,0.218107,-0.002516,-0.000135,0.008609
2.248816,0.029189,-2.667027,-0.168629,0.228107,-0.002020,0.000198,0.012327
2.232845,0.029124,-2.697504,-0.170665,0.238107,-0.002856,0.000443,0.021719
2.217156,0.028860,-2.714127,-0.171454,0.248107,-0.002626,0.000656,0.024456
2.202951,0.028298,-2.722728,-0.175403,0.257295,-0.003634,-0.000081,0.017907
2.188609,0.026079,-2.749413,-0.176295,0.267295,-0.001650,-0.000112,0.002884
2.177582,0.024447,-2.787314,-0.177475,0.277295,-0.001535,-0.000110,0.003037
2.167871,0.023593,-2.818740,-0.176415,0.287295,-0.001572,-0.000166,-0.000715
2.159476,0.023357,-2.838729,-0.175597,0.297295,-0.001782,-0.000188,-0.000765
2.152127,0.023289,-2.847213,-0.175056,0.307295,-0.001704,-0.000167,-0.000103
2.146072,0.023122,-2.848129,-0.174897,0.317295,-0.001722,-0.000146,0.000940
2.141165,0.022752,-2.845661,-0.175100,0.327295,-0.002028,-0.000117,0.002051
2.137079,0.022218,-2.843118,-0.174401,0.337295,-0.002316,-0.000188,0.000033
2.133908,0.021672,-2.840168,-0.174318,0.347295,-0.001642,-0.000137,0.000889
2.132544,0.021201,-2.837126,-0.173451,0.356929,-0.001690,-0.000201,-0.001435
2.132259,0.020879,-2.834053,-0.171044,0.366624,-0.001741,-0.000296,-0.005801
2.133166,0.020908,-2.825889,-0.168958,0.376123,-0.001854,-0.000377,-0.011294
2.135112,0.021062,-2.816396,-0.167086,0.384535,-0.002573,-0.000542,-0.008832
2.137332,0.021202,-2.799019,-0.164141,0.393315,-0.001729,-0.000372,-0.008715
2.141522,0.021679,-2.773364,-0.160655,0.401212,-0.001542,-0.000378,-0.010048
2.146925,0.022189,-2.740618,-0.155658,0.408336,-0.000894,-0.000414,-0.015737
2.154029,0.022850,-2.699613,-0.151011,0.413631,-0.001362,-0.000314,-0.008808
2.161469,0.023593,-2.641811,-0.147658,0.418876,-0.001865,-0.000325,-0.005636
2.169068,0.023694,-2.583218,-0.141512,0.425162,-0.001184,-0.000326,-0.012273
2.178391,0.023947,-2.519200,-0.134889,0.430302,-0.001221,-0.000340,-0.013578
2.188597,0.024349,-2.442741,-0.129133,0.434511,-0.001215,-0.000367,-0.014261
2.199521,0.024445,-2.361844,-0.124474,0.437852,-0.002968,-0.000205,-0.028302
2.209241,0.024312,-2.298184,-0.119799,0.439799,0.000917,-0.000593,-0.000749
2.223246,0.023840,-2.203679,-0.110476,0.440838,-0.001086,-0.000437,-0.021898
2.235861,0.024204,-2.109002,-0.104919,0.440834,-0.000934,-0.000304,-0.014215
2.248821,0.024163,-2.007389,-0.099835,0.439700,-0.000892,-0.000273,-0.012533
2.261857,0.023589,-1.911066,-0.095210,0.438688,-0.000871,-0.000248,-0.011613
2.274946,0.022777,-1.822498,-0.091464,0.436576,-0.000782,-0.000210,-0.009408
2.287982,0.021846,-1.743836,-0.088566,0.434676,-0.000717,-0.000158,-0.007200
2.300901,0.020899,-1.677419,-0.086333,0.432411,-0.000694,-0.000131,-0.005307
2.313575,0.020023,-1.623510,-0.083527,0.429181,-0.000819,-0.000176,-0.007633
2.325788,0.019479,-1.576946,-0.078135,0.425132,-0.002748,-0.000387,-0.029767
2.335790,0.019622,-1.534489,-0.074669,0.420677,0.001488,-0.000346,-0.001387
2.349582,0.019923,-1.456373,-0.069676,0.415234,-0.000580,-0.000239,-0.014141
2.360814,0.020056,-1.386316,-0.065361,0.409586,-0.000593,-0.000212,-0.012423
2.371481,0.019964,-1.311374,-0.061088,0.403584,-0.002324,-0.000098,-0.027621
2.379828,0.019718,-1.250728,-0.058503,0.397629,0.001334,-0.000457,0.001277
2.391238,0.018771,-1.167210,-0.054110,0.390972,-0.000435,-0.000201,-0.013070
2.400251,0.018130,-1.100537,-0.050049,0.383962,-0.000407,-0.000180,-0.011749
2.408593,0.017612,-1.029855,-0.048363,0.377025,-0.000346,-0.000092,-0.005289
2.416246,0.016550,-0.970306,-0.052023,0.370509,-0.000250,0.000165,0.012525
2.423089,0.014385,-0.950125,-0.054770,0.364304,0.000074,0.000135,0.009383
2.429435,0.012473,-0.968081,-0.054273,0.357077,-0.000865,-0.000050,-0.001046
2.434064,0.012057,-0.989153,-0.055588,0.350907,0.000033,0.000049,0.004051
2.438819,0.012208,-1.008174,-0.055311,0.344565,-0.000456,-0.000031,-0.000541
2.442363,0.012762,-1.022024,-0.055122,0.338254,-0.000884,-0.000052,-0.000240
2.444763,0.013399,-1.027809,-0.053599,0.332318,-0.000107,-0.000068,-0.004636
2.447340,0.014188,-1.022548,-0.053723,0.326614,-0.000927,-0.000038,0.000777
2.448447,0.014481,-1.014012,-0.053661,0.321153,-0.000448,-0.000019,0.000119
2.449451,0.014480,-1.008769,-0.055624,0.316418,-0.000148,0.000088,0.006783
2.450169,0.014040,-1.014856,-0.059704,0.312211,-0.000530,0.000179,0.014337
2.449889,0.013149,-1.044120,-0.063025,0.307853,-0.000905,0.000124,0.011601
2.448650,0.012568,-1.091675,-0.067057,0.303958,-0.000483,0.000159,0.013041
2.447263,0.012437,-1.150466,-0.073606,0.300511,-0.000525,0.000266,0.020704
2.445152,0.012289,-1.227780,-0.082650,0.297884,-0.000612,0.000363,0.027700
2.442193,0.012015,-1.333917,-0.093263,0.296009,-0.000494,0.000424,0.031741
2.438536,0.012004,-1.469224,-0.103261,0.294169,-0.000625,0.000363,0.027858
2.433923,0.012838,-1.622845,-0.112077,0.292432,-0.000422,0.000333,0.024519
2.428715,0.014821,-1.775937,-0.120189,0.290611,-0.000136,0.000273,0.020220
2.422967,0.017548,-1.921512,-0.129861,0.289043,-0.000549,0.000252,0.022237
2.415822,0.020372,-2.062059,-0.136903,0.287278,-0.001016,0.000147,0.016649
2.407403,0.023576,-2.190417,-0.140378,0.285285,-0.000706,0.000033,0.008173
2.398725,0.027308,-2.293887,-0.145828,0.283298,-0.000652,0.000138,0.012993
2.389375,0.030696,-2.376613,-0.152538,0.281478,-0.000547,0.000141,0.014179
2.379310,0.033172,-2.455297,-0.159823,0.279489,-0.000482,0.000160,0.015053
2.368441,0.035032,-2.534674,-0.167930,0.277939,-0.000494,0.000168,0.015785
2.356734,0.036470,-2.617336,-0.175120,0.276171,-0.000530,0.000126,0.012833
2.344250,0.037837,-2.701339,-0.180607,0.274406,-0.000483,0.000059,0.009237
2.331174,0.039385,-2.779951,-0.185410,0.272594,-0.000275,0.000095,0.008298
2.317781,0.041067,-2.848382,-0.193463,0.271318,-0.000519,0.000096,0.012142
2.303364,0.042210,-2.914662,-0.198717,0.271083,-0.000465,0.000048,0.008021
2.288621,0.043174,-2.978270,-0.203273,0.269991,0.003148,-0.000014,0.017783
2.277150,0.043994,-3.023678,-0.209601,0.268402,-0.003708,0.000153,0.001690
2.258141,0.044552,-3.087191,-0.210618,0.269066,-0.000335,-0.000014,0.002143
2.242717,0.045036,-3.131846,-0.214503,0.269621,-0.000457,0.000186,0.010160
2.227131,0.045326,-3.163178,-0.214713,0.269197,-0.000182,0.000275,0.011345
2.211973,0.045307,-3.182141,-0.216034,0.269455,0.002656,0.000352,0.012680
2.199823,0.044672,-3.195063,-0.215705,0.269610,-0.003461,-0.000385,-0.003749
2.181832,0.043008,-3.218787,-0.214492,0.267838,-0.000521,-0.000128,-0.001398
2.167170,0.041603,-3.229864,-0.214245,0.266473,-0.000448,-0.000087,0.000275
2.152798,0.039968,-3.234796,-0.213920,0.264388,-0.000477,-0.000098,0.000127
2.138593,0.038005,-3.237040,-0.213206,0.262651,-0.000345,-0.000061,0.000114
2.124767,0.035862,-3.236545,-0.214445,0.259930,-0.000430,-0.000058,0.002144
2.110923,0.033365,-3.238014,-0.215455,0.256818,-0.000302,-0.000040,0.002152
2.097199,0.030723,-3.243008,-0.216839,0.253478,-0.000257,-0.000024,0.002434
2.083451,0.028055,-3.251819,-0.219103,0.250128,-0.000201,0.000026,0.004342
2.069658,0.025425,-3.264479,-0.222656,0.246610,-0.000164,0.000069,0.006337
2.055622,0.022771,-3.283607,-0.225994,0.243652,-0.000293,0.000025,0.005030
2.041271,0.020174,-3.310066,-0.229821,0.242093,-0.000287,0.000047,0.005621
2.026838,0.017780,-3.341111,-0.234926,0.240913,-0.000116,0.000138,0.008178
2.012407,0.015552,-3.376384,-0.241646,0.239938,-0.000189,0.000123,0.008666
1.997565,0.013264,-3.420321,-0.247353,0.239390,-0.000110,0.000163,0.008946
1.982641,0.011244,-3.467621,-0.253205,0.238868,-0.000162,0.000104,0.007138
1.967469,0.009333,-3.518768,-0.258376,0.238445,-0.000185,0.000087,0.006383
1.952143,0.007637,-3.569443,-0.262502,0.238215,-0.000197,0.000064,0.005366
1.936790,0.006113,-3.616877,-0.265821,0.238034,-0.000121,0.000090,0.004995
1.921568,0.004719,-3.658944,-0.270368,0.237330,0.002973,0.000437,0.013770
1.909321,0.003514,-3.690044,-0.273535,0.237360,-0.003206,-0.000244,-0.001972
1.890916,0.001504,-3.734853,-0.274882,0.237051,-0.000262,0.000016,0.002817
1.875784,-0.000163,-3.765609,-0.274803,0.237680,-0.000367,-0.000026,0.001369
1.861012,-0.001838,-3.789086,-0.273078,0.238988,-0.000432,-0.000055,0.000015
1.846934,-0.003476,-3.803087,-0.271190,0.240760,-0.000447,-0.000056,-0.000177
1.833579,-0.005173,-3.808163,-0.269091,0.243206,-0.000540,-0.000078,-0.000471
1.820984,-0.006997,-3.806054,-0.266457,0.246272,-0.000614,-0.000122,-0.001758
1.809277,-0.008914,-3.798261,-0.262059,0.249774,-0.000768,-0.000184,-0.003891
1.798594,-0.010715,-3.781986,-0.256607,0.254094,-0.000906,-0.000272,-0.007002
1.789117,-0.012360,-3.756279,-0.251044,0.259069,-0.001008,-0.000271,-0.006591
1.780915,-0.013807,-3.718677,-0.244273,0.264829,-0.001130,-0.000366,-0.009882
1.774133,-0.015101,-3.670912,-0.236319,0.271208,-0.001148,-0.000394,-0.011629
1.768996,-0.016043,-3.608447,-0.228245,0.278392,-0.001346,-0.000461,-0.013327
1.765347,-0.016818,-3.533647,-0.218718,0.285882,-0.001618,-0.000741,-0.022328
1.763220,-0.017459,-3.449859,-0.207799,0.293367,-0.001516,-0.000643,-0.021093
1.763058,-0.017308,-3.341265,-0.196554,0.300515,-0.001572,-0.000680,-0.022572
1.764544,-0.016944,-3.215002,-0.184624,0.307473,-0.001563,-0.000723,-0.025416
1.767706,-0.016374,-3.072934,-0.173293,0.314006,-0.001550,-0.000715,-0.025452
1.772329,-0.015764,-2.921171,-0.163333,0.319927,-0.001693,-0.000834,-0.028313
1.778010,-0.015489,-2.774298,-0.153477,0.325253,-0.002587,-0.000760,-0.055192
1.783927,-0.014960,-2.655126,-0.143953,0.329562,0.000223,-0.001107,-0.012903
1.793572,-0.014321,-2.484547,-0.132409,0.332889,-0.001916,-0.000797,-0.029226
1.801938,-0.012981,-2.329908,-0.121904,0.336718,-0.001420,-0.000897,-0.034155
1.811592,-0.011764,-2.177333,-0.111055,0.339325,-0.001308,-0.000966,-0.037859
1.821995,-0.010347,-2.022005,-0.100855,0.340686,-0.002883,-0.000959,-0.062794
1.831231,-0.008902,-1.890193,-0.091218,0.340674,0.001346,-0.000893,-0.011435
1.844924,-0.007238,-1.697473,-0.078617,0.339044,-0.001414,-0.000875,-0.037995
1.855916,-0.005391,-1.528093,-0.067873,0.337686,-0.001126,-0.000689,-0.031443
1.867200,-0.003547,-1.349951,-0.054790,0.335780,-0.000454,-0.000831,-0.040239
1.879131,-0.001504,-1.163111,-0.042039,0.332786,-0.000694,-0.000809,-0.039364
1.890582,0.000609,-0.963619,-0.028049,0.330409,-0.000612,-0.000874,-0.043501
1.901913,0.002826,-0.751164,-0.014560,0.327983,-0.000381,-0.000833,-0.041584
1.913149,0.004887,-0.529723,0.000761,0.325816,-0.000352,-0.000941,-0.048029
1.924067,0.007095,-0.296253,0.017758,0.324311,-0.000259,-0.000982,-0.050152
1.934641,0.009670,-0.038737,0.036102,0.324578,-0.000324,-0.001090,-0.057199
1.944747,0.012280,0.237203,0.055712,0.327098,-0.000371,-0.001183,-0.060325
1.954431,0.014878,0.534605,0.074392,0.331222,-0.000370,-0.001171,-0.058030
1.963806,0.016881,0.839149,0.092123,0.337153,-0.000235,-0.004027,-0.125074
1.973102,0.015233,1.067567,0.107604,0.344803,-0.002032,-0.003865,-0.189553
1.980395,0.015348,1.231217,0.122105,0.352974,0.001137,-0.001246,-0.000646
1.990699,0.018927,1.606862,0.133329,0.361045,-0.000607,-0.000814,-0.036895
1.999525,0.017965,1.861710,0.142659,0.369488,-0.000755,-0.000481,-0.025682
2.008356,0.015981,2.075527,0.149669,0.378361,-0.000847,-0.000311,-0.017917
2.017352,0.013214,2.247449,0.153835,0.387652,-0.000976,-0.000228,-0.013031
2.026634,0.009832,2.375102,0.156654,0.397237,-0.001150,-0.000112,-0.009012
2.036227,0.006417,2.468149,0.157839,0.407236,-0.001244,0.000002,-0.004048
2.046331,0.003085,2.532976,0.157986,0.417114,-0.002976,0.000662,-0.007212
2.055377,0.000493,2.567766,0.157396,0.426423,0.000387,-0.000362,0.004449
2.068477,-0.003022,2.596073,0.153992,0.435130,-0.001403,0.000315,0.009367
2.080548,-0.005940,2.597816,0.150263,0.442736,-0.003433,0.000863,0.017278
2.091315,-0.008222,2.584635,0.146268,0.448986,0.000955,-0.000002,0.003438
2.107119,-0.011296,2.539147,0.141072,0.454767,-0.000911,0.000283,0.011332
2.121622,-0.013459,2.487733,0.135561,0.459370,-0.001161,0.000319,0.011975
2.136431,-0.015271,2.423832,0.130826,0.463027,-0.000943,0.000295,0.011421
2.151833,-0.016560,2.355714,0.124888,0.464439,-0.000858,0.000361,0.015535
2.167630,-0.017654,2.282290,0.118559,0.463809,-0.000758,0.000359,0.016485
2.183608,-0.018691,2.199580,0.113295,0.461065,-0.000287,0.000279,0.013923
2.199833,-0.019364,2.113870,0.108953,0.454092,-0.000215,0.000314,0.014374
2.215447,-0.019472,2.035393,0.106149,0.444092,-0.000394,0.000187,0.007725
2.229778,-0.019252,1.965260,0.103281,0.434092,-0.000042,0.000154,0.007722
2.243408,-0.018897,1.906500,0.102621,0.424092,-0.000071,0.000054,0.001712
2.255832,-0.018278,1.863794,0.103867,0.414092,-0.000320,-0.000018,-0.003767
2.266674,-0.017389,1.844666,0.109454,0.404092,0.000082,-0.000199,-0.013886
2.276367,-0.016029,1.864078,0.118803,0.394092,0.001258,-0.001796,-0.059701
2.285388,-0.015930,1.894617,0.130104,0.384092,0.001597,-0.001517,-0.073287
2.292673,-0.014536,1.969763,0.144321,0.374092,0.001594,-0.002344,-0.077761
2.297676,-0.014160,2.095554,0.159422,0.364092,0.001256,-0.000986,-0.058323
2.299910,-0.013201,2.272058,0.172609,0.354092,0.000344,-0.000339,-0.022192
2.298996,-0.014167,2.485762,0.182442,0.344092,0.000295,-0.000225,-0.015657
2.296008,-0.018051,2.673710,0.189676,0.334092,0.000165,-0.000159,-0.009965
2.290970,-0.023458,2.825699,0.194998,0.324092,0.001042,-0.000550,-0.018619
2.284963,-0.029752,2.929620,0.198022,0.314092,0.000708,-0.000191,-0.011327
2.276971,-0.035029,3.006396,0.198884,0.305247,-0.000077,0.000040,-0.000838
2.266964,-0.039369,3.062746,0.197393,0.298641,-0.000235,0.000103,0.001966
2.256109,-0.042958,3.091363,0.194574,0.294043,-0.000393,0.000138,0.003794
2.244835,-0.045483,3.095828,0.190629,0.291121,-0.000458,0.000184,0.005601
2.233598,-0.046793,3.080257,0.185238,0.290050,-0.000608,0.000236,0.007879
2.222742,-0.046975,3.046634,0.178072,0.290012,-0.000651,0.000290,0.011215
2.212724,-0.046243,2.994653,0.167258,0.291120,-0.000950,0.000443,0.018283
2.203793,-0.045000,2.917000,0.154964,0.294204,-0.000989,0.000504,0.022564
